# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jul 16 16:38:03 2018
# diag: zonal, run(s): act, time window: 0-2221.6578(265 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt05/
# normalization: L_ref=1.65m
#
# avg. values:
# shearing rate: 0.086984341
#  shear. ra
  1.1658E-08  1.0604E-04  2.4980E-04  4.6701E-04  6.8885E-04  8.5887E-04  1.2795E-03  3.8722E-03  9.5493E-03  1.3685E-02  1.5577E-02  2.0183E-02  2.6926E-02  3.1064E-02  3.0781E-02  3.1900E-02  3.6533E-02  3.9656E-02  4.1360E-02  4.6225E-02  5.2061E-02  5.7304E-02  6.2287E-02  6.7494E-02  6.8878E-02  6.9538E-02  7.0255E-02  7.1853E-02  7.2416E-02  7.1676E-02  7.1654E-02  7.1258E-02  7.4035E-02  7.8015E-02  8.1125E-02  8.2668E-02  8.2903E-02  8.1302E-02  7.8678E-02  7.5209E-02  7.3200E-02  7.2620E-02  7.2752E-02  7.2819E-02  7.3168E-02  7.3243E-02  7.2696E-02  7.3510E-02  7.5221E-02  7.6888E-02  7.7607E-02  7.8430E-02  7.9135E-02  7.9134E-02  7.9785E-02  8.1481E-02  8.4200E-02  8.5990E-02  8.6672E-02  8.6547E-02  8.6764E-02  8.7410E-02  8.7956E-02  8.7650E-02  8.6833E-02  8.6279E-02  8.5225E-02  8.3119E-02  8.1136E-02  7.9648E-02  7.8410E-02  7.7180E-02  7.5758E-02  7.4787E-02  7.3430E-02  7.2676E-02  7.2255E-02  7.3054E-02  7.4396E-02  7.6273E-02  7.8414E-02  8.0924E-02  8.3313E-02  8.4300E-02  8.4473E-02  8.4136E-02  8.3191E-02  8.2191E-02  8.1924E-02  8.2035E-02  8.2902E-02  8.4305E-02  8.5850E-02  8.7806E-02  8.9573E-02  9.1116E-02  9.2536E-02  9.2858E-02  9.2651E-02  9.1961E-02  9.0973E-02  8.9786E-02  8.8971E-02  8.8222E-02  8.7489E-02  8.7149E-02  8.6980E-02  8.6705E-02  8.6091E-02  8.5426E-02  8.4732E-02  8.3978E-02  8.3453E-02  8.3186E-02  8.3590E-02  8.4012E-02  8.4150E-02  8.4813E-02  8.5442E-02  8.5935E-02  8.6793E-02  8.8195E-02  8.9746E-02  9.1178E-02  9.2457E-02  9.3280E-02  9.4144E-02  9.4198E-02  9.3958E-02  9.4000E-02  9.4399E-02  9.4560E-02  9.4493E-02  9.4524E-02  9.4548E-02  9.4164E-02  9.2805E-02  9.1045E-02  8.8879E-02  8.6974E-02  8.6443E-02  8.6476E-02  8.6511E-02  8.7114E-02  8.8177E-02  8.9376E-02  9.0365E-02  9.1404E-02  9.2601E-02  9.3332E-02  9.4063E-02  9.4914E-02  9.5862E-02  9.6598E-02  9.6983E-02  9.7396E-02  9.8418E-02  1.0006E-01  1.0183E-01  1.0342E-01  1.0438E-01  1.0503E-01  1.0583E-01  1.0651E-01  1.0657E-01  1.0685E-01  1.0711E-01  1.0636E-01  1.0546E-01  1.0525E-01  1.0535E-01  1.0598E-01  1.0600E-01  1.0523E-01  1.0466E-01  1.0403E-01  1.0352E-01  1.0307E-01  1.0244E-01  1.0147E-01  1.0008E-01  9.8908E-02  9.8065E-02  9.7467E-02  9.6741E-02  9.6080E-02  9.5835E-02  9.5909E-02  9.6365E-02  9.6999E-02  9.7610E-02  9.8390E-02  9.9075E-02  9.9842E-02  1.0037E-01  1.0039E-01  9.9651E-02  9.8618E-02  9.7616E-02  9.6235E-02  9.4775E-02  9.3618E-02  9.3252E-02  9.3105E-02  9.3389E-02  9.3813E-02  9.4081E-02  9.4305E-02  9.4573E-02  9.4822E-02  9.4609E-02  9.4212E-02  9.3779E-02  9.3535E-02  9.3424E-02  9.3644E-02  9.4258E-02  9.4861E-02  9.5771E-02  9.6903E-02  9.8209E-02  9.9399E-02  9.9883E-02  9.9797E-02  9.9588E-02  9.9335E-02  9.9145E-02  9.8845E-02  9.8461E-02  9.8185E-02  9.7940E-02  9.7822E-02  9.8083E-02  9.8812E-02  9.9439E-02  1.0001E-01  1.0059E-01  1.0072E-01  1.0083E-01  1.0090E-01  1.0091E-01  1.0090E-01  1.0115E-01  1.0158E-01  1.0199E-01  1.0251E-01  1.0340E-01  1.0472E-01  1.0566E-01  1.0559E-01  1.0471E-01  1.0359E-01  1.0234E-01  1.0076E-01  9.9276E-02  9.8145E-02  9.7453E-02  9.6946E-02  9.6357E-02  9.5827E-02  9.5462E-02  9.5026E-02  9.4583E-02  9.4326E-02  9.4515E-02


# averaged over time
#  kx         shear. rat
  2.4107E-02  1.3417E-04
  4.8215E-02  1.9814E-04
  7.2322E-02  7.1721E-04
  9.6430E-02  1.4645E-03
  1.2054E-01  8.1171E-04
  1.4464E-01  1.6688E-03
  1.6875E-01  9.6636E-04
  1.9286E-01  1.3268E-03
  2.1697E-01  1.8763E-03
  2.4107E-01  2.3998E-03
  2.6518E-01  1.6311E-03
  2.8929E-01  4.1464E-03
  3.1340E-01  3.3301E-03
  3.3750E-01  4.1498E-03
  3.6161E-01  4.2008E-03
  3.8572E-01  3.6236E-03
  4.0983E-01  4.8867E-03
  4.3393E-01  4.4295E-03
  4.5804E-01  5.9762E-03
  4.8215E-01  6.1879E-03
  5.0626E-01  5.5105E-03
  5.3036E-01  8.0358E-03
  5.5447E-01  3.9190E-03
  5.7858E-01  6.8606E-03
  6.0269E-01  6.9763E-03
  6.2679E-01  9.7866E-03
  6.5090E-01  7.4907E-03
  6.7501E-01  7.3724E-03
  6.9911E-01  1.0734E-02
  7.2322E-01  9.5402E-03
  7.4733E-01  6.7784E-03
  7.7144E-01  8.5546E-03
  7.9554E-01  1.0902E-02
  8.1965E-01  7.7585E-03
  8.4376E-01  8.2449E-03
  8.6787E-01  7.7194E-03
  8.9197E-01  8.7852E-03
  9.1608E-01  5.0410E-03
  9.4019E-01  6.5686E-03
  9.6430E-01  7.6105E-03
  9.8840E-01  8.4463E-03
  1.0125E+00  9.2620E-03
  1.0366E+00  1.0474E-02
  1.0607E+00  6.7213E-03
  1.0848E+00  1.1491E-02
  1.1089E+00  7.7995E-03
  1.1330E+00  1.0065E-02
  1.1572E+00  5.1977E-03
  1.1813E+00  4.9397E-03
  1.2054E+00  6.2575E-03
  1.2295E+00  1.1126E-02
  1.2536E+00  6.4959E-03
  1.2777E+00  7.8994E-03
  1.3018E+00  7.4269E-03
  1.3259E+00  8.2166E-03
  1.3500E+00  5.2332E-03
  1.3741E+00  6.1343E-03
  1.3982E+00  5.3611E-03
  1.4223E+00  6.6455E-03
  1.4464E+00  6.6133E-03
  1.4706E+00  4.7238E-03
  1.4947E+00  6.2010E-03
  1.5188E+00  5.4336E-03
  1.5429E+00  3.5283E-03
  1.5670E+00  4.1409E-03
  1.5911E+00  6.1385E-03
  1.6152E+00  3.5324E-03
  1.6393E+00  3.0877E-03
  1.6634E+00  3.2473E-03
  1.6875E+00  4.4979E-03
  1.7116E+00  4.5711E-03
  1.7357E+00  4.9577E-03
  1.7598E+00  3.3450E-03
  1.7839E+00  3.5549E-03
  1.8081E+00  2.2694E-03
  1.8322E+00  2.9290E-03
  1.8563E+00  2.5799E-03
  1.8804E+00  2.6509E-03
  1.9045E+00  2.5626E-03
  1.9286E+00  2.8469E-03
  1.9527E+00  3.0246E-03
  1.9768E+00  2.8476E-03
  2.0009E+00  2.7703E-03
  2.0250E+00  2.4132E-03
  2.0491E+00  1.9617E-03
  2.0732E+00  2.2548E-03
  2.0973E+00  1.8192E-03
  2.1215E+00  2.0667E-03
  2.1456E+00  1.9265E-03
  2.1697E+00  2.0529E-03
  2.1938E+00  1.8918E-03
  2.2179E+00  1.9786E-03
  2.2420E+00  1.9401E-03
  2.2661E+00  1.9089E-03
  2.2902E+00  1.6703E-03
  2.3143E+00  1.6330E-03
  2.3384E+00  1.3401E-03
  2.3625E+00  1.6057E-03
  2.3866E+00  1.2605E-03
  2.4107E+00  1.3576E-03
  2.4348E+00  1.3439E-03
  2.4590E+00  1.5710E-03
  2.4831E+00  1.1921E-03
  2.5072E+00  1.2168E-03
  2.5313E+00  1.2095E-03
  2.5554E+00  1.2832E-03
  2.5795E+00  1.2306E-03
  2.6036E+00  1.2437E-03
  2.6277E+00  1.1094E-03
  2.6518E+00  1.1866E-03
  2.6759E+00  1.0401E-03
  2.7000E+00  1.1229E-03
  2.7241E+00  1.0515E-03
  2.7482E+00  8.9405E-04
  2.7724E+00  9.7682E-04
  2.7965E+00  1.0010E-03
  2.8206E+00  1.0273E-03
  2.8447E+00  8.2859E-04
  2.8688E+00  9.0043E-04
  2.8929E+00  8.6936E-04
  2.9170E+00  8.9408E-04
  2.9411E+00  8.0224E-04
  2.9652E+00  7.8076E-04
  2.9893E+00  7.7129E-04
  3.0134E+00  7.6169E-04
  3.0375E+00  7.0843E-04
  3.0616E+00  6.9890E-04
  3.0857E+00  7.0225E-04
  3.1099E+00  7.5718E-04
  3.1340E+00  7.1144E-04
  3.1581E+00  6.6255E-04
  3.1822E+00  6.9377E-04
  3.2063E+00  6.4269E-04
  3.2304E+00  6.4944E-04
  3.2545E+00  7.1495E-04
