# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jul 16 16:38:03 2018
# diag: zprofile, run(s): act, time window: 0-2221.6578(265 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt05/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       kx=0,ky=3.
 -3.1416E+00  3.2170E-05
 -3.0925E+00  3.2870E-05
 -3.0434E+00  3.4281E-05
 -2.9943E+00  3.6640E-05
 -2.9452E+00  3.8609E-05
 -2.8962E+00  4.0786E-05
 -2.8471E+00  4.2635E-05
 -2.7980E+00  4.3467E-05
 -2.7489E+00  4.3271E-05
 -2.6998E+00  4.3194E-05
 -2.6507E+00  4.1719E-05
 -2.6016E+00  3.9142E-05
 -2.5525E+00  3.8567E-05
 -2.5035E+00  3.7246E-05
 -2.4544E+00  3.6820E-05
 -2.4053E+00  3.7538E-05
 -2.3562E+00  3.6796E-05
 -2.3071E+00  3.6772E-05
 -2.2580E+00  3.7384E-05
 -2.2089E+00  3.9993E-05
 -2.1598E+00  4.6167E-05
 -2.1108E+00  5.3720E-05
 -2.0617E+00  6.3941E-05
 -2.0126E+00  7.8328E-05
 -1.9635E+00  8.9971E-05
 -1.9144E+00  9.2571E-05
 -1.8653E+00  8.4797E-05
 -1.8162E+00  7.0599E-05
 -1.7671E+00  5.6563E-05
 -1.7181E+00  4.6778E-05
 -1.6690E+00  4.0642E-05
 -1.6199E+00  3.7901E-05
 -1.5708E+00  3.5700E-05
 -1.5217E+00  3.4997E-05
 -1.4726E+00  3.3088E-05
 -1.4235E+00  3.1957E-05
 -1.3744E+00  2.9960E-05
 -1.3254E+00  2.7800E-05
 -1.2763E+00  2.4602E-05
 -1.2272E+00  2.2779E-05
 -1.1781E+00  2.1232E-05
 -1.1290E+00  2.0589E-05
 -1.0799E+00  2.0379E-05
 -1.0308E+00  2.1134E-05
 -9.8175E-01  2.1686E-05
 -9.3266E-01  2.1874E-05
 -8.8357E-01  2.1699E-05
 -8.3449E-01  2.1578E-05
 -7.8540E-01  2.2253E-05
 -7.3631E-01  2.3643E-05
 -6.8722E-01  2.6647E-05
 -6.3814E-01  3.0399E-05
 -5.8905E-01  3.4492E-05
 -5.3996E-01  4.0679E-05
 -4.9087E-01  4.8514E-05
 -4.4179E-01  5.8819E-05
 -3.9270E-01  6.7600E-05
 -3.4361E-01  7.8542E-05
 -2.9452E-01  8.7894E-05
 -2.4544E-01  9.4477E-05
 -1.9635E-01  9.9244E-05
 -1.4726E-01  1.0410E-04
 -9.8175E-02  1.0815E-04
 -4.9087E-02  1.1585E-04
  0.0000E+00  1.1635E-04
  4.9087E-02  1.1875E-04
  9.8175E-02  1.1186E-04
  1.4726E-01  1.1064E-04
  1.9635E-01  1.0333E-04
  2.4544E-01  9.6776E-05
  2.9452E-01  8.9511E-05
  3.4361E-01  8.0799E-05
  3.9270E-01  7.1352E-05
  4.4179E-01  6.3368E-05
  4.9087E-01  5.4377E-05
  5.3996E-01  4.6487E-05
  5.8905E-01  3.7605E-05
  6.3814E-01  3.1353E-05
  6.8722E-01  2.8070E-05
  7.3631E-01  2.5332E-05
  7.8540E-01  2.3470E-05
  8.3449E-01  2.2360E-05
  8.8357E-01  2.1727E-05
  9.3266E-01  2.1400E-05
  9.8175E-01  2.1523E-05
  1.0308E+00  2.2271E-05
  1.0799E+00  2.2399E-05
  1.1290E+00  2.2137E-05
  1.1781E+00  2.1770E-05
  1.2272E+00  2.2673E-05
  1.2763E+00  2.4528E-05
  1.3254E+00  2.7085E-05
  1.3744E+00  2.8288E-05
  1.4235E+00  3.0472E-05
  1.4726E+00  3.1809E-05
  1.5217E+00  3.3846E-05
  1.5708E+00  3.5243E-05
  1.6199E+00  3.7353E-05
  1.6690E+00  3.9676E-05
  1.7181E+00  4.5275E-05
  1.7671E+00  5.6756E-05
  1.8162E+00  6.8981E-05
  1.8653E+00  8.0812E-05
  1.9144E+00  9.0506E-05
  1.9635E+00  8.6714E-05
  2.0126E+00  7.6111E-05
  2.0617E+00  6.4591E-05
  2.1108E+00  5.3641E-05
  2.1598E+00  4.3778E-05
  2.2089E+00  3.7061E-05
  2.2580E+00  3.4147E-05
  2.3071E+00  3.3036E-05
  2.3562E+00  3.3454E-05
  2.4053E+00  3.5541E-05
  2.4544E+00  3.7368E-05
  2.5035E+00  3.7726E-05
  2.5525E+00  3.6809E-05
  2.6016E+00  3.6348E-05
  2.6507E+00  3.8296E-05
  2.6998E+00  4.1592E-05
  2.7489E+00  4.3067E-05
  2.7980E+00  4.4066E-05
  2.8471E+00  4.2483E-05
  2.8962E+00  3.9693E-05
  2.9452E+00  3.6280E-05
  2.9943E+00  3.3808E-05
  3.0434E+00  3.0911E-05
  3.0925E+00  3.0318E-05
