# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jul 16 16:49:15 2018
# diag: zonal, run(s): act, time window: 0-1205.3236(168 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt05_cobra/
# normalization: L_ref=1.65m
#
# avg. values:
# shearing rate: 0.079921658
#  shear. ra
  1.1658E-08  1.5533E-04  4.9944E-04  7.7735E-04  9.7942E-04  2.2272E-03  5.4847E-03  1.0818E-02  1.3506E-02  1.3060E-02  1.5163E-02  1.9844E-02  2.1295E-02  2.3927E-02  2.4473E-02  2.4312E-02  2.7758E-02  3.0815E-02  3.4136E-02  3.7742E-02  4.0043E-02  4.1873E-02  4.3700E-02  4.6518E-02  4.9143E-02  5.3380E-02  5.9918E-02  6.5505E-02  6.9600E-02  7.1766E-02  7.4512E-02  7.7050E-02  7.8509E-02  7.9747E-02  8.1258E-02  8.2684E-02  8.2092E-02  8.0968E-02  8.1007E-02  8.0909E-02  8.0095E-02  7.9084E-02  7.7519E-02  7.6343E-02  7.7076E-02  7.9038E-02  8.1037E-02  8.1075E-02  7.9668E-02  7.7207E-02  7.4873E-02  7.3038E-02  7.1954E-02  7.1459E-02  7.2483E-02  7.3944E-02  7.5432E-02  7.7053E-02  7.8601E-02  7.9516E-02  8.0384E-02  8.1844E-02  8.3458E-02  8.4185E-02  8.3763E-02  8.2369E-02  8.0480E-02  7.8773E-02  7.7826E-02  7.7817E-02  7.8535E-02  7.9922E-02  8.1995E-02  8.3683E-02  8.5145E-02  8.6149E-02  8.7056E-02  8.7544E-02  8.8394E-02  8.9774E-02  9.0493E-02  9.0704E-02  9.0546E-02  9.0095E-02  8.9539E-02  8.9121E-02  8.9520E-02  9.0884E-02  9.1314E-02  9.0683E-02  8.9400E-02  8.8590E-02  8.8790E-02  8.8984E-02  8.9062E-02  8.9289E-02  8.9014E-02  8.8518E-02  8.7846E-02  8.7077E-02  8.6270E-02  8.5262E-02  8.4002E-02  8.3152E-02  8.2974E-02  8.3324E-02  8.3914E-02  8.5144E-02  8.6887E-02  8.8543E-02  8.9941E-02  9.1327E-02  9.2658E-02  9.3392E-02  9.3563E-02  9.3740E-02  9.3790E-02  9.3941E-02  9.3874E-02  9.3546E-02  9.3220E-02  9.3045E-02  9.3137E-02  9.3423E-02  9.3736E-02  9.3731E-02  9.3720E-02  9.3448E-02  9.2936E-02  9.2581E-02  9.1999E-02  9.0991E-02  9.0183E-02  8.9886E-02  9.0055E-02  9.0493E-02  9.0829E-02  9.0740E-02  9.0393E-02  9.0293E-02  9.0541E-02  9.1042E-02  9.1573E-02  9.1634E-02  9.1637E-02  9.1430E-02  9.1300E-02  9.1264E-02  9.1447E-02  9.1815E-02  9.2155E-02  9.1909E-02  9.0978E-02  9.0112E-02  8.9382E-02  8.8740E-02  8.8344E-02  8.7785E-02  8.7033E-02  8.6632E-02  8.6590E-02  8.6740E-02  8.6683E-02  8.5944E-02  8.5455E-02  8.5619E-02  8.6245E-02  8.7092E-02


# averaged over time
#  kx         shear. rat
  2.4107E-02  1.2200E-04
  4.8215E-02  2.1092E-04
  7.2322E-02  5.2342E-04
  9.6430E-02  7.5675E-04
  1.2054E-01  7.6138E-04
  1.4464E-01  1.5233E-03
  1.6875E-01  1.4799E-03
  1.9286E-01  1.5647E-03
  2.1697E-01  1.4758E-03
  2.4107E-01  2.0244E-03
  2.6518E-01  1.0399E-03
  2.8929E-01  4.4230E-03
  3.1340E-01  1.8982E-03
  3.3750E-01  3.4584E-03
  3.6161E-01  3.8044E-03
  3.8572E-01  5.7869E-03
  4.0983E-01  6.6528E-03
  4.3393E-01  5.3906E-03
  4.5804E-01  5.0496E-03
  4.8215E-01  5.2062E-03
  5.0626E-01  6.7399E-03
  5.3036E-01  5.5099E-03
  5.5447E-01  7.9046E-03
  5.7858E-01  7.2510E-03
  6.0269E-01  5.3924E-03
  6.2679E-01  8.3800E-03
  6.5090E-01  5.2715E-03
  6.7501E-01  7.2318E-03
  6.9911E-01  8.8321E-03
  7.2322E-01  6.9607E-03
  7.4733E-01  8.7048E-03
  7.7144E-01  7.0871E-03
  7.9554E-01  7.2102E-03
  8.1965E-01  6.6150E-03
  8.4376E-01  1.1135E-02
  8.6787E-01  8.3501E-03
  8.9197E-01  6.6389E-03
  9.1608E-01  6.8434E-03
  9.4019E-01  6.9717E-03
  9.6430E-01  8.0708E-03
  9.8840E-01  9.5638E-03
  1.0125E+00  7.7286E-03
  1.0366E+00  1.3191E-02
  1.0607E+00  7.1215E-03
  1.0848E+00  5.8731E-03
  1.1089E+00  6.5962E-03
  1.1330E+00  7.4427E-03
  1.1572E+00  5.8793E-03
  1.1813E+00  8.5160E-03
  1.2054E+00  1.0824E-02
  1.2295E+00  6.8348E-03
  1.2536E+00  5.1891E-03
  1.2777E+00  5.6297E-03
  1.3018E+00  6.0928E-03
  1.3259E+00  5.7395E-03
  1.3500E+00  4.3776E-03
  1.3741E+00  5.1828E-03
  1.3982E+00  5.6500E-03
  1.4223E+00  4.4246E-03
  1.4464E+00  3.8431E-03
  1.4706E+00  3.0616E-03
  1.4947E+00  3.7838E-03
  1.5188E+00  4.1752E-03
  1.5429E+00  4.5848E-03
  1.5670E+00  3.5118E-03
  1.5911E+00  6.3522E-03
  1.6152E+00  2.9613E-03
  1.6393E+00  2.8289E-03
  1.6634E+00  3.4652E-03
  1.6875E+00  3.3381E-03
  1.7116E+00  3.1266E-03
  1.7357E+00  3.8255E-03
  1.7598E+00  3.2361E-03
  1.7839E+00  2.8527E-03
  1.8081E+00  2.3260E-03
  1.8322E+00  2.1376E-03
  1.8563E+00  1.8674E-03
  1.8804E+00  2.0551E-03
  1.9045E+00  3.0126E-03
  1.9286E+00  2.3963E-03
  1.9527E+00  2.8123E-03
  1.9768E+00  2.1444E-03
  2.0009E+00  2.5506E-03
  2.0250E+00  2.2787E-03
  2.0491E+00  2.0221E-03
  2.0732E+00  1.8424E-03
  2.0973E+00  1.9018E-03
  2.1215E+00  1.6299E-03
  2.1456E+00  1.7295E-03
  2.1697E+00  1.4658E-03
  2.1938E+00  1.5258E-03
  2.2179E+00  1.3806E-03
  2.2420E+00  1.4442E-03
  2.2661E+00  1.6271E-03
  2.2902E+00  1.5977E-03
  2.3143E+00  1.4134E-03
  2.3384E+00  1.1544E-03
  2.3625E+00  1.1884E-03
  2.3866E+00  1.2045E-03
  2.4107E+00  1.1485E-03
  2.4348E+00  1.1151E-03
  2.4590E+00  1.4743E-03
  2.4831E+00  1.3353E-03
  2.5072E+00  1.0793E-03
  2.5313E+00  1.1287E-03
  2.5554E+00  9.2325E-04
  2.5795E+00  1.0266E-03
  2.6036E+00  1.1172E-03
  2.6277E+00  9.1029E-04
  2.6518E+00  8.6617E-04
  2.6759E+00  8.4268E-04
  2.7000E+00  8.7204E-04
  2.7241E+00  8.3035E-04
  2.7482E+00  9.1753E-04
  2.7724E+00  8.5254E-04
  2.7965E+00  8.9555E-04
  2.8206E+00  8.5259E-04
  2.8447E+00  7.5845E-04
  2.8688E+00  7.2234E-04
  2.8929E+00  9.2212E-04
  2.9170E+00  7.7830E-04
  2.9411E+00  6.8232E-04
  2.9652E+00  7.8865E-04
  2.9893E+00  7.7221E-04
  3.0134E+00  6.6545E-04
  3.0375E+00  6.9573E-04
  3.0616E+00  6.9673E-04
  3.0857E+00  6.1008E-04
  3.1099E+00  6.3531E-04
  3.1340E+00  6.8860E-04
  3.1581E+00  6.1598E-04
  3.1822E+00  6.1516E-04
  3.2063E+00  5.9946E-04
  3.2304E+00  5.4911E-04
  3.2545E+00  5.8448E-04
  3.2786E+00  5.8219E-04
  3.3027E+00  5.7639E-04
  3.3268E+00  5.7809E-04
  3.3509E+00  5.6924E-04
  3.3750E+00  5.6896E-04
  3.3991E+00  5.2883E-04
  3.4233E+00  5.7667E-04
  3.4474E+00  4.8724E-04
  3.4715E+00  5.5932E-04
  3.4956E+00  5.3269E-04
  3.5197E+00  4.4195E-04
  3.5438E+00  5.1437E-04
  3.5679E+00  5.1771E-04
  3.5920E+00  5.3005E-04
  3.6161E+00  4.9106E-04
  3.6402E+00  5.1329E-04
  3.6643E+00  4.4856E-04
  3.6884E+00  4.7416E-04
  3.7125E+00  4.8262E-04
  3.7366E+00  4.0813E-04
  3.7608E+00  4.3974E-04
  3.7849E+00  4.3930E-04
  3.8090E+00  4.3398E-04
  3.8331E+00  4.6832E-04
  3.8572E+00  4.4527E-04
  3.8813E+00  4.4252E-04
  3.9054E+00  4.1945E-04
  3.9295E+00  4.4392E-04
  3.9536E+00  4.3424E-04
  3.9777E+00  4.2112E-04
  4.0018E+00  4.1633E-04
  4.0259E+00  4.0703E-04
  4.0500E+00  4.3739E-04
  4.0742E+00  4.0945E-04
  4.0983E+00  3.8976E-04
  4.1224E+00  4.1684E-04
  4.1465E+00  4.1880E-04
  4.1706E+00  3.8767E-04
  4.1947E+00  4.2762E-04
  4.2188E+00  3.8512E-04
  4.2429E+00  3.9170E-04
  4.2670E+00  3.6811E-04
  4.2911E+00  4.1665E-04
  4.3152E+00  4.1350E-04
  4.3393E+00  4.0564E-04
  4.3634E+00  3.9312E-04
  4.3875E+00  4.2168E-04
  4.4117E+00  3.7434E-04
  4.4358E+00  3.6876E-04
  4.4599E+00  4.0857E-04
  4.4840E+00  3.9412E-04
  4.5081E+00  3.9666E-04
  4.5322E+00  4.3119E-04
  4.5563E+00  4.0928E-04
  4.5804E+00  4.1293E-04
  4.6045E+00  4.3881E-04
