# CREATED BY GENE DIAGNOSTICS TOOL on Mon Jul 16 16:49:21 2018
# diag: zprofile, run(s): act, time window: 0-1205.3236(168 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt05_cobra/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       kx=0,ky=3.
 -3.1416E+00  3.3307E-05
 -3.0925E+00  3.4538E-05
 -3.0434E+00  3.7036E-05
 -2.9943E+00  4.1327E-05
 -2.9452E+00  4.4874E-05
 -2.8962E+00  4.8230E-05
 -2.8471E+00  4.7110E-05
 -2.7980E+00  4.5637E-05
 -2.7489E+00  4.4756E-05
 -2.6998E+00  4.5894E-05
 -2.6507E+00  4.4927E-05
 -2.6016E+00  4.2944E-05
 -2.5525E+00  4.2456E-05
 -2.5035E+00  4.0591E-05
 -2.4544E+00  3.9129E-05
 -2.4053E+00  3.7730E-05
 -2.3562E+00  3.7260E-05
 -2.3071E+00  3.8698E-05
 -2.2580E+00  4.0595E-05
 -2.2089E+00  4.4665E-05
 -2.1598E+00  5.2688E-05
 -2.1108E+00  6.2494E-05
 -2.0617E+00  7.6176E-05
 -2.0126E+00  9.0959E-05
 -1.9635E+00  1.0094E-04
 -1.9144E+00  1.0390E-04
 -1.8653E+00  9.5173E-05
 -1.8162E+00  8.3201E-05
 -1.7671E+00  7.0443E-05
 -1.7181E+00  5.6309E-05
 -1.6690E+00  4.7287E-05
 -1.6199E+00  4.3719E-05
 -1.5708E+00  4.0625E-05
 -1.5217E+00  4.0410E-05
 -1.4726E+00  3.9188E-05
 -1.4235E+00  3.7153E-05
 -1.3744E+00  3.3140E-05
 -1.3254E+00  2.9741E-05
 -1.2763E+00  2.6464E-05
 -1.2272E+00  2.4554E-05
 -1.1781E+00  2.3075E-05
 -1.1290E+00  2.2797E-05
 -1.0799E+00  2.2196E-05
 -1.0308E+00  2.1775E-05
 -9.8175E-01  2.0831E-05
 -9.3266E-01  2.0790E-05
 -8.8357E-01  2.0354E-05
 -8.3449E-01  2.0832E-05
 -7.8540E-01  2.2074E-05
 -7.3631E-01  2.3975E-05
 -6.8722E-01  2.5771E-05
 -6.3814E-01  2.9777E-05
 -5.8905E-01  3.6377E-05
 -5.3996E-01  4.5514E-05
 -4.9087E-01  5.3539E-05
 -4.4179E-01  6.3239E-05
 -3.9270E-01  7.4030E-05
 -3.4361E-01  8.7302E-05
 -2.9452E-01  1.0032E-04
 -2.4544E-01  1.1277E-04
 -1.9635E-01  1.2409E-04
 -1.4726E-01  1.3415E-04
 -9.8175E-02  1.4018E-04
 -4.9087E-02  1.5022E-04
  0.0000E+00  1.5129E-04
  4.9087E-02  1.5345E-04
  9.8175E-02  1.4386E-04
  1.4726E-01  1.3781E-04
  1.9635E-01  1.2612E-04
  2.4544E-01  1.1335E-04
  2.9452E-01  1.0141E-04
  3.4361E-01  9.0082E-05
  3.9270E-01  7.5448E-05
  4.4179E-01  6.4799E-05
  4.9087E-01  5.3588E-05
  5.3996E-01  4.4515E-05
  5.8905E-01  3.7342E-05
  6.3814E-01  3.2889E-05
  6.8722E-01  2.9174E-05
  7.3631E-01  2.6590E-05
  7.8540E-01  2.4506E-05
  8.3449E-01  2.3168E-05
  8.8357E-01  2.2150E-05
  9.3266E-01  2.1915E-05
  9.8175E-01  2.1499E-05
  1.0308E+00  2.2331E-05
  1.0799E+00  2.3139E-05
  1.1290E+00  2.3977E-05
  1.1781E+00  2.4980E-05
  1.2272E+00  2.7094E-05
  1.2763E+00  2.8940E-05
  1.3254E+00  3.0554E-05
  1.3744E+00  3.0677E-05
  1.4235E+00  3.3292E-05
  1.4726E+00  3.4515E-05
  1.5217E+00  3.7472E-05
  1.5708E+00  3.8341E-05
  1.6199E+00  4.2441E-05
  1.6690E+00  4.5835E-05
  1.7181E+00  5.4402E-05
  1.7671E+00  6.5917E-05
  1.8162E+00  7.9445E-05
  1.8653E+00  9.4100E-05
  1.9144E+00  1.0296E-04
  1.9635E+00  9.8542E-05
  2.0126E+00  8.7006E-05
  2.0617E+00  7.3422E-05
  2.1108E+00  5.7361E-05
  2.1598E+00  4.6148E-05
  2.2089E+00  4.1176E-05
  2.2580E+00  3.8666E-05
  2.3071E+00  3.7386E-05
  2.3562E+00  3.7900E-05
  2.4053E+00  3.9186E-05
  2.4544E+00  3.9778E-05
  2.5035E+00  4.0055E-05
  2.5525E+00  4.1429E-05
  2.6016E+00  4.1985E-05
  2.6507E+00  4.3556E-05
  2.6998E+00  4.5468E-05
  2.7489E+00  4.5916E-05
  2.7980E+00  4.7820E-05
  2.8471E+00  4.8477E-05
  2.8962E+00  4.6989E-05
  2.9452E+00  4.5183E-05
  2.9943E+00  4.3440E-05
  3.0434E+00  3.8850E-05
  3.0925E+00  3.5779E-05
