# CREATED BY GENE DIAGNOSTICS TOOL on Tue Jul 17 13:12:36 2018
# diag: fluxspectra, run(s): act, time window: 0-1205.3236(168 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt05_hydra/
# normalization: L_ref=1.65m
#
# Q*dVdx =   1.5477E-02 MW
# G*dVdx =  -2.4215E-13 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -7.9432E-14  2.6712E-03
  2.4107E-02 -1.2810E-13  3.6825E-03
  4.8215E-02  8.4937E-14  2.5871E-03
  7.2322E-02  2.3694E-14  1.7614E-03
  9.6430E-02  1.5292E-14  1.4039E-03
  1.2054E-01 -1.2513E-14  1.3244E-03
  1.4464E-01 -4.2281E-14  1.5306E-03
  1.6875E-01 -6.8606E-15  1.2149E-03
  1.9286E-01 -3.3083E-15  1.0942E-03
  2.1697E-01  1.2755E-14  1.1044E-03
  2.4107E-01  7.7962E-16  1.1292E-03
  2.6518E-01 -8.1842E-14  1.0473E-03
  2.8929E-01  4.1479E-14  8.9958E-04
  3.1340E-01  8.5528E-15  8.6643E-04
  3.3750E-01  1.3461E-14  7.8751E-04
  3.6161E-01 -1.0645E-14  6.6810E-04
  3.8572E-01 -1.9634E-14  6.3001E-04
  4.0983E-01  2.1932E-14  5.6754E-04
  4.3393E-01 -2.6772E-14  4.9723E-04
  4.5804E-01 -1.2719E-14  4.1887E-04
  4.8215E-01  2.6704E-14  3.7061E-04
  5.0626E-01 -1.0426E-17  3.1786E-04
  5.3036E-01  1.6761E-14  2.8529E-04
  5.5447E-01  8.3733E-15  2.4486E-04
  5.7858E-01 -1.4318E-14  2.2345E-04
  6.0269E-01  9.7291E-15  1.7347E-04
  6.2679E-01  5.5184E-15  1.5517E-04
  6.5090E-01 -3.3439E-15  1.3563E-04
  6.7501E-01 -5.5282E-15  1.2230E-04
  6.9911E-01  2.5288E-15  9.9460E-05
  7.2322E-01  1.8905E-15  9.5852E-05
  7.4733E-01 -6.9404E-15  7.4978E-05
  7.7144E-01 -3.7813E-15  7.3258E-05
  7.9554E-01 -2.8046E-15  5.9936E-05
  8.1965E-01  7.1605E-15  5.3068E-05
  8.4376E-01 -5.2734E-16  4.6466E-05
  8.6787E-01  1.2230E-15  4.1029E-05
  8.9197E-01  5.4103E-15  3.5468E-05
  9.1608E-01  1.1005E-16  3.5345E-05
  9.4019E-01 -6.6959E-16  2.8254E-05
  9.6430E-01 -4.1706E-15  2.6891E-05
  9.8840E-01 -2.4671E-15  2.4188E-05
  1.0125E+00 -1.3031E-15  2.4760E-05
  1.0366E+00 -1.6757E-15  1.9215E-05
  1.0607E+00 -5.7449E-16  1.8296E-05
  1.0848E+00  2.8902E-15  1.4758E-05
  1.1089E+00  1.5054E-15  1.5100E-05
