# CREATED BY GENE DIAGNOSTICS TOOL on Tue Jul 17 13:10:20 2018
# diag: spectra, run(s): act, time window: 0-203.21252(265 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt4/
# normalization: L_ref=1.65m
#
# kxind = 0, z avg.
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  9.5325E-02
  1.0000E-01  4.1398E-02
  1.5000E-01  5.3432E-02
  2.0000E-01  5.0704E-02
  2.5000E-01  5.7033E-02
  3.0000E-01  4.9779E-02
  3.5000E-01  6.3404E-02
  4.0000E-01  8.7886E-02
  4.5000E-01  3.8861E-02
  5.0000E-01  5.1059E-02
  5.5000E-01  3.7035E-02
  6.0000E-01  2.8483E-02
  6.5000E-01  4.0242E-02
  7.0000E-01  2.2828E-02
  7.5000E-01  1.7029E-02
  8.0000E-01  1.4116E-02
  8.5000E-01  1.0353E-02
  9.0000E-01  7.9888E-03
  9.5000E-01  6.5908E-03
  1.0000E+00  5.1665E-03
  1.0500E+00  4.6384E-03
  1.1000E+00  3.5394E-03
  1.1500E+00  3.0647E-03
  1.2000E+00  2.7452E-03
  1.2500E+00  2.3283E-03
  1.3000E+00  2.0333E-03
  1.3500E+00  1.8709E-03
  1.4000E+00  1.6219E-03
  1.4500E+00  1.3729E-03
  1.5000E+00  1.2121E-03
  1.5500E+00  1.1779E-03
  1.6000E+00  1.0611E-03
  1.6500E+00  9.9017E-04
  1.7000E+00  8.3524E-04
  1.7500E+00  7.7637E-04
  1.8000E+00  6.8197E-04
  1.8500E+00  6.6349E-04
  1.9000E+00  5.7646E-04
  1.9500E+00  5.0770E-04
  2.0000E+00  4.7296E-04
  2.0500E+00  4.2967E-04
  2.1000E+00  3.7972E-04
  2.1500E+00  3.6546E-04
  2.2000E+00  3.1614E-04
  2.2500E+00  2.9629E-04
  2.3000E+00  2.7327E-04
  2.3500E+00  2.4564E-04
  2.4000E+00  2.2111E-04
  2.4500E+00  2.0989E-04
  2.5000E+00  1.8813E-04
  2.5500E+00  1.7105E-04
  2.6000E+00  1.6340E-04
  2.6500E+00  1.4449E-04
  2.7000E+00  1.3582E-04
  2.7500E+00  1.2776E-04
  2.8000E+00  1.1963E-04
  2.8500E+00  1.1054E-04
  2.9000E+00  1.0132E-04
  2.9500E+00  9.6185E-05
  3.0000E+00  9.0018E-05
  3.0500E+00  8.5826E-05
  3.1000E+00  8.4572E-05
  3.1500E+00  8.2827E-05


# kxind = 1, z avg.
#  ky         phi       
  0.0000E+00  3.9720E+00
  5.0000E-02  1.5351E-01
  1.0000E-01  8.9138E-02
  1.5000E-01  8.2444E-02
  2.0000E-01  5.9010E-02
  2.5000E-01  5.0800E-02
  3.0000E-01  4.6755E-02
  3.5000E-01  6.2528E-02
  4.0000E-01  5.6678E-02
  4.5000E-01  3.2688E-02
  5.0000E-01  5.1565E-02
  5.5000E-01  4.1804E-02
  6.0000E-01  3.0813E-02
  6.5000E-01  3.1624E-02
  7.0000E-01  2.0146E-02
  7.5000E-01  1.5037E-02
  8.0000E-01  1.3486E-02
  8.5000E-01  1.0038E-02
  9.0000E-01  7.5751E-03
  9.5000E-01  6.4013E-03
  1.0000E+00  4.8179E-03
  1.0500E+00  3.9307E-03
  1.1000E+00  3.4799E-03
  1.1500E+00  2.9938E-03
  1.2000E+00  2.4386E-03
  1.2500E+00  2.1889E-03
  1.3000E+00  1.9613E-03
  1.3500E+00  1.8242E-03
  1.4000E+00  1.5646E-03
  1.4500E+00  1.5413E-03
  1.5000E+00  1.2962E-03
  1.5500E+00  1.1609E-03
  1.6000E+00  1.0642E-03
  1.6500E+00  9.9584E-04
  1.7000E+00  8.8955E-04
  1.7500E+00  8.5045E-04
  1.8000E+00  7.1054E-04
  1.8500E+00  6.4771E-04
  1.9000E+00  5.9614E-04
  1.9500E+00  5.2160E-04
  2.0000E+00  4.9258E-04
  2.0500E+00  4.2814E-04
  2.1000E+00  3.9422E-04
  2.1500E+00  3.6187E-04
  2.2000E+00  3.2496E-04
  2.2500E+00  2.9435E-04
  2.3000E+00  2.7098E-04
  2.3500E+00  2.3753E-04
  2.4000E+00  2.2791E-04
  2.4500E+00  2.0475E-04
  2.5000E+00  1.9002E-04
  2.5500E+00  1.7902E-04
  2.6000E+00  1.5538E-04
  2.6500E+00  1.4927E-04
  2.7000E+00  1.3656E-04
  2.7500E+00  1.2716E-04
  2.8000E+00  1.2459E-04
  2.8500E+00  1.0908E-04
  2.9000E+00  1.0121E-04
  2.9500E+00  9.2942E-05
  3.0000E+00  9.3523E-05
  3.0500E+00  8.7363E-05
  3.1000E+00  8.1613E-05
  3.1500E+00  8.0888E-05


# kxind = 2, z avg.
#  ky         phi       
  0.0000E+00  1.7543E+00
  5.0000E-02  1.2342E-01
  1.0000E-01  6.5545E-02
  1.5000E-01  6.4718E-02
  2.0000E-01  5.4680E-02
