# CREATED BY GENE DIAGNOSTICS TOOL on Tue Jul 17 13:10:21 2018
# diag: zonal, run(s): act, time window: 0-203.21252(265 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt4/
# normalization: L_ref=1.65m
#
# avg. values:
# shearing rate: 0.89326276
#  shear. ra
  1.1658E-08  3.9520E-04  1.2143E-03  3.3146E-03  5.9365E-03  9.0691E-03  1.5833E-02  2.8084E-02  4.1237E-02  5.6691E-02  7.9439E-02  8.5249E-02  9.1042E-02  9.5196E-02  9.8212E-02  1.0530E-01  1.0753E-01  1.0898E-01  1.1563E-01  1.1755E-01  1.1664E-01  1.1943E-01  1.1956E-01  1.2083E-01  1.2009E-01  1.1989E-01  1.2868E-01  1.4251E-01  1.6145E-01  1.6921E-01  1.7655E-01  1.8217E-01  1.8687E-01  1.9278E-01  2.0647E-01  2.2028E-01  2.2416E-01  2.4318E-01  2.5601E-01  2.7043E-01  2.7590E-01  2.8885E-01  3.0574E-01  3.1866E-01  3.3242E-01  3.5070E-01  3.6759E-01  3.8212E-01  4.0850E-01  4.3016E-01  4.4801E-01  4.6877E-01  4.8866E-01  5.0318E-01  5.3116E-01  5.7875E-01  6.3043E-01  6.6463E-01  6.8930E-01  6.9509E-01  6.8916E-01  6.8456E-01  6.9172E-01  7.1003E-01  7.1923E-01  7.4057E-01  7.7389E-01  8.0545E-01  8.2741E-01  8.4702E-01  8.6576E-01  8.7484E-01  8.9321E-01  9.0480E-01  9.0780E-01  9.0425E-01  9.1411E-01  9.2134E-01  9.4642E-01  9.7350E-01  9.8667E-01  9.8275E-01  9.5702E-01  9.2731E-01  8.9025E-01  8.6694E-01  8.5842E-01  8.6751E-01  9.0350E-01  9.4640E-01  9.8706E-01  1.0088E+00  1.0182E+00  1.0216E+00  1.0201E+00  1.0321E+00  1.0561E+00  1.0645E+00  1.0571E+00  1.0454E+00  1.0493E+00  1.0576E+00  1.0672E+00  1.0944E+00  1.1159E+00  1.1335E+00  1.1507E+00  1.1590E+00  1.1483E+00  1.1346E+00  1.1240E+00  1.1139E+00  1.1309E+00  1.1423E+00  1.1518E+00  1.1582E+00  1.1757E+00  1.1803E+00  1.1427E+00  1.0954E+00  1.0512E+00  1.0252E+00  1.0080E+00  9.9852E-01  9.8063E-01  9.7655E-01  9.8208E-01  1.0030E+00  1.0287E+00  1.0729E+00  1.1406E+00  1.1933E+00  1.2377E+00  1.2553E+00  1.2486E+00  1.2179E+00  1.1716E+00  1.1264E+00  1.0982E+00  1.0844E+00  1.0891E+00  1.1189E+00  1.1661E+00  1.2168E+00  1.2573E+00  1.2945E+00  1.3099E+00  1.2858E+00  1.2547E+00  1.2243E+00  1.2318E+00  1.2229E+00  1.1953E+00  1.1560E+00  1.1264E+00  1.1138E+00  1.1036E+00  1.1151E+00  1.1433E+00  1.1593E+00  1.1665E+00  1.1745E+00  1.1652E+00  1.1519E+00  1.1436E+00  1.1560E+00  1.1489E+00  1.1411E+00  1.1184E+00  1.1086E+00  1.0845E+00  1.0757E+00  1.0796E+00  1.0964E+00  1.1219E+00  1.1312E+00  1.1172E+00  1.1063E+00  1.1114E+00  1.1249E+00  1.1409E+00  1.1619E+00  1.1803E+00  1.1808E+00  1.1736E+00  1.1552E+00  1.1227E+00  1.0807E+00  1.0581E+00  1.0619E+00  1.0772E+00  1.1022E+00  1.1344E+00  1.1598E+00  1.1718E+00  1.1762E+00  1.1757E+00  1.1853E+00  1.1930E+00  1.2218E+00  1.2391E+00  1.2628E+00  1.2625E+00  1.2424E+00  1.2026E+00  1.1469E+00  1.0999E+00  1.0752E+00  1.0564E+00  1.0424E+00  1.0250E+00  1.0315E+00  1.0689E+00  1.1177E+00  1.1629E+00  1.1771E+00  1.1802E+00  1.1607E+00  1.1085E+00  1.0664E+00  1.0427E+00  1.0273E+00  1.0208E+00  1.0254E+00  1.0490E+00  1.0702E+00  1.0833E+00  1.1205E+00  1.1686E+00  1.1994E+00  1.2050E+00  1.2088E+00  1.2315E+00  1.2262E+00  1.1881E+00  1.1722E+00  1.1560E+00  1.1450E+00  1.1477E+00  1.1577E+00  1.1575E+00  1.1594E+00  1.1444E+00  1.1534E+00  1.1661E+00  1.1518E+00  1.1356E+00  1.1282E+00  1.1086E+00  1.0979E+00  1.1295E+00  1.1426E+00  1.1423E+00  1.1440E+00  1.1446E+00  1.1467E+00  1.1469E+00  1.1452E+00  1.1569E+00  1.1509E+00  1.1560E+00  1.1701E+00  1.1634E+00  1.1455E+00  1.1322E+00


# averaged over time
#  kx         shear. rat
  2.4107E-02  1.0532E-03
  4.8215E-02  2.6678E-03
  7.2322E-02  4.7607E-03
  9.6430E-02  8.0869E-03
  1.2054E-01  1.0020E-02
  1.4464E-01  1.1666E-02
  1.6875E-01  1.1815E-02
  1.9286E-01  1.0814E-02
  2.1697E-01  1.4284E-02
  2.4107E-01  1.3621E-02
  2.6518E-01  1.9256E-02
  2.8929E-01  1.9013E-02
  3.1340E-01  1.4823E-02
  3.3750E-01  1.9822E-02
  3.6161E-01  2.4894E-02
  3.8572E-01  2.4008E-02
  4.0983E-01  3.1284E-02
  4.3393E-01  3.0844E-02
  4.5804E-01  3.3982E-02
  4.8215E-01  5.0499E-02
  5.0626E-01  5.4188E-02
  5.3036E-01  4.7074E-02
  5.5447E-01  6.0589E-02
  5.7858E-01  6.4912E-02
  6.0269E-01  8.2947E-02
  6.2679E-01  8.5804E-02
  6.5090E-01  7.7293E-02
  6.7501E-01  7.6972E-02
  6.9911E-01  7.0332E-02
  7.2322E-01  6.2684E-02
  7.4733E-01  7.8714E-02
  7.7144E-01  1.1296E-01
  7.9554E-01  7.6289E-02
  8.1965E-01  8.7411E-02
  8.4376E-01  8.4489E-02
  8.6787E-01  1.1257E-01
  8.9197E-01  9.6588E-02
  9.1608E-01  1.0911E-01
  9.4019E-01  9.4195E-02
  9.6430E-01  9.9497E-02
  9.8840E-01  1.0273E-01
  1.0125E+00  9.3218E-02
  1.0366E+00  9.7674E-02
  1.0607E+00  1.1791E-01
  1.0848E+00  1.0377E-01
  1.1089E+00  1.0039E-01
  1.1330E+00  8.8160E-02
  1.1572E+00  9.1171E-02
  1.1813E+00  1.0007E-01
  1.2054E+00  8.9956E-02
  1.2295E+00  7.4067E-02
  1.2536E+00  7.2858E-02
  1.2777E+00  8.4555E-02
  1.3018E+00  7.2937E-02
  1.3259E+00  7.3213E-02
  1.3500E+00  6.8672E-02
  1.3741E+00  5.5663E-02
  1.3982E+00  6.1414E-02
  1.4223E+00  5.3749E-02
  1.4464E+00  5.5650E-02
  1.4706E+00  4.9929E-02
  1.4947E+00  4.1605E-02
  1.5188E+00  4.3403E-02
  1.5429E+00  4.2309E-02
  1.5670E+00  4.4650E-02
  1.5911E+00  3.6369E-02
  1.6152E+00  4.1538E-02
  1.6393E+00  3.9038E-02
  1.6634E+00  3.5828E-02
  1.6875E+00  3.6867E-02
  1.7116E+00  2.8703E-02
  1.7357E+00  2.8694E-02
  1.7598E+00  3.2078E-02
  1.7839E+00  2.8363E-02
  1.8081E+00  3.1509E-02
  1.8322E+00  2.6171E-02
  1.8563E+00  2.6982E-02
  1.8804E+00  2.3097E-02
  1.9045E+00  2.1915E-02
  1.9286E+00  2.3702E-02
  1.9527E+00  2.0552E-02
  1.9768E+00  2.1865E-02
  2.0009E+00  2.0795E-02
  2.0250E+00  1.8785E-02
  2.0491E+00  1.7028E-02
  2.0732E+00  1.7747E-02
  2.0973E+00  1.5113E-02
  2.1215E+00  1.7989E-02
  2.1456E+00  1.6007E-02
  2.1697E+00  1.6094E-02
  2.1938E+00  1.4477E-02
  2.2179E+00  1.3749E-02
  2.2420E+00  1.4759E-02
  2.2661E+00  1.3940E-02
  2.2902E+00  1.4315E-02
  2.3143E+00  1.3002E-02
  2.3384E+00  1.2486E-02
  2.3625E+00  1.1857E-02
  2.3866E+00  1.0800E-02
  2.4107E+00  1.0892E-02
  2.4348E+00  1.0248E-02
  2.4590E+00  1.0655E-02
  2.4831E+00  1.0542E-02
  2.5072E+00  9.6907E-03
  2.5313E+00  1.0062E-02
  2.5554E+00  9.8051E-03
  2.5795E+00  9.3495E-03
  2.6036E+00  9.3583E-03
  2.6277E+00  8.8595E-03
  2.6518E+00  9.1786E-03
  2.6759E+00  8.7544E-03
  2.7000E+00  8.5262E-03
  2.7241E+00  7.5664E-03
  2.7482E+00  8.1406E-03
  2.7724E+00  7.6137E-03
  2.7965E+00  8.2548E-03
  2.8206E+00  7.8920E-03
  2.8447E+00  7.9212E-03
  2.8688E+00  7.6237E-03
  2.8929E+00  7.2125E-03
  2.9170E+00  7.4218E-03
  2.9411E+00  7.1693E-03
  2.9652E+00  7.5805E-03
  2.9893E+00  7.6202E-03
  3.0134E+00  7.2769E-03
  3.0375E+00  7.0030E-03
  3.0616E+00  7.1967E-03
  3.0857E+00  6.9249E-03
  3.1099E+00  6.6338E-03
  3.1340E+00  7.0779E-03
  3.1581E+00  6.6775E-03
  3.1822E+00  6.6056E-03
  3.2063E+00  6.3609E-03
  3.2304E+00  6.6213E-03
  3.2545E+00  6.1099E-03
  3.2786E+00  5.9617E-03
  3.3027E+00  6.0290E-03
  3.3268E+00  6.5972E-03
  3.3509E+00  6.2168E-03
  3.3750E+00  6.2991E-03
  3.3991E+00  6.1331E-03
  3.4233E+00  6.1176E-03
  3.4474E+00  5.7400E-03
  3.4715E+00  6.0718E-03
  3.4956E+00  5.8239E-03
  3.5197E+00  5.6083E-03
  3.5438E+00  5.7292E-03
  3.5679E+00  5.8602E-03
  3.5920E+00  5.7792E-03
  3.6161E+00  5.8616E-03
  3.6402E+00  5.3344E-03
  3.6643E+00  5.6146E-03
  3.6884E+00  5.4357E-03
  3.7125E+00  5.4162E-03
  3.7366E+00  5.8154E-03
  3.7608E+00  5.4193E-03
  3.7849E+00  5.1156E-03
  3.8090E+00  5.5683E-03
  3.8331E+00  5.5625E-03
  3.8572E+00  5.6117E-03
  3.8813E+00  5.5175E-03
  3.9054E+00  5.7018E-03
  3.9295E+00  5.2851E-03
  3.9536E+00  5.4846E-03
  3.9777E+00  5.5066E-03
  4.0018E+00  5.7708E-03
  4.0259E+00  5.5479E-03
  4.0500E+00  5.5957E-03
  4.0742E+00  5.3743E-03
  4.0983E+00  5.2868E-03
  4.1224E+00  5.2804E-03
  4.1465E+00  4.7867E-03
  4.1706E+00  5.1969E-03
  4.1947E+00  4.9308E-03
  4.2188E+00  5.1716E-03
  4.2429E+00  5.6956E-03
  4.2670E+00  5.4596E-03
  4.2911E+00  5.1060E-03
  4.3152E+00  5.4043E-03
  4.3393E+00  5.4060E-03
  4.3634E+00  5.3455E-03
  4.3875E+00  5.4740E-03
  4.4117E+00  5.0087E-03
  4.4358E+00  5.3113E-03
  4.4599E+00  5.4476E-03
  4.4840E+00  5.3379E-03
  4.5081E+00  5.8933E-03
  4.5322E+00  5.1595E-03
  4.5563E+00  5.0882E-03
  4.5804E+00  5.6364E-03
  4.6045E+00  5.9819E-03
