# CREATED BY GENE DIAGNOSTICS TOOL on Tue Jul 17 13:10:21 2018
# diag: zprofile, run(s): act, time window: 0-203.21252(265 steps), species: ions
# original data path: /r/c/cmor/IFERC/W7Xsds05/ITGa/scanomn0omt4/
# normalization: L_ref=1.65m
#
# variable A = phi
#  z/qR       kx=0,ky=3.
 -3.1416E+00  8.0323E-04
 -3.0925E+00  7.5350E-04
 -3.0434E+00  7.9533E-04
 -2.9943E+00  8.9104E-04
 -2.9452E+00  9.3933E-04
 -2.8962E+00  9.9024E-04
 -2.8471E+00  9.9802E-04
 -2.7980E+00  9.5525E-04
 -2.7489E+00  1.0771E-03
 -2.6998E+00  9.8967E-04
 -2.6507E+00  8.7094E-04
 -2.6016E+00  8.3531E-04
 -2.5525E+00  8.1657E-04
 -2.5035E+00  8.3407E-04
 -2.4544E+00  8.5612E-04
 -2.4053E+00  8.0306E-04
 -2.3562E+00  7.9694E-04
 -2.3071E+00  7.9447E-04
 -2.2580E+00  8.9200E-04
 -2.2089E+00  9.9131E-04
 -2.1598E+00  1.1466E-03
 -2.1108E+00  1.4957E-03
 -2.0617E+00  1.9200E-03
 -2.0126E+00  2.7075E-03
 -1.9635E+00  3.5023E-03
 -1.9144E+00  3.5927E-03
 -1.8653E+00  3.4618E-03
 -1.8162E+00  2.7119E-03
 -1.7671E+00  1.9358E-03
 -1.7181E+00  1.5162E-03
 -1.6690E+00  1.2983E-03
 -1.6199E+00  1.1599E-03
 -1.5708E+00  1.1502E-03
 -1.5217E+00  1.1497E-03
 -1.4726E+00  1.0367E-03
 -1.4235E+00  1.0311E-03
 -1.3744E+00  1.0701E-03
 -1.3254E+00  9.1620E-04
 -1.2763E+00  9.5298E-04
 -1.2272E+00  9.2204E-04
 -1.1781E+00  8.3265E-04
 -1.1290E+00  7.9892E-04
 -1.0799E+00  7.8554E-04
 -1.0308E+00  8.0717E-04
 -9.8175E-01  7.8007E-04
 -9.3266E-01  7.9659E-04
 -8.8357E-01  8.6226E-04
 -8.3449E-01  8.9319E-04
 -7.8540E-01  9.2023E-04
 -7.3631E-01  1.0809E-03
 -6.8722E-01  1.2873E-03
 -6.3814E-01  1.5036E-03
 -5.8905E-01  2.0303E-03
 -5.3996E-01  2.5017E-03
 -4.9087E-01  3.6606E-03
 -4.4179E-01  4.7122E-03
 -3.9270E-01  7.2173E-03
 -3.4361E-01  9.0146E-03
 -2.9452E-01  1.2357E-02
 -2.4544E-01  1.4819E-02
 -1.9635E-01  2.1018E-02
 -1.4726E-01  2.3893E-02
 -9.8175E-02  2.7625E-02
 -4.9087E-02  2.9700E-02
  0.0000E+00  3.0184E-02
  4.9087E-02  2.7322E-02
  9.8175E-02  2.7444E-02
  1.4726E-01  2.5472E-02
  1.9635E-01  1.9315E-02
  2.4544E-01  1.5193E-02
  2.9452E-01  1.2975E-02
  3.4361E-01  9.5751E-03
  3.9270E-01  6.9516E-03
  4.4179E-01  4.9142E-03
  4.9087E-01  3.6101E-03
  5.3996E-01  2.5323E-03
  5.8905E-01  1.9819E-03
  6.3814E-01  1.4841E-03
  6.8722E-01  1.2579E-03
  7.3631E-01  1.0265E-03
  7.8540E-01  9.2502E-04
  8.3449E-01  8.8918E-04
  8.8357E-01  8.6037E-04
  9.3266E-01  8.2813E-04
  9.8175E-01  8.6098E-04
  1.0308E+00  7.7294E-04
  1.0799E+00  8.4339E-04
  1.1290E+00  7.9669E-04
  1.1781E+00  8.5631E-04
  1.2272E+00  8.4482E-04
  1.2763E+00  8.9963E-04
  1.3254E+00  9.3220E-04
  1.3744E+00  9.7100E-04
  1.4235E+00  1.0799E-03
  1.4726E+00  1.1221E-03
  1.5217E+00  1.1207E-03
  1.5708E+00  1.1424E-03
  1.6199E+00  1.2188E-03
  1.6690E+00  1.3406E-03
  1.7181E+00  1.5430E-03
  1.7671E+00  2.0806E-03
  1.8162E+00  2.5856E-03
  1.8653E+00  3.2558E-03
  1.9144E+00  3.8501E-03
  1.9635E+00  3.4375E-03
  2.0126E+00  2.7067E-03
  2.0617E+00  1.9987E-03
  2.1108E+00  1.4798E-03
  2.1598E+00  1.2465E-03
  2.2089E+00  1.0115E-03
  2.2580E+00  9.2172E-04
  2.3071E+00  8.8999E-04
  2.3562E+00  8.1029E-04
  2.4053E+00  7.8320E-04
  2.4544E+00  8.0798E-04
  2.5035E+00  8.4354E-04
  2.5525E+00  8.4668E-04
  2.6016E+00  8.8009E-04
  2.6507E+00  8.8989E-04
  2.6998E+00  9.8194E-04
  2.7489E+00  1.0152E-03
  2.7980E+00  9.4488E-04
  2.8471E+00  1.0063E-03
  2.8962E+00  1.0145E-03
  2.9452E+00  8.8854E-04
  2.9943E+00  9.0386E-04
  3.0434E+00  8.2361E-04
  3.0925E+00  7.9254E-04
