# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 25 10:16:47 2019
# diag: spectra, run(s): act, time window: 0-1185.227(313 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds06/ITGa_NL/omt1/
# normalization: L_T,ions=5.508m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  1.2203E-03
  1.0000E-01  3.4415E-03
  1.5000E-01  2.0638E-03
  2.0000E-01  2.2271E-03
  2.5000E-01  2.5295E-03
  3.0000E-01  2.1053E-03
  3.5000E-01  1.9205E-03
  4.0000E-01  1.3664E-03
  4.5000E-01  1.1821E-03
  5.0000E-01  8.3233E-04
  5.5000E-01  7.2718E-04
  6.0000E-01  6.7481E-04
  6.5000E-01  4.6472E-04
  7.0000E-01  4.4096E-04
  7.5000E-01  2.9378E-04
  8.0000E-01  2.0519E-04
  8.5000E-01  1.9149E-04
  9.0000E-01  1.4853E-04
  9.5000E-01  1.0344E-04
  1.0000E+00  7.8880E-05
  1.0500E+00  6.5396E-05
  1.1000E+00  5.7144E-05
  1.1500E+00  4.9073E-05
  1.2000E+00  3.7157E-05
  1.2500E+00  3.0102E-05
  1.3000E+00  2.5379E-05
  1.3500E+00  1.9394E-05
  1.4000E+00  1.7342E-05
  1.4500E+00  1.5230E-05
  1.5000E+00  1.2364E-05
  1.5500E+00  1.0946E-05
  1.6000E+00  9.4273E-06
  1.6500E+00  8.6575E-06
  1.7000E+00  6.5627E-06
  1.7500E+00  6.0407E-06
  1.8000E+00  5.3886E-06
  1.8500E+00  4.8247E-06
  1.9000E+00  4.5289E-06
  1.9500E+00  3.8640E-06
  2.0000E+00  3.1002E-06
  2.0500E+00  2.9919E-06
  2.1000E+00  2.6530E-06
  2.1500E+00  2.4609E-06
  2.2000E+00  2.1485E-06
  2.2500E+00  1.7707E-06
  2.3000E+00  1.6840E-06
  2.3500E+00  1.5379E-06
  2.4000E+00  1.3805E-06
  2.4500E+00  1.2763E-06
  2.5000E+00  1.1350E-06
  2.5500E+00  9.5547E-07
  2.6000E+00  9.1428E-07
  2.6500E+00  8.3771E-07
  2.7000E+00  7.4854E-07
  2.7500E+00  6.8753E-07
  2.8000E+00  5.8971E-07
  2.8500E+00  5.9005E-07
  2.9000E+00  5.4681E-07
  2.9500E+00  4.6235E-07
  3.0000E+00  4.1927E-07
  3.0500E+00  4.0461E-07
  3.1000E+00  3.9037E-07
  3.1500E+00  3.5782E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.7995E-01
  5.0000E-02  1.4098E-03
  1.0000E-01  2.6887E-03
  1.5000E-01  2.5179E-03
  2.0000E-01  1.7209E-03
  2.5000E-01  2.2137E-03
  3.0000E-01  1.9598E-03
  3.5000E-01  1.9147E-03
  4.0000E-01  1.4106E-03
  4.5000E-01  1.1867E-03
  5.0000E-01  9.6548E-04
  5.5000E-01  7.4045E-04
  6.0000E-01  6.8043E-04
  6.5000E-01  5.7551E-04
  7.0000E-01  4.6341E-04
  7.5000E-01  3.1361E-04
  8.0000E-01  3.3951E-04
  8.5000E-01  1.8992E-04
