# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 25 10:16:51 2019
# diag: zonal, run(s): act, time window: 0-1185.227(313 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds06/ITGa_NL/omt1/
# normalization: L_T,ions=5.508m
#
# avg. values:
# shearing rate: 0.1518069
#  shear. ra
  1.9350E-08  3.4639E-04  1.2130E-03  1.8714E-03  2.1501E-03  2.5506E-03  4.8568E-03  8.6067E-03  1.2567E-02  1.8339E-02  2.2792E-02  2.6593E-02  2.4737E-02  2.7869E-02  3.1425E-02  3.5236E-02  4.2218E-02  4.7806E-02  6.1219E-02  7.2272E-02  8.3124E-02  9.2955E-02  1.0316E-01  1.1086E-01  1.1113E-01  1.1059E-01  1.1163E-01  1.1570E-01  1.2208E-01  1.2293E-01  1.2389E-01  1.2438E-01  1.2439E-01  1.3084E-01  1.3569E-01  1.3416E-01  1.3272E-01  1.3162E-01  1.3523E-01  1.4076E-01  1.4315E-01  1.4353E-01  1.4320E-01  1.4486E-01  1.4578E-01  1.4582E-01  1.4966E-01  1.5704E-01  1.6155E-01  1.5943E-01  1.5396E-01  1.4952E-01  1.4706E-01  1.4302E-01  1.4333E-01  1.4463E-01  1.4696E-01  1.4729E-01  1.4526E-01  1.4229E-01  1.3749E-01  1.3083E-01  1.2354E-01  1.1935E-01  1.1925E-01  1.2569E-01  1.3810E-01  1.4317E-01  1.4502E-01  1.4721E-01  1.5033E-01  1.5347E-01  1.5647E-01  1.5730E-01  1.5791E-01  1.5598E-01  1.5190E-01  1.4917E-01  1.4830E-01  1.4998E-01  1.5288E-01  1.5854E-01  1.6510E-01  1.7044E-01  1.6871E-01  1.6841E-01  1.7186E-01  1.7287E-01  1.7171E-01  1.7560E-01  1.7802E-01  1.7286E-01  1.7110E-01  1.6758E-01  1.6581E-01  1.6723E-01  1.6542E-01  1.5746E-01  1.4996E-01  1.4562E-01  1.4292E-01  1.4114E-01  1.4819E-01  1.5867E-01  1.5890E-01  1.5840E-01  1.5889E-01  1.6298E-01  1.6547E-01  1.6516E-01  1.6670E-01  1.6623E-01  1.6255E-01  1.5625E-01  1.4922E-01  1.4414E-01  1.4078E-01  1.4115E-01  1.4399E-01  1.4851E-01  1.5123E-01  1.5247E-01  1.5347E-01  1.5608E-01  1.5815E-01  1.6184E-01  1.6172E-01  1.5776E-01  1.5560E-01  1.5581E-01  1.5792E-01  1.5884E-01  1.6094E-01  1.6594E-01  1.7084E-01  1.7082E-01  1.7742E-01  1.7851E-01  1.7154E-01  1.6101E-01  1.5237E-01  1.4583E-01  1.4884E-01  1.5383E-01  1.5684E-01  1.5971E-01  1.6288E-01  1.6907E-01  1.7201E-01  1.7275E-01  1.7012E-01  1.6328E-01  1.5913E-01  1.6021E-01  1.5841E-01  1.5667E-01  1.6273E-01  1.6894E-01  1.6982E-01  1.6375E-01  1.5730E-01  1.5298E-01  1.5292E-01  1.5420E-01  1.5891E-01  1.6527E-01  1.6592E-01  1.6680E-01  1.6884E-01  1.7269E-01  1.7438E-01  1.6701E-01  1.6002E-01  1.5431E-01  1.5642E-01  1.6175E-01  1.6301E-01  1.6321E-01  1.6980E-01  1.7421E-01  1.7617E-01  1.7590E-01  1.7108E-01  1.6526E-01  1.6139E-01  1.5735E-01  1.5700E-01  1.5805E-01  1.5903E-01  1.6344E-01  1.6963E-01  1.7454E-01  1.8083E-01  1.8634E-01  1.8924E-01  1.8376E-01  1.7694E-01  1.6957E-01  1.6475E-01  1.6236E-01  1.6230E-01  1.6619E-01  1.7377E-01  1.8124E-01  1.8564E-01  1.8147E-01  1.7164E-01  1.6639E-01  1.6861E-01  1.6935E-01  1.7130E-01  1.7608E-01  1.7770E-01  1.7174E-01  1.6429E-01  1.6278E-01  1.6725E-01  1.7144E-01  1.7016E-01  1.6891E-01  1.6315E-01  1.5943E-01  1.5517E-01  1.4996E-01  1.4907E-01  1.5585E-01  1.6078E-01  1.6380E-01  1.6696E-01  1.6684E-01  1.6590E-01  1.6367E-01  1.6389E-01  1.7377E-01  1.7954E-01  1.7994E-01  1.7815E-01  1.7576E-01  1.7126E-01  1.6690E-01  1.6397E-01  1.5642E-01  1.5015E-01  1.4504E-01  1.4590E-01  1.4292E-01  1.4525E-01  1.5014E-01  1.5736E-01  1.5751E-01  1.6055E-01  1.6848E-01  1.7630E-01  1.7288E-01  1.6022E-01  1.4839E-01  1.4439E-01  1.4913E-01  1.6094E-01  1.7265E-01  1.7625E-01  1.7338E-01  1.6622E-01  1.5996E-01  1.5546E-01  1.5345E-01  1.5611E-01  1.6585E-01  1.7664E-01  1.7899E-01  1.8217E-01  1.7867E-01  1.7200E-01  1.6955E-01  1.7151E-01  1.7048E-01  1.7009E-01  1.7548E-01  1.7489E-01  1.7359E-01  1.7433E-01  1.7466E-01  1.7366E-01  1.6947E-01  1.6320E-01  1.5478E-01  1.4748E-01  1.4586E-01  1.5281E-01  1.5646E-01  1.5784E-01  1.5905E-01  1.6026E-01  1.6275E-01  1.6418E-01  1.5916E-01  1.5234E-01  1.4819E-01  1.4201E-01  1.4288E-01  1.4188E-01  1.4521E-01  1.5400E-01  1.5976E-01  1.5977E-01  1.6258E-01  1.6703E-01  1.6962E-01  1.6985E-01  1.6824E-01  1.6781E-01  1.6751E-01  1.6599E-01


# averaged over time
#  kx         shear. rat
  3.1575E-02  4.9846E-04
  6.3150E-02  1.5337E-03
  9.4725E-02  1.6039E-03
  1.2630E-01  3.9173E-03
  1.5788E-01  4.6377E-03
  1.8945E-01  5.4906E-03
  2.2103E-01  6.1773E-03
  2.5260E-01  7.9649E-03
  2.8418E-01  6.2184E-03
  3.1575E-01  1.0850E-02
  3.4733E-01  9.2848E-03
  3.7890E-01  1.0168E-02
  4.1048E-01  8.2712E-03
  4.4205E-01  1.1070E-02
  4.7363E-01  1.0430E-02
  5.0520E-01  9.9513E-03
  5.3678E-01  9.4822E-03
  5.6835E-01  1.3384E-02
  5.9993E-01  1.3056E-02
  6.3150E-01  1.4573E-02
  6.6308E-01  1.2889E-02
  6.9465E-01  1.4017E-02
  7.2623E-01  1.4460E-02
  7.5780E-01  1.5158E-02
  7.8938E-01  1.6273E-02
  8.2095E-01  1.7774E-02
  8.5253E-01  1.6348E-02
  8.8410E-01  1.9406E-02
  9.1568E-01  1.5612E-02
  9.4725E-01  1.7906E-02
  9.7883E-01  1.6257E-02
  1.0104E+00  1.8573E-02
  1.0420E+00  1.7715E-02
  1.0736E+00  1.5447E-02
  1.1051E+00  1.5082E-02
  1.1367E+00  1.6360E-02
  1.1683E+00  1.5291E-02
  1.1999E+00  1.7410E-02
  1.2314E+00  1.5618E-02
  1.2630E+00  1.3025E-02
  1.2946E+00  1.3076E-02
  1.3262E+00  1.3171E-02
  1.3577E+00  1.5438E-02
  1.3893E+00  1.1975E-02
  1.4209E+00  1.1490E-02
  1.4525E+00  1.3389E-02
  1.4840E+00  1.0781E-02
  1.5156E+00  1.0218E-02
  1.5472E+00  1.0207E-02
  1.5788E+00  8.2958E-03
  1.6103E+00  8.8874E-03
  1.6419E+00  7.8809E-03
  1.6735E+00  7.0359E-03
  1.7051E+00  6.8226E-03
  1.7366E+00  7.2868E-03
  1.7682E+00  7.1839E-03
  1.7998E+00  5.8584E-03
  1.8314E+00  5.9723E-03
  1.8629E+00  5.2197E-03
  1.8945E+00  5.7542E-03
  1.9261E+00  5.1144E-03
  1.9577E+00  5.1282E-03
  1.9892E+00  5.0930E-03
  2.0208E+00  5.0116E-03
  2.0524E+00  4.5319E-03
  2.0840E+00  4.8070E-03
  2.1155E+00  4.1804E-03
  2.1471E+00  3.8368E-03
  2.1787E+00  4.1490E-03
  2.2103E+00  3.8899E-03
  2.2418E+00  3.4760E-03
  2.2734E+00  3.6332E-03
  2.3050E+00  3.4632E-03
  2.3366E+00  3.4115E-03
  2.3681E+00  3.1032E-03
  2.3997E+00  2.8877E-03
  2.4313E+00  2.9107E-03
  2.4629E+00  3.1719E-03
  2.4944E+00  2.9467E-03
  2.5260E+00  2.6853E-03
  2.5576E+00  2.8683E-03
  2.5892E+00  2.6924E-03
  2.6207E+00  2.7431E-03
  2.6523E+00  2.5845E-03
  2.6839E+00  2.3597E-03
  2.7155E+00  2.4224E-03
  2.7470E+00  2.2716E-03
  2.7786E+00  2.2618E-03
  2.8102E+00  2.2966E-03
  2.8418E+00  2.2708E-03
  2.8733E+00  2.0366E-03
  2.9049E+00  2.0170E-03
  2.9365E+00  2.1056E-03
  2.9681E+00  2.0202E-03
  2.9996E+00  1.9834E-03
  3.0312E+00  1.9495E-03
  3.0628E+00  1.8336E-03
  3.0944E+00  1.7430E-03
  3.1259E+00  1.7904E-03
  3.1575E+00  1.7974E-03
  3.1891E+00  1.7613E-03
  3.2207E+00  1.6799E-03
  3.2522E+00  1.7201E-03
  3.2838E+00  1.6215E-03
  3.3154E+00  1.7136E-03
  3.3470E+00  1.5182E-03
  3.3785E+00  1.6047E-03
  3.4101E+00  1.5500E-03
  3.4417E+00  1.5425E-03
  3.4733E+00  1.5168E-03
  3.5048E+00  1.4477E-03
  3.5364E+00  1.4544E-03
  3.5680E+00  1.4923E-03
  3.5996E+00  1.4291E-03
  3.6311E+00  1.4368E-03
  3.6627E+00  1.4645E-03
  3.6943E+00  1.3930E-03
  3.7259E+00  1.4462E-03
  3.7574E+00  1.3660E-03
  3.7890E+00  1.2886E-03
  3.8206E+00  1.3782E-03
  3.8522E+00  1.3652E-03
  3.8837E+00  1.3113E-03
  3.9153E+00  1.2392E-03
  3.9469E+00  1.2962E-03
  3.9785E+00  1.3449E-03
  4.0100E+00  1.2586E-03
  4.0416E+00  1.2525E-03
  4.0732E+00  1.1965E-03
  4.1048E+00  1.2745E-03
  4.1363E+00  1.2517E-03
  4.1679E+00  1.1880E-03
  4.1995E+00  1.2082E-03
  4.2311E+00  1.2481E-03
  4.2626E+00  1.2268E-03
  4.2942E+00  1.2829E-03
  4.3258E+00  1.2028E-03
  4.3574E+00  1.2700E-03
  4.3889E+00  1.2678E-03
  4.4205E+00  1.1360E-03
  4.4521E+00  1.1650E-03
  4.4837E+00  1.2358E-03
  4.5152E+00  1.2521E-03
  4.5468E+00  1.1816E-03
  4.5784E+00  1.1939E-03
  4.6100E+00  1.1787E-03
  4.6415E+00  1.1286E-03
  4.6731E+00  1.0953E-03
  4.7047E+00  1.1601E-03
  4.7363E+00  1.1399E-03
  4.7678E+00  1.1425E-03
  4.7994E+00  1.1502E-03
  4.8310E+00  1.1224E-03
  4.8626E+00  1.2132E-03
  4.8941E+00  1.1383E-03
  4.9257E+00  1.1368E-03
  4.9573E+00  1.0909E-03
  4.9889E+00  1.0902E-03
