# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 25 11:29:29 2019
# diag: spectra, run(s): act, time window: 0-871.90948(317 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds06/ITGa_NL/omt2/
# normalization: L_T,ions
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  3.7849E-03
  1.0000E-01  2.6430E-03
  1.5000E-01  1.5971E-03
  2.0000E-01  2.3942E-03
  2.5000E-01  2.2302E-03
  3.0000E-01  1.9135E-03
  3.5000E-01  2.7012E-03
  4.0000E-01  2.1398E-03
  4.5000E-01  2.4635E-03
  5.0000E-01  3.0112E-03
  5.5000E-01  3.6768E-03
  6.0000E-01  2.4854E-03
  6.5000E-01  1.9178E-03
  7.0000E-01  1.8586E-03
  7.5000E-01  1.3590E-03
  8.0000E-01  9.7176E-04
  8.5000E-01  6.8636E-04
  9.0000E-01  5.7451E-04
  9.5000E-01  4.1073E-04
  1.0000E+00  3.7875E-04
  1.0500E+00  2.7040E-04
  1.1000E+00  2.1677E-04
  1.1500E+00  2.0489E-04
  1.2000E+00  1.7245E-04
  1.2500E+00  1.4067E-04
  1.3000E+00  1.2306E-04
  1.3500E+00  1.0452E-04
  1.4000E+00  8.9633E-05
  1.4500E+00  9.8343E-05
  1.5000E+00  7.8413E-05
  1.5500E+00  7.2866E-05
  1.6000E+00  5.6096E-05
  1.6500E+00  5.1286E-05
  1.7000E+00  4.5515E-05
  1.7500E+00  4.5321E-05
  1.8000E+00  3.9065E-05
  1.8500E+00  3.7180E-05
  1.9000E+00  3.2098E-05
  1.9500E+00  2.7972E-05
  2.0000E+00  2.5351E-05
  2.0500E+00  2.2123E-05
  2.1000E+00  2.0298E-05
  2.1500E+00  1.8172E-05
  2.2000E+00  1.6186E-05
  2.2500E+00  1.5171E-05
  2.3000E+00  1.3552E-05
  2.3500E+00  1.2345E-05
  2.4000E+00  1.0212E-05
  2.4500E+00  1.0445E-05
  2.5000E+00  8.6066E-06
  2.5500E+00  7.8658E-06
  2.6000E+00  7.5430E-06
  2.6500E+00  6.9618E-06
  2.7000E+00  6.3621E-06
  2.7500E+00  5.9217E-06
  2.8000E+00  5.3664E-06
  2.8500E+00  4.9231E-06
  2.9000E+00  4.4774E-06
  2.9500E+00  4.0769E-06
  3.0000E+00  3.9011E-06
  3.0500E+00  3.7199E-06
  3.1000E+00  3.4148E-06
  3.1500E+00  3.4217E-06


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  3.1098E-01
  5.0000E-02  4.8172E-03
  1.0000E-01  3.2907E-03
  1.5000E-01  2.8278E-03
  2.0000E-01  2.8587E-03
  2.5000E-01  2.5283E-03
  3.0000E-01  2.3672E-03
  3.5000E-01  2.3067E-03
  4.0000E-01  2.0539E-03
  4.5000E-01  2.4678E-03
  5.0000E-01  2.4729E-03
  5.5000E-01  2.3332E-03
  6.0000E-01  2.5098E-03
  6.5000E-01  2.4131E-03
  7.0000E-01  1.5476E-03
  7.5000E-01  1.2501E-03
