# CREATED BY GENE DIAGNOSTICS TOOL on Mon Feb 18 21:50:31 2019
# diag: fluxspectra, run(s): 1-act, time window: 0-1604.8523(505 steps), species: ions
# original data path: /ptmp/cmor/IFERC/W7Xsds09/ITGa/omt1/
# normalization: L_ref=1.65m
#
# Q*dVdx =   2.3508E-01 MW
# G*dVdx =  -1.3928E-12 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -1.0383E-12  5.8636E-02
  1.0480E-01  4.6297E-13  9.2840E-02
  2.0961E-01  1.1189E-12  5.9923E-02
  3.1441E-01 -9.4934E-13  3.8498E-02
  4.1921E-01  1.7464E-13  2.5085E-02
  5.2402E-01 -5.6115E-13  1.6884E-02
  6.2882E-01 -1.4178E-13  1.1366E-02
  7.3362E-01 -8.3908E-14  8.0634E-03
  8.3843E-01 -6.4068E-15  5.2476E-03
  9.4323E-01  6.2726E-14  3.5556E-03
  1.0480E+00 -8.1996E-14  2.3929E-03
  1.1528E+00  5.6055E-14  1.6478E-03
  1.2576E+00 -1.2126E-14  1.1978E-03
  1.3624E+00  1.0637E-13  8.4637E-04
  1.4672E+00  4.8831E-14  6.1409E-04
  1.5721E+00  6.9642E-14  4.7394E-04
  1.6769E+00  5.6544E-14  3.6175E-04
  1.7817E+00  5.6786E-15  2.7778E-04
  1.8865E+00  3.7819E-15  2.1992E-04
  1.9913E+00  2.0616E-14  1.7290E-04
  2.0961E+00  1.6044E-14  1.3305E-04
  2.2009E+00 -1.3721E-14  1.0498E-04
  2.3057E+00  1.9769E-15  8.1795E-05
  2.4105E+00 -3.1145E-15  6.5052E-05
  2.5153E+00 -1.0533E-14  5.1145E-05
  2.6201E+00  4.1132E-15  4.1087E-05
  2.7249E+00  4.6210E-15  3.2862E-05
  2.8297E+00 -1.1681E-15  2.6691E-05
  2.9345E+00  3.0792E-15  2.1091E-05
  3.0393E+00  3.3770E-15  1.6848E-05
  3.1441E+00  7.8588E-16  1.3179E-05
  3.2489E+00  2.3157E-15  1.0614E-05
  3.3537E+00  1.1280E-15  8.2666E-06
  3.4585E+00 -9.1033E-16  6.7555E-06
  3.5633E+00 -4.3173E-16  5.3408E-06
  3.6681E+00  1.1629E-15  4.4799E-06
  3.7729E+00 -2.1187E-16  3.5266E-06
  3.8777E+00  2.7720E-16  2.8008E-06
  3.9825E+00 -9.3891E-16  2.3288E-06
  4.0873E+00 -5.4688E-16  1.8466E-06
  4.1921E+00 -8.4478E-17  1.5463E-06
  4.2969E+00 -5.5784E-16  1.2559E-06
  4.4017E+00  8.6533E-17  1.0946E-06
  4.5065E+00 -6.5218E-17  9.0194E-07
  4.6114E+00 -6.1198E-17  7.8801E-07
  4.7162E+00 -3.2356E-16  6.5516E-07
  4.8210E+00 -2.4846E-16  6.1643E-07
  4.9258E+00  9.2168E-17  5.4635E-07
  5.0306E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02 -1.3286E-13  4.6919E-03
  1.0000E-01 -2.9009E-13  1.1760E-02
  1.5000E-01  1.4969E-13  2.3959E-02
  2.0000E-01 -1.0210E-13  4.2089E-02
  2.5000E-01  4.5110E-14  3.9292E-02
  3.0000E-01 -6.3354E-13  4.0416E-02
  3.5000E-01  2.7628E-13  3.3327E-02
  4.0000E-01 -1.7259E-13  2.3614E-02
  4.5000E-01  1.4715E-13  1.8524E-02
  5.0000E-01 -1.4693E-13  1.6601E-02
  5.5000E-01  1.1114E-13  1.2287E-02
  6.0000E-01 -1.4521E-13  1.2920E-02
  6.5000E-01  4.5705E-15  8.9562E-03
  7.0000E-01 -3.5921E-13  8.0813E-03
  7.5000E-01  2.2705E-13  6.4123E-03
  8.0000E-01 -2.3235E-13  4.5811E-03
  8.5000E-01 -1.2125E-14  3.8018E-03
  9.0000E-01  1.5080E-13  3.0765E-03
  9.5000E-01 -7.3543E-14  2.3929E-03
  1.0000E+00  1.8229E-13  1.8988E-03
  1.0500E+00  4.1706E-14  1.5389E-03
  1.1000E+00 -5.5906E-15  1.2556E-03
  1.1500E+00  6.6108E-14  1.0952E-03
  1.2000E+00  1.6089E-13  8.8894E-04
