# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 14:49:24 2019
# diag: fluxspectra, run(s): act, time window: 0-236.18304(476 steps), species: ions
# original data path: /marconi_work/FUA23_ESTRELLA/LHD/ITGa_NL/omt6/
# normalization: L_ref=1.65m
#
# Q*dVdx =   5.9578E+00 MW
# G*dVdx =   9.2993E-11 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  9.9775E-12  3.0889E+00
  1.3380E-01  2.4875E-11  4.3738E+00
  2.6759E-01  2.4894E-11  4.4292E+00
  4.0139E-01 -5.1247E-11  3.2894E+00
  5.3518E-01  3.3249E-12  2.1639E+00
  6.6898E-01  2.1623E-11  1.5542E+00
  8.0277E-01  4.8882E-11  1.0796E+00
  9.3657E-01  3.2589E-11  7.2944E-01
  1.0704E+00  2.1414E-11  5.0699E-01
  1.2042E+00  1.4186E-12  3.6794E-01
  1.3380E+00 -2.1684E-11  2.7013E-01
  1.4718E+00  9.8161E-12  2.0277E-01
  1.6055E+00 -2.3701E-12  1.5522E-01
  1.7393E+00 -6.7099E-12  1.2069E-01
  1.8731E+00  9.5912E-12  9.5078E-02
  2.0069E+00 -2.5833E-12  7.6936E-02
  2.1407E+00 -2.7457E-12  6.1488E-02
  2.2745E+00  4.1242E-12  4.9858E-02
  2.4083E+00 -3.1018E-12  4.1171E-02
  2.5421E+00 -1.9965E-12  3.4173E-02
  2.6759E+00  3.0770E-12  2.8428E-02
  2.8097E+00 -1.5555E-12  2.3863E-02
  2.9435E+00  2.0484E-12  2.0109E-02
  3.0773E+00 -2.3928E-12  1.6898E-02
  3.2111E+00  7.0968E-13  1.4397E-02
  3.3449E+00 -1.5295E-14  1.2370E-02
  3.4787E+00  2.2586E-13  1.0655E-02
  3.6125E+00  1.0514E-12  9.2341E-03
  3.7463E+00 -7.8366E-13  7.9539E-03
  3.8801E+00  1.4498E-12  7.0562E-03
  4.0139E+00  6.0763E-13  5.9397E-03
  4.1477E+00  3.3369E-13  5.1826E-03
  4.2815E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  3.8000E-02  4.2909E-11  3.1335E+00
  7.6000E-02  1.6606E-11  2.2559E+00
  1.1400E-01  1.8078E-11  3.0467E+00
  1.5200E-01 -4.0291E-11  2.5763E+00
  1.9000E-01 -2.9788E-11  2.3843E+00
  2.2800E-01  2.4792E-11  1.9608E+00
  2.6600E-01  6.0852E-12  1.5509E+00
  3.0400E-01  4.6207E-11  1.2576E+00
  3.4200E-01  1.3592E-11  9.4883E-01
  3.8000E-01  1.9154E-11  6.8984E-01
  4.1800E-01  6.3818E-12  5.1539E-01
  4.5600E-01 -1.3308E-11  4.0693E-01
  4.9400E-01  5.0190E-12  3.2461E-01
  5.3200E-01  1.0357E-11  2.5930E-01
  5.7000E-01 -2.3735E-12  2.1023E-01
  6.0800E-01  1.3843E-11  1.7304E-01
  6.4600E-01 -3.7779E-12  1.4712E-01
