# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 14:49:24 2019
# diag: spectra, run(s): act, time window: 0-236.18304(476 steps), species: ions
# original data path: /marconi_work/FUA23_ESTRELLA/LHD/ITGa_NL/omt6/
# normalization: L_ref=1.65m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  3.8000E-02  5.6860E+00
  7.6000E-02  8.3615E-01
  1.1400E-01  6.4066E-01
  1.5200E-01  5.1640E-01
  1.9000E-01  4.0938E-01
  2.2800E-01  2.4583E-01
  2.6600E-01  1.6386E-01
  3.0400E-01  1.3407E-01
  3.4200E-01  8.8893E-02
  3.8000E-01  5.8365E-02
  4.1800E-01  4.2250E-02
  4.5600E-01  3.3959E-02
  4.9400E-01  2.6218E-02
  5.3200E-01  2.0530E-02
  5.7000E-01  1.6428E-02
  6.0800E-01  1.2969E-02
  6.4600E-01  1.0752E-02
  6.8400E-01  8.6831E-03
  7.2200E-01  7.0717E-03
  7.6000E-01  5.7562E-03
  7.9800E-01  4.8231E-03
  8.3600E-01  4.0081E-03
  8.7400E-01  3.2756E-03
  9.1200E-01  2.6642E-03
  9.5000E-01  2.2850E-03
  9.8800E-01  1.8335E-03
  1.0260E+00  1.5165E-03
  1.0640E+00  1.2838E-03
  1.1020E+00  1.0408E-03
  1.1400E+00  8.6109E-04
  1.1780E+00  7.3372E-04
  1.2160E+00  6.1195E-04
  1.2540E+00  5.0863E-04
  1.2920E+00  4.3196E-04
  1.3300E+00  3.6755E-04
  1.3680E+00  3.0401E-04
  1.4060E+00  2.5681E-04
  1.4440E+00  2.2263E-04
  1.4820E+00  1.8948E-04
  1.5200E+00  1.6168E-04
  1.5580E+00  1.3805E-04
  1.5960E+00  1.1784E-04
  1.6340E+00  1.0162E-04
  1.6720E+00  8.7750E-05
  1.7100E+00  7.6115E-05
  1.7480E+00  6.5819E-05
  1.7860E+00  5.7616E-05
  1.8240E+00  5.0685E-05
  1.8620E+00  4.3142E-05
  1.9000E+00  3.8299E-05
  1.9380E+00  3.3824E-05
  1.9760E+00  3.0075E-05
  2.0140E+00  2.6153E-05
  2.0520E+00  2.2949E-05
  2.0900E+00  2.0449E-05
  2.1280E+00  1.8229E-05
  2.1660E+00  1.6062E-05
  2.2040E+00  1.4726E-05
  2.2420E+00  1.2921E-05
  2.2800E+00  1.1513E-05
  2.3180E+00  1.0419E-05
  2.3560E+00  9.3345E-06
  2.3940E+00  8.3284E-06
  2.4320E+00  7.7059E-06
  2.4700E+00  6.9331E-06
  2.5080E+00  6.3245E-06
  2.5460E+00  5.7363E-06
  2.5840E+00  5.2710E-06
  2.6220E+00  4.7925E-06
  2.6600E+00  4.3950E-06
  2.6980E+00  4.0055E-06
  2.7360E+00  3.7349E-06
  2.7740E+00  3.4744E-06
  2.8120E+00  3.1826E-06
  2.8500E+00  2.9106E-06
  2.8880E+00  2.7308E-06
  2.9260E+00  2.5074E-06
  2.9640E+00  2.3277E-06
  3.0020E+00  2.1667E-06
  3.0400E+00  2.0318E-06
  3.0780E+00  1.8653E-06
  3.1160E+00  1.7702E-06
  3.1540E+00  1.6553E-06
  3.1920E+00  1.5704E-06
  3.2300E+00  1.4600E-06
  3.2680E+00  1.3903E-06
  3.3060E+00  1.3169E-06
  3.3440E+00  1.2473E-06
  3.3820E+00  1.1967E-06
  3.4200E+00  1.1258E-06
  3.4580E+00  1.1095E-06
  3.4960E+00  1.0783E-06
  3.5340E+00  1.0284E-06
  3.5720E+00  9.9467E-07
  3.6100E+00  9.6170E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.4886E+01
  3.8000E-02  1.8165E+00
  7.6000E-02  9.8752E-01
  1.1400E-01  7.9253E-01
  1.5200E-01  5.1710E-01
  1.9000E-01  3.7852E-01
  2.2800E-01  2.4413E-01
  2.6600E-01  1.7989E-01
  3.0400E-01  1.2324E-01
  3.4200E-01  8.6342E-02
  3.8000E-01  5.7457E-02
  4.1800E-01  4.4410E-02
  4.5600E-01  3.3096E-02
  4.9400E-01  2.6040E-02
  5.3200E-01  2.0250E-02
  5.7000E-01  1.6112E-02
  6.0800E-01  1.3396E-02
  6.4600E-01  1.0642E-02
  6.8400E-01  8.4650E-03
  7.2200E-01  7.0188E-03
  7.6000E-01  5.7532E-03
  7.9800E-01  4.7010E-03
  8.3600E-01  3.9506E-03
  8.7400E-01  3.2964E-03
  9.1200E-01  2.6737E-03
  9.5000E-01  2.1854E-03
  9.8800E-01  1.8544E-03
  1.0260E+00  1.5245E-03
  1.0640E+00  1.2288E-03
  1.1020E+00  1.0526E-03
  1.1400E+00  8.6950E-04
  1.1780E+00  7.3291E-04
  1.2160E+00  6.1862E-04
  1.2540E+00  5.0746E-04
  1.2920E+00  4.2339E-04
  1.3300E+00  3.6746E-04
  1.3680E+00  3.0729E-04
  1.4060E+00  2.5919E-04
  1.4440E+00  2.2252E-04
  1.4820E+00  1.8737E-04
  1.5200E+00  1.5944E-04
  1.5580E+00  1.3753E-04
  1.5960E+00  1.1825E-04
  1.6340E+00  1.0232E-04
  1.6720E+00  8.9235E-05
  1.7100E+00  7.5729E-05
  1.7480E+00  6.6129E-05
  1.7860E+00  5.7847E-05
  1.8240E+00  5.0419E-05
  1.8620E+00  4.3754E-05
  1.9000E+00  3.8568E-05
  1.9380E+00  3.3540E-05
  1.9760E+00  2.9438E-05
  2.0140E+00  2.6136E-05
  2.0520E+00  2.3093E-05
  2.0900E+00  2.0381E-05
  2.1280E+00  1.8155E-05
  2.1660E+00  1.6137E-05
  2.2040E+00  1.4585E-05
  2.2420E+00  1.3053E-05
  2.2800E+00  1.1709E-05
  2.3180E+00  1.0425E-05
  2.3560E+00  9.3424E-06
  2.3940E+00  8.5323E-06
  2.4320E+00  7.5716E-06
  2.4700E+00  6.9848E-06
  2.5080E+00  6.3527E-06
  2.5460E+00  5.7171E-06
  2.5840E+00  5.2769E-06
  2.6220E+00  4.7833E-06
  2.6600E+00  4.3013E-06
  2.6980E+00  3.9750E-06
  2.7360E+00  3.7224E-06
  2.7740E+00  3.3960E-06
  2.8120E+00  3.1430E-06
  2.8500E+00  2.8737E-06
  2.8880E+00  2.7192E-06
  2.9260E+00  2.5085E-06
  2.9640E+00  2.3415E-06
  3.0020E+00  2.1742E-06
  3.0400E+00  2.0522E-06
  3.0780E+00  1.8998E-06
  3.1160E+00  1.7662E-06
  3.1540E+00  1.6595E-06
  3.1920E+00  1.5610E-06
  3.2300E+00  1.4544E-06
  3.2680E+00  1.3712E-06
  3.3060E+00  1.3138E-06
  3.3440E+00  1.2388E-06
  3.3820E+00  1.1806E-06
  3.4200E+00  1.1506E-06
  3.4580E+00  1.0977E-06
  3.4960E+00  1.0596E-06
  3.5340E+00  1.0336E-06
  3.5720E+00  9.8950E-07
  3.6100E+00  9.8053E-07


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  8.8178E+00
  3.8000E-02  2.4692E+00
  7.6000E-02  1.1060E+00
  1.1400E-01  1.0105E+00
  1.5200E-01  5.4542E-01
  1.9000E-01  3.9462E-01
  2.2800E-01  2.6216E-01
  2.6600E-01  1.5628E-01
  3.0400E-01  1.1058E-01
  3.4200E-01  8.0160E-02
  3.8000E-01  5.5130E-02
  4.1800E-01  4.2764E-02
  4.5600E-01  3.2370E-02
  4.9400E-01  2.5545E-02
  5.3200E-01  2.0120E-02
  5.7000E-01  1.5833E-02
  6.0800E-01  1.2776E-02
  6.4600E-01  1.0687E-02
  6.8400E-01  8.4116E-03
  7.2200E-01  6.9389E-03
  7.6000E-01  5.7054E-03
  7.9800E-01  4.8164E-03
  8.3600E-01  3.9171E-03
  8.7400E-01  3.2700E-03
  9.1200E-01  2.6481E-03
  9.5000E-01  2.2100E-03
  9.8800E-01  1.8239E-03
  1.0260E+00  1.5041E-03
  1.0640E+00  1.2616E-03
  1.1020E+00  1.0439E-03
  1.1400E+00  8.6805E-04
  1.1780E+00  7.1250E-04
  1.2160E+00  6.1549E-04
  1.2540E+00  5.0164E-04
  1.2920E+00  4.2763E-04
  1.3300E+00  3.6105E-04
  1.3680E+00  3.0278E-04
  1.4060E+00  2.6200E-04
  1.4440E+00  2.2223E-04
  1.4820E+00  1.8787E-04
  1.5200E+00  1.5729E-04
  1.5580E+00  1.3580E-04
  1.5960E+00  1.1778E-04
  1.6340E+00  1.0073E-04
  1.6720E+00  8.9349E-05
  1.7100E+00  7.5148E-05
  1.7480E+00  6.7184E-05
  1.7860E+00  5.7017E-05
  1.8240E+00  5.0130E-05
  1.8620E+00  4.4405E-05
  1.9000E+00  3.8189E-05
  1.9380E+00  3.3607E-05
  1.9760E+00  3.0050E-05
  2.0140E+00  2.6096E-05
  2.0520E+00  2.2904E-05
  2.0900E+00  2.0513E-05
  2.1280E+00  1.8163E-05
  2.1660E+00  1.6187E-05
