# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 15:08:19 2019
# diag: fluxspectra, run(s): act, time window: 0-1417.0983(476 steps), species: ions
# original data path: /marconi_work/FUA23_ESTRELLA/LHD/ITGa_NL/omt6/
# normalization: L_T,ions
#
# Q*dVdx =   1.6549E-01 MW
# G*dVdx =   8.7159E-14 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  6.0409E-13  8.5803E-02
  1.3380E-01 -1.8114E-12  1.2149E-01
  2.6759E-01  2.6773E-12  1.2303E-01
  4.0139E-01  1.4837E-12  9.1373E-02
  5.3518E-01 -3.5626E-13  6.0110E-02
  6.6898E-01 -5.8436E-13  4.3172E-02
  8.0277E-01 -7.3141E-13  2.9989E-02
  9.3657E-01 -6.4225E-15  2.0262E-02
  1.0704E+00 -2.0984E-13  1.4083E-02
  1.2042E+00 -4.1257E-13  1.0221E-02
  1.3380E+00  1.6457E-13  7.5037E-03
  1.4718E+00 -2.4044E-13  5.6326E-03
  1.6055E+00 -1.2499E-13  4.3116E-03
  1.7393E+00 -3.7436E-14  3.3525E-03
  1.8731E+00 -1.2934E-13  2.6411E-03
  2.0069E+00  5.3249E-14  2.1371E-03
  2.1407E+00  1.1125E-13  1.7080E-03
  2.2745E+00 -1.4105E-13  1.3849E-03
  2.4083E+00 -1.4505E-13  1.1436E-03
  2.5421E+00 -8.8646E-14  9.4924E-04
  2.6759E+00 -1.7327E-15  7.8968E-04
  2.8097E+00  6.8306E-14  6.6285E-04
  2.9435E+00 -6.2453E-14  5.5858E-04
  3.0773E+00 -6.1231E-14  4.6938E-04
  3.2111E+00  1.5672E-14  3.9991E-04
  3.3449E+00  1.5821E-15  3.4361E-04
  3.4787E+00  3.8875E-14  2.9597E-04
  3.6125E+00  5.7283E-15  2.5650E-04
  3.7463E+00 -1.2069E-14  2.2094E-04
  3.8801E+00  2.3809E-14  1.9601E-04
  4.0139E+00  1.2134E-15  1.6499E-04
  4.1477E+00  2.4304E-14  1.4396E-04
  4.2815E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  3.8000E-02  3.2772E-13  8.7042E-02
  7.6000E-02  5.1366E-13  6.2663E-02
  1.1400E-01  4.9897E-13  8.4631E-02
  1.5200E-01 -7.7777E-13  7.1563E-02
  1.9000E-01  7.3612E-13  6.6230E-02
  2.2800E-01  9.0680E-13  5.4467E-02
  2.6600E-01 -1.9041E-13  4.3080E-02
  3.0400E-01 -8.3140E-13  3.4935E-02
  3.4200E-01 -1.3682E-13  2.6357E-02
  3.8000E-01 -1.0413E-13  1.9162E-02
  4.1800E-01 -3.1873E-13  1.4316E-02
  4.5600E-01  3.3209E-13  1.1304E-02
  4.9400E-01 -1.7307E-13  9.0170E-03
  5.3200E-01 -4.2391E-13  7.2028E-03
  5.7000E-01  2.6825E-13  5.8398E-03
  6.0800E-01  1.2581E-13  4.8068E-03
  6.4600E-01  1.5728E-13  4.0865E-03
  6.8400E-01 -2.3267E-13  3.4535E-03
  7.2200E-01  1.1124E-13  2.9209E-03
  7.6000E-01 -2.8873E-13  2.5365E-03
  7.9800E-01 -7.8163E-14  2.2127E-03
  8.3600E-01 -8.6879E-15  1.9305E-03
  8.7400E-01 -6.9495E-14  1.7039E-03
  9.1200E-01 -5.9224E-14  1.4778E-03
  9.5000E-01  3.2846E-14  1.3126E-03
  9.8800E-01  6.9205E-15  1.1526E-03
  1.0260E+00  2.5142E-14  1.0212E-03
  1.0640E+00 -7.7790E-14  9.0288E-04
  1.1020E+00 -3.6880E-14  8.0762E-04
  1.1400E+00 -8.3292E-14  7.2177E-04
  1.1780E+00 -2.8669E-14  6.3956E-04
  1.2160E+00  2.9897E-14  5.7768E-04
  1.2540E+00 -3.1372E-14  5.1210E-04
  1.2920E+00  5.0048E-14  4.5714E-04
  1.3300E+00 -9.0885E-14  4.0998E-04
  1.3680E+00  2.4486E-14  3.6561E-04
  1.4060E+00 -5.7930E-15  3.2517E-04
  1.4440E+00 -3.8483E-14  2.9075E-04
  1.4820E+00  2.4789E-14  2.6126E-04
  1.5200E+00 -6.4852E-15  2.3222E-04
  1.5580E+00  2.3005E-15  2.0819E-04
  1.5960E+00  2.0802E-15  1.8519E-04
  1.6340E+00  6.9134E-15  1.6586E-04
  1.6720E+00 -2.4254E-15  1.4734E-04
  1.7100E+00 -3.7292E-15  1.3006E-04
  1.7480E+00  1.7991E-14  1.1653E-04
  1.7860E+00  9.4715E-15  1.0246E-04
  1.8240E+00 -1.9640E-14  9.2000E-05
  1.8620E+00  1.3892E-15  8.1359E-05
  1.9000E+00 -3.5850E-15  7.1786E-05
  1.9380E+00 -2.3952E-15  6.3764E-05
  1.9760E+00  7.5406E-15  5.7043E-05
  2.0140E+00 -2.6999E-15  5.0210E-05
  2.0520E+00  2.4811E-15  4.4541E-05
  2.0900E+00  4.8140E-15  3.9239E-05
  2.1280E+00  5.1705E-15  3.4836E-05
  2.1660E+00 -6.2834E-16  3.0664E-05
  2.2040E+00  8.5548E-16  2.7143E-05
  2.2420E+00  3.4985E-16  2.4295E-05
  2.2800E+00  6.3024E-16  2.1450E-05
  2.3180E+00  2.2913E-15  1.9055E-05
  2.3560E+00  5.0309E-15  1.6999E-05
  2.3940E+00 -1.1105E-15  1.5166E-05
  2.4320E+00 -1.5845E-15  1.3506E-05
  2.4700E+00  1.1716E-15  1.1952E-05
  2.5080E+00  2.3623E-15  1.0730E-05
  2.5460E+00 -2.6768E-16  9.6665E-06
  2.5840E+00  5.3079E-16  8.6736E-06
  2.6220E+00 -5.0435E-16  7.6601E-06
  2.6600E+00  1.3324E-15  6.9465E-06
  2.6980E+00  1.1444E-16  6.2528E-06
  2.7360E+00  1.0287E-15  5.6583E-06
  2.7740E+00  3.8425E-16  5.1638E-06
  2.8120E+00  7.4449E-16  4.7094E-06
  2.8500E+00  1.2687E-16  4.2832E-06
  2.8880E+00  5.1456E-16  3.8516E-06
  2.9260E+00 -2.0835E-16  3.5484E-06
  2.9640E+00 -1.4965E-16  3.2541E-06
  3.0020E+00 -1.1820E-16  3.0020E-06
  3.0400E+00 -4.1643E-16  2.7462E-06
  3.0780E+00  1.0646E-16  2.5624E-06
  3.1160E+00 -7.1824E-16  2.3591E-06
  3.1540E+00 -5.1251E-17  2.1477E-06
  3.1920E+00 -1.6081E-17  2.0069E-06
  3.2300E+00  2.2641E-16  1.8487E-06
  3.2680E+00  3.2755E-16  1.7558E-06
  3.3060E+00  3.6126E-16  1.5961E-06
  3.3440E+00  1.2795E-16  1.5224E-06
  3.3820E+00 -3.6915E-17  1.4012E-06
  3.4200E+00 -4.6040E-16  1.2695E-06
  3.4580E+00 -2.3723E-17  1.1690E-06
  3.4960E+00  1.6799E-16  1.0362E-06
  3.5340E+00 -1.5978E-17  9.6659E-07
  3.5720E+00 -4.4111E-16  8.3326E-07
  3.6100E+00  9.5845E-17  7.2190E-07
