# CREATED BY GENE DIAGNOSTICS TOOL on Fri Feb 22 15:08:19 2019
# diag: spectra, run(s): act, time window: 0-1417.0983(476 steps), species: ions
# original data path: /marconi_work/FUA23_ESTRELLA/LHD/ITGa_NL/omt6/
# normalization: L_T,ions
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  3.8000E-02  1.5795E-01
  7.6000E-02  2.3226E-02
  1.1400E-01  1.7796E-02
  1.5200E-01  1.4345E-02
  1.9000E-01  1.1372E-02
  2.2800E-01  6.8287E-03
  2.6600E-01  4.5518E-03
  3.0400E-01  3.7242E-03
  3.4200E-01  2.4692E-03
  3.8000E-01  1.6212E-03
  4.1800E-01  1.1736E-03
  4.5600E-01  9.4330E-04
  4.9400E-01  7.2827E-04
  5.3200E-01  5.7028E-04
  5.7000E-01  4.5634E-04
  6.0800E-01  3.6026E-04
  6.4600E-01  2.9865E-04
  6.8400E-01  2.4120E-04
  7.2200E-01  1.9644E-04
  7.6000E-01  1.5989E-04
  7.9800E-01  1.3397E-04
  8.3600E-01  1.1134E-04
  8.7400E-01  9.0989E-05
  9.1200E-01  7.4005E-05
  9.5000E-01  6.3474E-05
  9.8800E-01  5.0931E-05
  1.0260E+00  4.2125E-05
  1.0640E+00  3.5661E-05
  1.1020E+00  2.8912E-05
  1.1400E+00  2.3919E-05
  1.1780E+00  2.0381E-05
  1.2160E+00  1.6999E-05
  1.2540E+00  1.4129E-05
  1.2920E+00  1.1999E-05
  1.3300E+00  1.0210E-05
  1.3680E+00  8.4447E-06
  1.4060E+00  7.1335E-06
  1.4440E+00  6.1842E-06
  1.4820E+00  5.2632E-06
  1.5200E+00  4.4911E-06
  1.5580E+00  3.8348E-06
  1.5960E+00  3.2734E-06
  1.6340E+00  2.8229E-06
  1.6720E+00  2.4375E-06
  1.7100E+00  2.1143E-06
  1.7480E+00  1.8283E-06
  1.7860E+00  1.6004E-06
  1.8240E+00  1.4079E-06
  1.8620E+00  1.1984E-06
  1.9000E+00  1.0639E-06
  1.9380E+00  9.3955E-07
  1.9760E+00  8.3542E-07
  2.0140E+00  7.2646E-07
  2.0520E+00  6.3749E-07
  2.0900E+00  5.6804E-07
  2.1280E+00  5.0636E-07
  2.1660E+00  4.4617E-07
  2.2040E+00  4.0904E-07
  2.2420E+00  3.5892E-07
  2.2800E+00  3.1979E-07
  2.3180E+00  2.8941E-07
  2.3560E+00  2.5929E-07
  2.3940E+00  2.3134E-07
  2.4320E+00  2.1405E-07
  2.4700E+00  1.9258E-07
  2.5080E+00  1.7568E-07
  2.5460E+00  1.5934E-07
  2.5840E+00  1.4642E-07
  2.6220E+00  1.3312E-07
  2.6600E+00  1.2208E-07
  2.6980E+00  1.1126E-07
  2.7360E+00  1.0375E-07
  2.7740E+00  9.6512E-08
  2.8120E+00  8.8406E-08
  2.8500E+00  8.0849E-08
  2.8880E+00  7.5855E-08
  2.9260E+00  6.9651E-08
  2.9640E+00  6.4659E-08
  3.0020E+00  6.0187E-08
  3.0400E+00  5.6438E-08
  3.0780E+00  5.1814E-08
  3.1160E+00  4.9173E-08
