# CREATED BY GENE DIAGNOSTICS TOOL on Thu Aug 30 18:27:04 2018
# diag: fluxspectra, run(s): act, time window: 0-87.063935(628 steps), species: ions
# original data path: /ptmp/cmor/s-alpha/
# normalization: R_0
#
# Q*dVdx =   4.2916E+01 MW
# G*dVdx =  -1.0666E-10 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  8.0580E-11  3.0718E+01
  4.9009E-02 -6.7502E-10  5.9748E+01
  9.8018E-02 -1.2784E-10  4.2109E+01
  1.4703E-01  2.4872E-10  3.7569E+01
  1.9604E-01 -1.4346E-10  3.1454E+01
  2.4504E-01 -4.8253E-10  2.5640E+01
  2.9405E-01  5.2754E-10  1.9931E+01
  3.4306E-01 -5.1023E-10  1.7272E+01
  3.9207E-01 -4.1094E-11  1.4309E+01
  4.4108E-01  1.1049E-10  1.1655E+01
  4.9009E-01  1.1869E-10  9.7980E+00
  5.3910E-01  2.3394E-10  8.0922E+00
  5.8811E-01  8.5918E-11  6.5870E+00
  6.3712E-01 -1.7155E-11  5.6521E+00
  6.8612E-01  1.9488E-10  4.7296E+00
  7.3513E-01 -6.0521E-11  4.0355E+00
  7.8414E-01  6.2942E-11  3.4648E+00
  8.3315E-01  8.6269E-11  3.0091E+00
  8.8216E-01  1.1510E-10  2.7124E+00
  9.3117E-01  5.7174E-11  2.3717E+00
  9.8018E-01  1.9469E-11  2.1280E+00
  1.0292E+00 -8.1823E-11  1.8977E+00
  1.0782E+00  4.2940E-11  1.6854E+00
  1.1272E+00  5.3125E-11  1.5207E+00
  1.1762E+00 -9.1248E-11  1.3961E+00
  1.2252E+00  1.3331E-11  1.2575E+00
  1.2742E+00 -7.2327E-11  1.1535E+00
  1.3232E+00 -6.5967E-11  1.0350E+00
  1.3722E+00  7.3426E-12  9.6593E-01
  1.4213E+00  2.0621E-11  8.6865E-01
  1.4703E+00 -5.4567E-11  8.0127E-01
  1.5193E+00  6.5290E-12  7.2502E-01
  1.5683E+00 -2.6216E-11  6.6622E-01
  1.6173E+00  6.9012E-12  6.1901E-01
  1.6663E+00  3.7146E-11  5.7158E-01
  1.7153E+00  1.1456E-11  5.2453E-01
  1.7643E+00  1.9713E-12  4.7925E-01
  1.8133E+00 -6.9676E-11  4.4368E-01
  1.8623E+00 -9.6806E-12  4.1424E-01
  1.9113E+00 -2.5059E-12  3.7635E-01
  1.9604E+00 -5.4561E-12  3.4864E-01
  2.0094E+00  1.4627E-11  3.2438E-01
  2.0584E+00  1.4564E-11  2.9540E-01
  2.1074E+00  1.4284E-11  2.7752E-01
  2.1564E+00  5.4652E-12  2.5778E-01
  2.2054E+00 -5.8400E-12  2.4077E-01
