# CREATED BY GENE DIAGNOSTICS TOOL on Thu Aug 30 18:27:06 2018
# diag: zprofile, run(s): act, time window: 0-87.063935(628 steps), species: ions
# original data path: /ptmp/cmor/s-alpha/
# normalization: R_0
#
# variable A = phi
#  z/qR       kx=0,ky=3.
 -3.1416E+00  3.0692E-03
 -3.0925E+00  3.0739E-03
 -3.0434E+00  3.0427E-03
 -2.9943E+00  3.2817E-03
 -2.9452E+00  3.2184E-03
 -2.8962E+00  3.1770E-03
 -2.8471E+00  3.3476E-03
 -2.7980E+00  3.3321E-03
 -2.7489E+00  3.5851E-03
 -2.6998E+00  3.4196E-03
 -2.6507E+00  3.7074E-03
 -2.6016E+00  3.6016E-03
 -2.5525E+00  3.8622E-03
 -2.5035E+00  3.7000E-03
 -2.4544E+00  3.6949E-03
 -2.4053E+00  3.9498E-03
 -2.3562E+00  4.1462E-03
 -2.3071E+00  3.9479E-03
 -2.2580E+00  3.9345E-03
 -2.2089E+00  4.1144E-03
 -2.1598E+00  4.3289E-03
 -2.1108E+00  4.3261E-03
 -2.0617E+00  4.3331E-03
 -2.0126E+00  4.5999E-03
 -1.9635E+00  4.7795E-03
 -1.9144E+00  4.7693E-03
 -1.8653E+00  4.8709E-03
 -1.8162E+00  4.8836E-03
 -1.7671E+00  5.0984E-03
 -1.7181E+00  5.0751E-03
 -1.6690E+00  5.2603E-03
 -1.6199E+00  5.4693E-03
 -1.5708E+00  5.5145E-03
 -1.5217E+00  5.6236E-03
 -1.4726E+00  5.8322E-03
 -1.4235E+00  6.3255E-03
 -1.3744E+00  6.1959E-03
 -1.3254E+00  6.4552E-03
 -1.2763E+00  6.6723E-03
 -1.2272E+00  6.9469E-03
 -1.1781E+00  6.8886E-03
 -1.1290E+00  7.1634E-03
 -1.0799E+00  7.2291E-03
 -1.0308E+00  7.7195E-03
 -9.8175E-01  7.6560E-03
 -9.3266E-01  7.7503E-03
 -8.8357E-01  8.3536E-03
 -8.3449E-01  8.2588E-03
 -7.8540E-01  8.7607E-03
 -7.3631E-01  8.8584E-03
 -6.8722E-01  9.2238E-03
 -6.3814E-01  9.4430E-03
 -5.8905E-01  9.4706E-03
 -5.3996E-01  9.6583E-03
 -4.9087E-01  1.0034E-02
 -4.4179E-01  1.0521E-02
 -3.9270E-01  1.0359E-02
 -3.4361E-01  1.0744E-02
 -2.9452E-01  1.0743E-02
 -2.4544E-01  1.0669E-02
 -1.9635E-01  1.0888E-02
 -1.4726E-01  1.0905E-02
 -9.8175E-02  1.1304E-02
 -4.9087E-02  1.0932E-02
  0.0000E+00  1.1497E-02
  4.9087E-02  1.1461E-02
  9.8175E-02  1.1602E-02
  1.4726E-01  1.1159E-02
  1.9635E-01  1.1138E-02
  2.4544E-01  1.0853E-02
  2.9452E-01  1.0970E-02
  3.4361E-01  1.0840E-02
  3.9270E-01  1.0723E-02
  4.4179E-01  9.9963E-03
  4.9087E-01  9.7100E-03
  5.3996E-01  9.7966E-03
  5.8905E-01  9.9385E-03
  6.3814E-01  9.2941E-03
  6.8722E-01  9.0341E-03
  7.3631E-01  8.9776E-03
  7.8540E-01  8.7871E-03
  8.3449E-01  8.3732E-03
  8.8357E-01  8.2739E-03
  9.3266E-01  8.2151E-03
  9.8175E-01  8.0227E-03
  1.0308E+00  7.6773E-03
  1.0799E+00  7.3394E-03
  1.1290E+00  7.2760E-03
  1.1781E+00  7.2399E-03
  1.2272E+00  7.0115E-03
  1.2763E+00  6.6486E-03
  1.3254E+00  6.3591E-03
  1.3744E+00  6.4628E-03
  1.4235E+00  6.5435E-03
  1.4726E+00  6.1621E-03
  1.5217E+00  5.8942E-03
  1.5708E+00  5.7057E-03
  1.6199E+00  5.3615E-03
  1.6690E+00  5.2366E-03
  1.7181E+00  5.1527E-03
  1.7671E+00  5.1237E-03
  1.8162E+00  5.0412E-03
  1.8653E+00  4.8724E-03
  1.9144E+00  4.7189E-03
  1.9635E+00  4.6607E-03
  2.0126E+00  4.5618E-03
  2.0617E+00  4.6891E-03
  2.1108E+00  4.4082E-03
  2.1598E+00  4.3763E-03
  2.2089E+00  4.2524E-03
  2.2580E+00  4.1467E-03
  2.3071E+00  4.0370E-03
  2.3562E+00  3.8724E-03
  2.4053E+00  3.7916E-03
  2.4544E+00  3.8398E-03
  2.5035E+00  3.6920E-03
  2.5525E+00  3.6510E-03
  2.6016E+00  3.6565E-03
  2.6507E+00  3.3861E-03
  2.6998E+00  3.5202E-03
  2.7489E+00  3.3327E-03
  2.7980E+00  3.3946E-03
  2.8471E+00  3.4293E-03
  2.8962E+00  3.3108E-03
  2.9452E+00  3.0577E-03
  2.9943E+00  3.2111E-03
  3.0434E+00  3.0573E-03
  3.0925E+00  3.2274E-03
