# CREATED BY GENE DIAGNOSTICS TOOL on Tue Feb 26 16:35:08 2019
# diag: nrgsummary, run(s): act, time window: 0-231.52833(1 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-0.8/ITGa_NL/omt10/
# normalization: L_ref=1.65m
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9200E-01  1.1454E-19  1.0001E-01 -1.0591E-04
  3.8400E-01  2.7132E-19  1.9147E-01 -8.2735E-04
  5.7600E-01  4.6871E-19  2.6666E-01 -2.2259E-03
  7.6800E-01 -2.2245E-19  3.2428E-01 -3.9434E-03
  9.6000E-01  1.9386E-16  5.5002E-01  4.9158E-02
  9.9169E-01  2.1121E-17  5.3653E-01  7.1676E-02
  1.0234E+00 -1.0048E-17  5.7346E-01  7.1830E-02
  1.0551E+00 -5.6066E-17  5.4825E-01  4.5034E-02
  1.0868E+00  3.2649E-17  6.2745E-01  8.5914E-03
  1.1184E+00 -1.6309E-17  5.1980E-01  4.6729E-02
  1.1501E+00  3.5370E-18  6.6931E-01  1.3055E-02
  1.1818E+00 -1.3517E-16  5.0391E-01  6.2913E-02
  1.2135E+00 -1.1242E-17  6.8667E-01  5.1535E-02
  1.2452E+00  3.4707E-17  5.9726E-01  6.5769E-02
  1.2769E+00  4.2346E-17  6.2811E-01  8.8343E-02
  1.3143E+00 -3.5528E-18  9.0207E-01 -4.8082E-02
  1.3523E+00 -3.5361E-17  7.4905E-01  1.0917E-01
  1.3903E+00  2.0188E-17  7.9312E-01  8.4413E-02
  1.4284E+00  4.2769E-18  1.2177E+00 -1.7865E-01
  1.4664E+00  1.1536E-17  1.2573E+00 -1.1582E-01
  1.5044E+00  6.2318E-18  1.1252E+00 -8.7549E-03
  1.5424E+00 -8.6937E-17  1.5070E+00 -7.7938E-02
  1.5805E+00  8.6654E-18  1.7108E+00 -4.0243E-01
  1.6185E+00  2.6099E-17  1.6940E+00 -4.9418E-02
  1.6565E+00 -2.4160E-17  2.0148E+00  9.4547E-02
  1.6912E+00 -2.3373E-17  2.2881E+00 -4.5816E-01
  1.7208E+00 -1.3088E-17  2.3814E+00  1.7030E-01
  1.7503E+00 -3.2926E-18  2.4818E+00 -4.4134E-01
  1.7799E+00  1.3658E-17  2.7664E+00 -3.6078E-02
  1.8095E+00 -9.2402E-18  2.7818E+00 -2.1912E-01
  1.8391E+00  1.2906E-18  3.3271E+00 -5.1480E-02
  1.8687E+00  3.7548E-18  3.3348E+00 -1.1717E-01
  1.8982E+00 -5.5852E-18  3.7601E+00 -1.3795E-01
  1.9278E+00 -2.2051E-18  3.7450E+00  3.7018E-02
  1.9574E+00 -7.1593E-18  3.8939E+00 -2.0771E-01
  1.9870E+00 -2.6098E-18  4.2432E+00  1.9493E-01
  2.0166E+00  2.9682E-18  4.0410E+00 -6.4030E-02
  2.0462E+00  5.0213E-18  4.8266E+00  4.2277E-01
  2.0757E+00  1.9320E-18  4.6388E+00 -5.3637E-02
  2.1053E+00 -1.2123E-17  5.3732E+00  5.4267E-01
  2.1343E+00 -8.5106E-19  5.1883E+00  1.2034E-01
  2.1577E+00 -6.2736E-19  5.7161E+00  2.8659E-01
  2.1811E+00 -1.2385E-17  5.4007E+00  2.1040E-01
  2.2045E+00  1.5755E-18  5.8516E+00  3.5434E-01
  2.2279E+00 -9.9376E-19  5.8860E+00  3.4655E-01
  2.2513E+00 -1.1171E-17  6.0454E+00  2.9245E-01
  2.2747E+00  8.2420E-18  6.2633E+00  6.6115E-01
  2.2981E+00 -6.2952E-18  6.2002E+00  3.2335E-01
  2.3216E+00 -5.6427E-18  6.5862E+00  7.8808E-01
  2.3450E+00 -8.8252E-18  6.5394E+00  8.5184E-01
  2.3684E+00  1.3427E-18  6.8434E+00  7.9564E-01
  2.3918E+00  2.1019E-18  7.1318E+00  1.0864E+00
  2.4133E+00  6.6015E-18  7.3494E+00  1.0086E+00
  2.4320E+00 -4.5409E-18  7.3813E+00  1.1577E+00
  2.4506E+00 -2.7613E-18  7.3856E+00  1.1967E+00
  2.4693E+00 -4.9429E-18  7.6837E+00  1.2190E+00
  2.4880E+00 -4.5343E-18  7.8795E+00  1.3482E+00
  2.5066E+00  7.7537E-18  7.9597E+00  1.4256E+00
  2.5253E+00 -1.0919E-17  7.9880E+00  1.1831E+00
  2.5440E+00  8.7614E-18  8.0446E+00  1.1151E+00
  2.5626E+00  6.8204E-19  8.1901E+00  1.1067E+00
  2.5813E+00 -2.3023E-18  8.2542E+00  1.1695E+00
  2.6000E+00 -2.3216E-18  8.2875E+00  1.2923E+00
  2.6187E+00  1.0423E-18  8.3917E+00  1.2179E+00
  2.6373E+00  1.0911E-18  8.5181E+00  1.1301E+00
  2.6560E+00 -9.8939E-18  8.5636E+00  1.3231E+00
  2.6747E+00 -9.1636E-18  8.6517E+00  1.3690E+00
  2.6933E+00  6.1338E-18  8.5083E+00  1.2757E+00
  2.7120E+00  2.0263E-18  8.5965E+00  1.5217E+00
  2.7307E+00  1.8683E-18  8.9209E+00  1.6567E+00
  2.7493E+00  4.1690E-18  8.9947E+00  1.4834E+00
  2.7680E+00  7.7226E-18  8.9207E+00  1.4014E+00
  2.7867E+00  2.6230E-20  9.0225E+00  1.3158E+00
  2.8053E+00  5.0272E-18  9.1764E+00  1.4094E+00
  2.8240E+00  9.1210E-18  9.3830E+00  1.5573E+00
  2.8427E+00 -6.9363E-18  9.5698E+00  1.5735E+00
  2.8614E+00  2.7060E-18  9.6667E+00  1.5627E+00
  2.8800E+00 -8.3973E-18  9.7593E+00  1.5211E+00
  2.8987E+00  6.2852E-18  9.8888E+00  1.6170E+00
  2.9174E+00 -8.1331E-18  9.9594E+00  1.6777E+00
  2.9360E+00 -1.4024E-20  1.0176E+01  1.7896E+00
  2.9547E+00  6.9850E-18  1.0249E+01  1.8401E+00
  2.9704E+00  4.3794E-18  1.0303E+01  2.0090E+00
  2.9853E+00 -3.1230E-18  1.0472E+01  2.1598E+00
  3.0001E+00 -3.7626E-18  1.0484E+01  1.9506E+00
  3.0150E+00  1.4076E-18  1.0326E+01  1.7613E+00
  3.0299E+00 -4.1502E-18  1.0400E+01  1.9680E+00
  3.0448E+00 -1.5773E-18  1.0566E+01  2.1358E+00
  3.0597E+00  1.8883E-18  1.0496E+01  1.8028E+00
  3.0746E+00  1.8033E-17  1.0426E+01  1.4085E+00
  3.0895E+00 -7.4725E-18  1.0447E+01  1.6098E+00
  3.1044E+00 -5.7329E-18  1.0520E+01  2.1413E+00
  3.1193E+00 -2.1116E-18  1.0650E+01  2.2179E+00
  3.1342E+00 -4.7750E-18  1.0773E+01  2.0362E+00
  3.1491E+00 -9.6466E-18  1.0895E+01  2.0640E+00
  3.1640E+00 -5.9707E-18  1.0937E+01  2.2619E+00
  3.1789E+00 -1.7081E-18  1.0979E+01  2.4516E+00
  3.1938E+00 -8.7878E-18  1.1046E+01  2.2438E+00
