# CREATED BY GENE DIAGNOSTICS TOOL on Tue Feb 26 15:53:11 2019
# diag: nrgsummary, run(s): act, time window: 0-2315.2833(1 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-0.8/ITGa_NL/omt10/
# normalization: L_T,ions
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9200E+00  1.1454E-21  1.0001E-03 -1.0591E-06
  3.8400E+00  2.7132E-21  1.9147E-03 -8.2735E-06
  5.7600E+00  4.6871E-21  2.6666E-03 -2.2259E-05
  7.6800E+00 -2.2245E-21  3.2428E-03 -3.9434E-05
  9.6000E+00  1.9386E-18  5.5002E-03  4.9158E-04
  9.9169E+00  2.1121E-19  5.3653E-03  7.1676E-04
  1.0234E+01 -1.0048E-19  5.7346E-03  7.1830E-04
  1.0551E+01 -5.6066E-19  5.4825E-03  4.5034E-04
  1.0868E+01  3.2649E-19  6.2745E-03  8.5914E-05
  1.1184E+01 -1.6309E-19  5.1980E-03  4.6729E-04
  1.1501E+01  3.5370E-20  6.6931E-03  1.3055E-04
  1.1818E+01 -1.3517E-18  5.0391E-03  6.2913E-04
  1.2135E+01 -1.1242E-19  6.8667E-03  5.1535E-04
  1.2452E+01  3.4707E-19  5.9726E-03  6.5769E-04
  1.2769E+01  4.2346E-19  6.2811E-03  8.8343E-04
  1.3143E+01 -3.5528E-20  9.0207E-03 -4.8082E-04
  1.3523E+01 -3.5361E-19  7.4905E-03  1.0917E-03
  1.3903E+01  2.0188E-19  7.9312E-03  8.4413E-04
  1.4284E+01  4.2769E-20  1.2177E-02 -1.7865E-03
  1.4664E+01  1.1536E-19  1.2573E-02 -1.1582E-03
  1.5044E+01  6.2318E-20  1.1252E-02 -8.7549E-05
  1.5424E+01 -8.6937E-19  1.5070E-02 -7.7938E-04
  1.5805E+01  8.6654E-20  1.7108E-02 -4.0243E-03
  1.6185E+01  2.6099E-19  1.6940E-02 -4.9418E-04
  1.6565E+01 -2.4160E-19  2.0148E-02  9.4547E-04
  1.6912E+01 -2.3373E-19  2.2881E-02 -4.5816E-03
  1.7208E+01 -1.3088E-19  2.3814E-02  1.7030E-03
  1.7503E+01 -3.2926E-20  2.4818E-02 -4.4134E-03
  1.7799E+01  1.3658E-19  2.7664E-02 -3.6078E-04
  1.8095E+01 -9.2402E-20  2.7818E-02 -2.1912E-03
  1.8391E+01  1.2906E-20  3.3271E-02 -5.1480E-04
  1.8687E+01  3.7548E-20  3.3348E-02 -1.1717E-03
  1.8982E+01 -5.5852E-20  3.7601E-02 -1.3795E-03
  1.9278E+01 -2.2051E-20  3.7450E-02  3.7018E-04
  1.9574E+01 -7.1593E-20  3.8939E-02 -2.0771E-03
  1.9870E+01 -2.6098E-20  4.2432E-02  1.9493E-03
  2.0166E+01  2.9682E-20  4.0410E-02 -6.4030E-04
  2.0462E+01  5.0213E-20  4.8266E-02  4.2277E-03
  2.0757E+01  1.9320E-20  4.6388E-02 -5.3637E-04
  2.1053E+01 -1.2123E-19  5.3732E-02  5.4267E-03
  2.1343E+01 -8.5106E-21  5.1883E-02  1.2034E-03
  2.1577E+01 -6.2736E-21  5.7161E-02  2.8659E-03
  2.1811E+01 -1.2385E-19  5.4007E-02  2.1040E-03
  2.2045E+01  1.5755E-20  5.8516E-02  3.5434E-03
  2.2279E+01 -9.9376E-21  5.8860E-02  3.4655E-03
  2.2513E+01 -1.1171E-19  6.0454E-02  2.9245E-03
  2.2747E+01  8.2420E-20  6.2633E-02  6.6115E-03
  2.2981E+01 -6.2952E-20  6.2002E-02  3.2335E-03
  2.3216E+01 -5.6427E-20  6.5862E-02  7.8808E-03
  2.3450E+01 -8.8252E-20  6.5394E-02  8.5184E-03
  2.3684E+01  1.3427E-20  6.8434E-02  7.9564E-03
  2.3918E+01  2.1019E-20  7.1318E-02  1.0864E-02
  2.4133E+01  6.6015E-20  7.3494E-02  1.0086E-02
  2.4320E+01 -4.5409E-20  7.3813E-02  1.1577E-02
  2.4506E+01 -2.7613E-20  7.3856E-02  1.1967E-02
  2.4693E+01 -4.9429E-20  7.6837E-02  1.2190E-02
  2.4880E+01 -4.5343E-20  7.8795E-02  1.3482E-02
  2.5066E+01  7.7537E-20  7.9597E-02  1.4256E-02
  2.5253E+01 -1.0919E-19  7.9880E-02  1.1831E-02
  2.5440E+01  8.7614E-20  8.0446E-02  1.1151E-02
  2.5626E+01  6.8204E-21  8.1901E-02  1.1067E-02
  2.5813E+01 -2.3023E-20  8.2542E-02  1.1695E-02
  2.6000E+01 -2.3216E-20  8.2875E-02  1.2923E-02
  2.6187E+01  1.0423E-20  8.3917E-02  1.2179E-02
  2.6373E+01  1.0911E-20  8.5181E-02  1.1301E-02
  2.6560E+01 -9.8939E-20  8.5636E-02  1.3231E-02
  2.6747E+01 -9.1636E-20  8.6517E-02  1.3690E-02
  2.6933E+01  6.1338E-20  8.5083E-02  1.2757E-02
  2.7120E+01  2.0263E-20  8.5965E-02  1.5217E-02
  2.7307E+01  1.8683E-20  8.9209E-02  1.6567E-02
  2.7493E+01  4.1690E-20  8.9947E-02  1.4834E-02
  2.7680E+01  7.7226E-20  8.9207E-02  1.4014E-02
  2.7867E+01  2.6230E-22  9.0225E-02  1.3158E-02
  2.8053E+01  5.0272E-20  9.1764E-02  1.4094E-02
  2.8240E+01  9.1210E-20  9.3830E-02  1.5573E-02
  2.8427E+01 -6.9363E-20  9.5698E-02  1.5735E-02
  2.8614E+01  2.7060E-20  9.6667E-02  1.5627E-02
  2.8800E+01 -8.3973E-20  9.7593E-02  1.5211E-02
  2.8987E+01  6.2852E-20  9.8888E-02  1.6170E-02
  2.9174E+01 -8.1331E-20  9.9594E-02  1.6777E-02
  2.9360E+01 -1.4024E-22  1.0176E-01  1.7896E-02
  2.9547E+01  6.9850E-20  1.0249E-01  1.8401E-02
  2.9704E+01  4.3794E-20  1.0303E-01  2.0090E-02
  2.9853E+01 -3.1230E-20  1.0472E-01  2.1598E-02
  3.0001E+01 -3.7626E-20  1.0484E-01  1.9506E-02
  3.0150E+01  1.4076E-20  1.0326E-01  1.7613E-02
  3.0299E+01 -4.1502E-20  1.0400E-01  1.9680E-02
  3.0448E+01 -1.5773E-20  1.0566E-01  2.1358E-02
  3.0597E+01  1.8883E-20  1.0496E-01  1.8028E-02
  3.0746E+01  1.8033E-19  1.0426E-01  1.4085E-02
  3.0895E+01 -7.4725E-20  1.0447E-01  1.6098E-02
  3.1044E+01 -5.7329E-20  1.0520E-01  2.1413E-02
  3.1193E+01 -2.1116E-20  1.0650E-01  2.2179E-02
  3.1342E+01 -4.7750E-20  1.0773E-01  2.0362E-02
  3.1491E+01 -9.6466E-20  1.0895E-01  2.0640E-02
  3.1640E+01 -5.9707E-20  1.0937E-01  2.2619E-02
  3.1789E+01 -1.7081E-20  1.0979E-01  2.4516E-02
  3.1938E+01 -8.7878E-20  1.1046E-01  2.2438E-02
  3.2087E+01  4.0620E-20  1.1130E-01  1.9094E-02
  3.2236E+01  1.4576E-20  1.1287E-01  1.8072E-02
  3.2385E+01  4.8646E-20  1.1473E-01  1.8878E-02
  3.2534E+01  4.8988E-20  1.1533E-01  2.1679E-02
  3.2683E+01 -1.2982E-19  1.1651E-01  2.4243E-02
  3.2832E+01 -3.5824E-20  1.1851E-01  2.4925E-02
  3.2981E+01  1.3683E-19  1.1958E-01  2.3665E-02
  3.3130E+01 -1.4425E-20  1.1980E-01  2.1054E-02
  3.3279E+01 -7.5379E-20  1.1835E-01  1.8719E-02
  3.3428E+01 -9.5457E-21  1.1686E-01  2.0023E-02
  3.3577E+01 -2.2915E-20  1.1730E-01  2.3403E-02
