# CREATED BY GENE DIAGNOSTICS TOOL on Tue Feb 26 16:33:47 2019
# diag: spectra, run(s): act, time window: 0-507.48191(676 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-0.8/ITGa_NL/omt6/
# normalization: L_ref=1.65m
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  2.9094E-01
  1.0000E-01  3.8879E-01
  1.5000E-01  2.8938E-01
  2.0000E-01  2.5270E-01
  2.5000E-01  2.3998E-01
  3.0000E-01  1.2981E-01
  3.5000E-01  8.4945E-02
  4.0000E-01  5.8670E-02
  4.5000E-01  4.1469E-02
  5.0000E-01  2.7491E-02
  5.5000E-01  2.2082E-02
  6.0000E-01  1.6441E-02
  6.5000E-01  1.3010E-02
  7.0000E-01  9.9468E-03
  7.5000E-01  7.5414E-03
  8.0000E-01  6.1056E-03
  8.5000E-01  4.7464E-03
  9.0000E-01  3.7111E-03
  9.5000E-01  2.7364E-03
  1.0000E+00  2.2059E-03
  1.0500E+00  1.7268E-03
  1.1000E+00  1.3445E-03
  1.1500E+00  1.0499E-03
  1.2000E+00  8.0244E-04
  1.2500E+00  6.3477E-04
  1.3000E+00  4.9594E-04
  1.3500E+00  3.9749E-04
  1.4000E+00  3.1493E-04
  1.4500E+00  2.5179E-04
  1.5000E+00  2.0443E-04
  1.5500E+00  1.6372E-04
  1.6000E+00  1.3508E-04
  1.6500E+00  1.0953E-04
  1.7000E+00  9.0387E-05
  1.7500E+00  7.5535E-05
  1.8000E+00  6.2746E-05
  1.8500E+00  5.3835E-05
  1.9000E+00  4.4595E-05
  1.9500E+00  3.7897E-05
  2.0000E+00  3.2581E-05
  2.0500E+00  2.7583E-05
  2.1000E+00  2.4152E-05
  2.1500E+00  2.0671E-05
  2.2000E+00  1.8439E-05
  2.2500E+00  1.6032E-05
  2.3000E+00  1.4385E-05
  2.3500E+00  1.3006E-05
  2.4000E+00  1.1849E-05
  2.4500E+00  1.0583E-05
  2.5000E+00  9.6283E-06
  2.5500E+00  8.8815E-06
  2.6000E+00  8.0411E-06
  2.6500E+00  7.5626E-06
  2.7000E+00  7.0333E-06
  2.7500E+00  6.5346E-06
  2.8000E+00  6.1686E-06
  2.8500E+00  5.6925E-06
  2.9000E+00  5.4305E-06
  2.9500E+00  5.1228E-06
  3.0000E+00  4.9189E-06
  3.0500E+00  4.6965E-06
  3.1000E+00  4.4709E-06
  3.1500E+00  4.4132E-06


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.0954E+02
  5.0000E-02  2.7508E-01
  1.0000E-01  3.2486E-01
  1.5000E-01  2.5371E-01
  2.0000E-01  2.5703E-01
  2.5000E-01  2.0678E-01
  3.0000E-01  1.4270E-01
  3.5000E-01  9.1798E-02
  4.0000E-01  5.8396E-02
  4.5000E-01  4.0427E-02
  5.0000E-01  2.8265E-02
  5.5000E-01  2.0760E-02
  6.0000E-01  1.6979E-02
  6.5000E-01  1.2569E-02
  7.0000E-01  9.9981E-03
