# CREATED BY GENE DIAGNOSTICS TOOL on Tue Feb 26 15:43:07 2019
# diag: spectra, run(s): act, time window: 0-3044.8914(676 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-0.8/ITGa_NL/omt6/
# normalization: L_T,ions
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  8.0816E-03
  1.0000E-01  1.0800E-02
  1.5000E-01  8.0384E-03
  2.0000E-01  7.0195E-03
  2.5000E-01  6.6662E-03
  3.0000E-01  3.6057E-03
  3.5000E-01  2.3596E-03
  4.0000E-01  1.6297E-03
  4.5000E-01  1.1519E-03
  5.0000E-01  7.6364E-04
  5.5000E-01  6.1338E-04
  6.0000E-01  4.5670E-04
  6.5000E-01  3.6138E-04
  7.0000E-01  2.7630E-04
  7.5000E-01  2.0948E-04
  8.0000E-01  1.6960E-04
  8.5000E-01  1.3184E-04
  9.0000E-01  1.0309E-04
  9.5000E-01  7.6011E-05
  1.0000E+00  6.1274E-05
  1.0500E+00  4.7966E-05
  1.1000E+00  3.7347E-05
  1.1500E+00  2.9163E-05
  1.2000E+00  2.2290E-05
  1.2500E+00  1.7632E-05
  1.3000E+00  1.3776E-05
  1.3500E+00  1.1041E-05
  1.4000E+00  8.7480E-06
  1.4500E+00  6.9941E-06
  1.5000E+00  5.6787E-06
  1.5500E+00  4.5479E-06
  1.6000E+00  3.7523E-06
  1.6500E+00  3.0426E-06
  1.7000E+00  2.5107E-06
  1.7500E+00  2.0982E-06
  1.8000E+00  1.7430E-06
  1.8500E+00  1.4954E-06
  1.9000E+00  1.2387E-06
  1.9500E+00  1.0527E-06
  2.0000E+00  9.0503E-07
  2.0500E+00  7.6618E-07
  2.1000E+00  6.7090E-07
  2.1500E+00  5.7420E-07
  2.2000E+00  5.1219E-07
  2.2500E+00  4.4534E-07
  2.3000E+00  3.9958E-07
  2.3500E+00  3.6129E-07
  2.4000E+00  3.2914E-07
  2.4500E+00  2.9396E-07
  2.5000E+00  2.6745E-07
  2.5500E+00  2.4671E-07
  2.6000E+00  2.2336E-07
  2.6500E+00  2.1007E-07
  2.7000E+00  1.9537E-07
  2.7500E+00  1.8152E-07
  2.8000E+00  1.7135E-07
  2.8500E+00  1.5812E-07
  2.9000E+00  1.5085E-07
  2.9500E+00  1.4230E-07
  3.0000E+00  1.3664E-07
  3.0500E+00  1.3046E-07
  3.1000E+00  1.2419E-07
  3.1500E+00  1.2259E-07


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  3.0428E+00
  5.0000E-02  7.6412E-03
  1.0000E-01  9.0238E-03
  1.5000E-01  7.0476E-03
  2.0000E-01  7.1398E-03
  2.5000E-01  5.7440E-03
  3.0000E-01  3.9639E-03
  3.5000E-01  2.5499E-03
  4.0000E-01  1.6221E-03
  4.5000E-01  1.1230E-03
  5.0000E-01  7.8515E-04
  5.5000E-01  5.7666E-04
  6.0000E-01  4.7164E-04
  6.5000E-01  3.4913E-04
  7.0000E-01  2.7772E-04
  7.5000E-01  2.1209E-04
  8.0000E-01  1.6926E-04
  8.5000E-01  1.3055E-04
  9.0000E-01  1.0275E-04
  9.5000E-01  7.8109E-05
  1.0000E+00  5.9707E-05
  1.0500E+00  4.7527E-05
  1.1000E+00  3.6719E-05
  1.1500E+00  2.8474E-05
  1.2000E+00  2.2371E-05
  1.2500E+00  1.7270E-05
  1.3000E+00  1.3697E-05
