# CREATED BY GENE DIAGNOSTICS TOOL on Tue Feb 26 16:31:15 2019
# diag: nrgsummary, run(s): act, time window: 0-126.87048(1 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-0.8/ITGa_NL/omt6/
# normalization: R_0
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.8000E-02  3.7805E-18  9.1035E-01 -9.8427E-04
  9.6000E-02  1.7512E-18  1.7434E+00 -8.2597E-03
  1.4400E-01 -3.7422E-18  2.4262E+00 -2.3139E-02
  1.9200E-01  6.5290E-18  2.9395E+00 -4.3306E-02
  2.4000E-01 -2.2781E-16  4.1354E+00  2.3104E-01
  2.5360E-01 -5.0766E-17  4.1421E+00  2.7514E-01
  2.6720E-01  2.0950E-16  4.1261E+00  7.9778E-02
  2.8081E-01 -1.7613E-16  3.9843E+00  6.4104E-02
  2.9441E-01  8.8242E-17  3.8592E+00  7.8301E-02
  3.0801E-01 -2.3421E-16  3.8499E+00  5.1744E-02
  3.2161E-01 -4.3027E-17  3.8758E+00 -3.6114E-02
  3.3521E-01  2.5949E-17  3.9290E+00 -1.4371E-01
  3.4881E-01  1.4002E-16  3.9950E+00 -1.9970E-01
  3.6242E-01  1.8250E-17  4.0059E+00 -2.6789E-01
  3.7602E-01 -8.8149E-17  4.0005E+00 -2.9307E-01
  3.9207E-01  2.8304E-18  3.6938E+00  4.9014E-02
  4.0839E-01  4.1894E-17  4.5104E+00  2.2842E-01
  4.2471E-01  7.3234E-19  5.2714E+00 -7.6344E-02
  4.4104E-01 -1.2902E-17  4.8485E+00 -3.6493E-01
  4.5736E-01 -2.4037E-17  4.2467E+00 -1.5615E-01
  4.7368E-01  1.7414E-18  4.6728E+00  1.5056E-01
  4.9000E-01  6.5035E-18  5.3011E+00 -1.5713E-02
  5.0632E-01 -2.5221E-17  5.1510E+00 -3.1914E-01
  5.2265E-01  1.3194E-18  4.7566E+00 -2.3694E-01
  5.3897E-01  5.0234E-18  4.9446E+00  3.4229E-03
  5.5823E-01  2.2502E-17  5.1882E+00 -2.4982E-01
  5.7782E-01  3.1451E-18  5.1587E+00 -8.8523E-02
  5.9740E-01  1.2280E-17  5.2302E+00 -2.1674E-01
  6.1699E-01 -4.9587E-18  5.3083E+00 -1.3875E-01
  6.3658E-01 -4.5243E-18  5.3469E+00 -2.0485E-01
  6.5616E-01  1.7491E-17  5.4638E+00 -1.3917E-01
  6.7575E-01  1.2171E-17  5.5045E+00 -1.9531E-01
  6.9533E-01 -1.5541E-17  5.6376E+00 -1.6888E-01
  7.1492E-01  3.8800E-18  5.6936E+00 -1.9037E-01
  7.3451E-01  1.2585E-17  5.8109E+00 -1.7618E-01
  7.5762E-01 -1.3538E-17  5.8971E+00 -1.8302E-01
  7.8112E-01  9.4069E-18  6.0090E+00 -1.9259E-01
  8.0463E-01 -6.5875E-18  6.1304E+00 -1.9296E-01
  8.2813E-01 -5.3365E-18  6.2306E+00 -1.9773E-01
  8.5164E-01 -1.8067E-17  6.3352E+00 -2.0165E-01
  8.7514E-01 -1.9211E-17  6.4446E+00 -2.0219E-01
  8.9864E-01 -4.2917E-18  6.5610E+00 -2.0262E-01
  9.2215E-01 -2.2502E-17  6.6813E+00 -2.0325E-01
  9.4565E-01 -1.2443E-17  6.8029E+00 -2.0291E-01
  9.6916E-01  2.2434E-17  6.9379E+00 -1.9861E-01
  9.9689E-01  9.5918E-18  7.1011E+00 -1.9402E-01
  1.0251E+00 -1.1520E-19  7.2797E+00 -1.8715E-01
  1.0533E+00  2.0469E-17  7.4717E+00 -1.7720E-01
  1.0815E+00 -1.9074E-17  7.6626E+00 -1.6824E-01
  1.1097E+00  1.9386E-17  7.8538E+00 -1.6211E-01
  1.1379E+00  1.3038E-17  8.0482E+00 -1.5521E-01
  1.1661E+00 -1.1659E-17  8.2448E+00 -1.4805E-01
  1.1943E+00 -2.3266E-17  8.4387E+00 -1.4157E-01
  1.2225E+00 -1.3480E-17  8.6286E+00 -1.3797E-01
  1.2507E+00  8.9250E-19  8.8219E+00 -1.3264E-01
  1.2840E+00  2.0269E-17  9.0507E+00 -1.2737E-01
  1.3179E+00  1.0272E-18  9.2862E+00 -1.1821E-01
  1.3517E+00  1.3248E-17  9.5173E+00 -1.0947E-01
  1.3856E+00 -2.2741E-17  9.7483E+00 -1.0283E-01
  1.4194E+00  1.2781E-17  9.9781E+00 -9.3408E-02
  1.4532E+00  1.5473E-18  1.0203E+01 -8.6947E-02
  1.4871E+00  3.2627E-17  1.0422E+01 -8.2550E-02
  1.5209E+00 -3.5086E-17  1.0631E+01 -7.8622E-02
  1.5548E+00 -3.9974E-17  1.0831E+01 -7.9685E-02
  1.5886E+00  3.9898E-18  1.1023E+01 -8.4902E-02
  1.6286E+00  1.5233E-18  1.1251E+01 -9.0557E-02
  1.6692E+00  1.3993E-17  1.1502E+01 -9.3035E-02
  1.7098E+00 -1.0398E-17  1.1772E+01 -9.3830E-02
  1.7504E+00 -2.0862E-17  1.2046E+01 -9.7507E-02
  1.7910E+00 -1.2774E-18  1.2311E+01 -1.1127E-01
  1.8316E+00 -3.7730E-18  1.2576E+01 -1.3618E-01
  1.8723E+00 -2.9011E-18  1.2867E+01 -1.6589E-01
  1.9129E+00 -1.8715E-17  1.3201E+01 -1.9547E-01
  1.9535E+00 -3.4128E-17  1.3584E+01 -2.2139E-01
  1.9941E+00  3.8005E-18  1.4002E+01 -2.4696E-01
  2.0347E+00  1.6605E-17  1.4442E+01 -2.7872E-01
  2.0753E+00 -1.8294E-17  1.4900E+01 -3.1994E-01
  2.1159E+00  2.7949E-17  1.5382E+01 -3.6656E-01
  2.1566E+00  1.5885E-17  1.5913E+01 -4.1352E-01
  2.1972E+00 -4.5986E-18  1.6514E+01 -4.5814E-01
  2.2378E+00 -1.2744E-17  1.7178E+01 -4.9718E-01
  2.2784E+00 -3.7330E-17  1.7894E+01 -5.3211E-01
  2.3190E+00 -2.7723E-17  1.8658E+01 -5.6744E-01
  2.3596E+00  2.2709E-17  1.9453E+01 -6.0611E-01
  2.4002E+00  8.3291E-18  2.0278E+01 -6.5013E-01
  2.4409E+00  2.2446E-17  2.1158E+01 -6.9410E-01
  2.4815E+00 -1.0327E-17  2.2112E+01 -7.2914E-01
  2.5221E+00  2.1442E-17  2.3142E+01 -7.5813E-01
  2.5627E+00 -2.8059E-17  2.4250E+01 -7.7698E-01
  2.6033E+00 -5.9792E-18  2.5445E+01 -7.8485E-01
  2.6439E+00  3.6906E-17  2.6728E+01 -7.8718E-01
  2.6846E+00  1.0906E-16  2.8082E+01 -7.8640E-01
  2.7252E+00 -5.1992E-18  2.9494E+01 -7.9211E-01
  2.7658E+00  1.3116E-17  3.0966E+01 -7.9766E-01
  2.8064E+00  7.1626E-17  3.2518E+01 -8.0357E-01
  2.8470E+00 -5.2259E-17  3.4160E+01 -8.0934E-01
  2.8876E+00  3.6597E-17  3.5920E+01 -7.9597E-01
  2.9282E+00  9.2301E-17  3.7813E+01 -7.7646E-01
  2.9689E+00 -8.3266E-17  3.9818E+01 -7.4787E-01
  3.0095E+00  1.3706E-17  4.1894E+01 -7.0560E-01
  3.0501E+00  6.3994E-17  4.4448E+01 -1.3124E+00
  3.0520E+00  3.0189E-17  4.4685E+01 -1.9072E-01
  3.0540E+00 -1.8026E-16  4.4819E+01  1.1184E-01
  3.0560E+00 -1.5626E-17  4.5035E+01 -1.0764E+00
  3.0579E+00  2.0291E-16  4.5171E+01 -1.0074E+00
  3.0599E+00 -6.0112E-17  4.5328E+01 -1.0604E+00
  3.0619E+00  5.6722E-17  4.5477E+01 -1.0642E+00
  3.0638E+00  8.2394E-17  4.5670E+01 -1.3624E+00
  3.0658E+00  1.3026E-17  4.5810E+01 -1.4596E+00
  3.0678E+00  7.7706E-17  4.5850E+01 -5.6557E-01
  3.0697E+00  4.3584E-17  4.5973E+01 -4.8357E-01
  3.0718E+00 -7.1478E-17  4.6107E+01 -4.9960E-01
  3.0742E+00 -1.1013E-16  4.6269E+01 -3.6453E-01
  3.0766E+00  1.4355E-16  4.6374E+01 -7.1280E-01
  3.0789E+00 -5.2390E-17  4.6584E+01 -6.4723E-01
  3.0813E+00 -3.9450E-18  4.6782E+01 -7.3272E-01
  3.0836E+00  9.6549E-17  4.6934E+01 -5.7589E-01
  3.0860E+00 -1.0259E-16  4.7058E+01 -5.8632E-01
  3.0883E+00 -2.6664E-17  4.7053E+01 -5.5638E-01
  3.0907E+00 -9.8264E-17  4.7088E+01 -3.3456E-01
  3.0931E+00 -1.1286E-16  4.7256E+01 -1.6994E-01
  3.0956E+00  4.7853E-17  4.7410E+01 -2.3136E-01
  3.0984E+00  4.3344E-18  4.7592E+01 -5.5978E-01
  3.1013E+00  1.1377E-16  4.7766E+01 -5.2114E-01
  3.1041E+00  2.1139E-16  4.7880E+01 -4.4715E-01
  3.1069E+00  3.1400E-17  4.8053E+01 -5.6597E-01
  3.1097E+00 -1.0671E-16  4.8222E+01 -6.1955E-01
  3.1126E+00  1.9533E-16  4.8350E+01 -5.8667E-01
  3.1154E+00 -1.5484E-17  4.8483E+01 -4.8741E-01
  3.1182E+00  1.0037E-16  4.8678E+01 -4.9827E-01
  3.1210E+00  7.4448E-17  4.8894E+01 -5.3819E-01
  3.1241E+00  1.0447E-16  4.9186E+01 -5.0834E-01
  3.1275E+00 -1.6616E-16  4.9403E+01 -3.3526E-01
  3.1309E+00 -2.4966E-17  4.9627E+01 -4.4600E-01
  3.1343E+00 -5.9544E-17  4.9966E+01 -4.1878E-01
  3.1377E+00  1.1306E-16  5.0134E+01 -3.0658E-01
  3.1411E+00  1.6325E-16  5.0360E+01 -3.2298E-01
  3.1445E+00  9.0832E-17  5.0568E+01 -4.0944E-01
  3.1479E+00 -8.6507E-17  5.0725E+01 -5.5488E-01
  3.1512E+00  3.0274E-16  5.0973E+01 -4.9808E-01
  3.1546E+00  1.6438E-16  5.1310E+01 -4.4648E-01
  3.1583E+00 -1.8282E-16  5.1667E+01 -5.3320E-01
  3.1624E+00 -2.4341E-17  5.2016E+01 -1.6514E-01
  3.1664E+00  1.0243E-16  5.2325E+01  7.8542E-02
  3.1705E+00 -7.5733E-17  5.2683E+01 -2.4813E-01
  3.1746E+00  1.2948E-16  5.2989E+01 -3.1635E-01
  3.1787E+00  1.4301E-16  5.3245E+01 -2.3574E-03
  3.1827E+00 -4.2426E-18  5.3525E+01  1.2560E-01
  3.1868E+00  1.8146E-16  5.3792E+01 -2.3814E-02
  3.1909E+00  3.7125E-17  5.4051E+01 -4.7094E-02
  3.1949E+00 -6.9214E-17  5.4306E+01 -3.8925E-02
  3.1993E+00  2.2046E-17  5.4701E+01  1.0885E-01
  3.2042E+00 -1.2175E-16  5.5090E+01  1.4269E-01
  3.2091E+00 -2.4339E-16  5.5424E+01  4.3558E-02
  3.2140E+00 -5.9946E-17  5.5893E+01  2.6064E-02
  3.2189E+00 -5.2669E-17  5.6222E+01  3.3536E-01
  3.2238E+00 -2.8267E-17  5.6606E+01  1.9704E-01
  3.2287E+00  9.2579E-17  5.7056E+01  1.2142E-01
  3.2335E+00 -1.8027E-16  5.7302E+01  8.0658E-02
  3.2384E+00 -4.0794E-17  5.7712E+01  1.0251E-01
  3.2433E+00  1.6800E-16  5.7885E+01  3.3262E-01
  3.2486E+00 -1.7578E-16  5.8386E+01  2.7562E-01
  3.2545E+00 -8.0848E-17  5.8768E+01  1.7858E-01
  3.2603E+00  1.0586E-16  5.9190E+01  3.2686E-01
  3.2662E+00  5.9013E-17  5.9718E+01  4.7816E-01
  3.2721E+00  1.6990E-16  6.0090E+01  6.9240E-02
  3.2779E+00  4.7885E-17  6.0443E+01  3.5771E-01
  3.2838E+00  1.8632E-16  6.0952E+01  4.4715E-01
  3.2896E+00  6.3226E-17  6.1286E+01  3.0138E-01
  3.2955E+00 -1.6827E-16  6.1760E+01  5.4776E-01
  3.3014E+00  2.8112E-16  6.2235E+01  2.0718E-01
  3.3077E+00  5.2958E-18  6.2579E+01  3.3427E-01
  3.3147E+00 -1.0712E-16  6.3226E+01  7.8845E-01
  3.3218E+00  1.0743E-16  6.3590E+01  4.7627E-01
  3.3288E+00  1.0123E-16  6.4091E+01  4.4126E-01
  3.3358E+00  4.3997E-17  6.4610E+01  6.3707E-01
  3.3429E+00 -1.8565E-16  6.4930E+01  7.6346E-01
  3.3499E+00  1.7283E-16  6.5662E+01  4.1509E-01
  3.3570E+00 -1.6766E-16  6.6005E+01  5.0752E-01
  3.3640E+00 -1.9026E-16  6.6614E+01  3.8610E-01
  3.3710E+00  6.7650E-17  6.7120E+01  1.8829E-01
  3.3786E+00 -1.1141E-16  6.7486E+01  6.2010E-01
  3.3871E+00 -7.6368E-17  6.8149E+01  4.9525E-01
  3.3955E+00 -7.0106E-17  6.8510E+01  2.8293E-01
  3.4040E+00  7.5379E-18  6.9126E+01  5.6970E-01
  3.4124E+00 -1.8979E-16  6.9938E+01  4.5072E-01
  3.4208E+00 -4.8344E-17  7.0358E+01  3.0885E-01
  3.4293E+00 -2.8870E-16  7.1075E+01  4.5573E-01
  3.4377E+00 -1.7394E-16  7.1523E+01  6.0886E-01
  3.4462E+00 -2.6973E-16  7.1952E+01  2.9170E-01
  3.4546E+00 -7.0854E-17  7.2704E+01  4.0517E-01
  3.4637E+00 -1.3064E-17  7.3229E+01  2.1275E-01
  3.4739E+00 -6.5677E-18  7.3954E+01  1.2997E-01
  3.4840E+00 -2.2134E-17  7.4586E+01  5.3792E-02
  3.4941E+00  1.6234E-16  7.5235E+01  2.4550E-01
  3.5043E+00 -1.2267E-16  7.5782E+01  9.9763E-02
  3.5144E+00 -8.0834E-17  7.6661E+01  6.3856E-01
  3.5245E+00 -6.6626E-17  7.7462E+01  2.4211E-01
  3.5347E+00  2.1995E-16  7.8000E+01  3.4334E-01
  3.5448E+00 -1.3641E-16  7.8670E+01  4.3090E-01
  3.5549E+00 -5.2499E-17  7.9302E+01  1.2234E-01
  3.5653E+00 -1.0794E-16  7.9960E+01 -1.0906E-01
  3.5774E+00 -6.8590E-17  8.0874E+01 -2.0266E-01
  3.5896E+00 -5.9917E-17  8.1714E+01 -6.2037E-03
  3.6017E+00  1.4364E-16  8.2490E+01 -5.0526E-01
  3.6139E+00  5.5661E-17  8.3456E+01 -4.4149E-01
  3.6261E+00 -2.3349E-17  8.4018E+01 -2.0885E-01
  3.6382E+00 -3.2094E-16  8.4978E+01 -1.6814E-01
  3.6504E+00 -3.4936E-17  8.5848E+01 -2.2912E-01
  3.6625E+00 -1.5284E-17  8.6842E+01  2.4470E-01
  3.6747E+00  1.9141E-16  8.7870E+01 -1.8918E-02
  3.6868E+00  1.8514E-16  8.8691E+01 -8.4685E-02
  3.6990E+00 -2.3667E-16  8.9306E+01 -4.0923E-01
  3.7112E+00  1.1417E-16  9.0435E+01 -2.3675E-01
  3.7233E+00 -3.7862E-17  9.1341E+01 -1.5669E-01
  3.7355E+00  7.9784E-18  9.2152E+01 -3.1256E-02
  3.7476E+00 -1.0160E-16  9.2978E+01 -4.6733E-01
  3.7598E+00  2.5323E-16  9.4114E+01 -1.9878E-01
  3.7720E+00 -1.1691E-16  9.4954E+01 -5.4573E-01
  3.7841E+00 -2.6130E-16  9.5790E+01 -6.2728E-01
  3.7963E+00  4.2886E-17  9.6854E+01 -1.9717E-01
  3.8084E+00  5.3803E-17  9.7621E+01 -3.4942E-01
  3.8206E+00  4.9722E-17  9.8558E+01 -1.3068E-01
  3.8327E+00  3.8346E-17  9.9493E+01 -8.3653E-02
  3.8449E+00 -4.2382E-17  1.0055E+02 -1.2273E-01
  3.8571E+00 -5.6912E-17  1.0153E+02 -3.2549E-01
  3.8709E+00  1.4346E-16  1.0279E+02 -1.2190E-01
  3.8855E+00  3.1392E-16  1.0383E+02 -7.6392E-02
  3.9001E+00 -1.8318E-17  1.0504E+02 -1.3374E-01
  3.9147E+00  3.0998E-16  1.0620E+02 -3.1203E-02
  3.9293E+00  2.7595E-17  1.0751E+02 -7.7747E-02
  3.9439E+00 -3.3987E-16  1.0871E+02 -3.0109E-01
  3.9585E+00  7.5917E-17  1.1006E+02  9.3435E-02
  3.9731E+00  2.6571E-16  1.1129E+02 -9.6642E-02
  3.9876E+00 -5.6570E-17  1.1256E+02 -6.1379E-02
  4.0022E+00 -1.5908E-16  1.1383E+02 -1.6002E-01
  4.0189E+00 -7.0374E-17  1.1526E+02 -2.4118E-01
  4.0364E+00 -1.2752E-16  1.1676E+02 -3.5181E-01
  4.0539E+00  5.1814E-17  1.1828E+02 -4.2995E-02
  4.0714E+00 -9.2544E-17  1.1990E+02 -2.2160E-01
  4.0889E+00 -1.4671E-16  1.2144E+02 -3.2102E-01
  4.1064E+00  4.3995E-17  1.2306E+02 -9.6621E-02
  4.1239E+00  2.3683E-16  1.2482E+02 -2.5162E-01
  4.1414E+00  9.4931E-17  1.2642E+02 -1.0051E-01
  4.1589E+00  5.5582E-16  1.2819E+02 -3.4637E-01
  4.1764E+00  1.9430E-16  1.2998E+02 -1.3139E-01
  4.1940E+00  9.7515E-17  1.3158E+02 -1.5256E-01
  4.2115E+00  7.1384E-16  1.3341E+02 -2.2267E-01
  4.2290E+00 -3.1734E-16  1.3509E+02 -1.9416E-01
  4.2465E+00  8.8646E-18  1.3692E+02 -1.6630E-01
  4.2640E+00 -5.9267E-17  1.3870E+02 -2.6606E-01
  4.2815E+00  1.3996E-16  1.4068E+02 -2.9592E-01
  4.2990E+00 -1.8733E-16  1.4259E+02 -3.5778E-01
  4.3197E+00 -1.5638E-16  1.4480E+02 -2.9230E-01
  4.3407E+00 -4.6445E-17  1.4698E+02 -2.6778E-01
  4.3617E+00  6.7669E-18  1.4916E+02 -2.7664E-01
  4.3827E+00 -3.8134E-16  1.5161E+02 -1.7995E-01
  4.4037E+00  4.2517E-16  1.5393E+02 -1.4742E-01
  4.4247E+00  4.6133E-16  1.5634E+02 -2.9294E-01
  4.4457E+00 -3.0253E-16  1.5890E+02 -1.8443E-01
  4.4667E+00 -8.6629E-16  1.6146E+02 -2.7826E-01
  4.4877E+00  9.9323E-17  1.6403E+02 -1.1822E-01
  4.5087E+00 -4.0656E-16  1.6662E+02 -1.7830E-01
