# CREATED BY GENE DIAGNOSTICS TOOL on Tue Feb 26 16:42:43 2019
# diag: spectra, run(s): act, time window: 0-126.87048(676 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-0.8/ITGa_NL/omt6/
# normalization: R_0
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  4.6550E+00
  1.0000E-01  6.2206E+00
  1.5000E-01  4.6301E+00
  2.0000E-01  4.0433E+00
  2.5000E-01  3.8397E+00
  3.0000E-01  2.0769E+00
  3.5000E-01  1.3591E+00
  4.0000E-01  9.3873E-01
  4.5000E-01  6.6351E-01
  5.0000E-01  4.3986E-01
  5.5000E-01  3.5331E-01
  6.0000E-01  2.6306E-01
  6.5000E-01  2.0815E-01
  7.0000E-01  1.5915E-01
  7.5000E-01  1.2066E-01
  8.0000E-01  9.7690E-02
  8.5000E-01  7.5943E-02
  9.0000E-01  5.9378E-02
  9.5000E-01  4.3782E-02
  1.0000E+00  3.5294E-02
  1.0500E+00  2.7629E-02
  1.1000E+00  2.1512E-02
  1.1500E+00  1.6798E-02
  1.2000E+00  1.2839E-02
  1.2500E+00  1.0156E-02
  1.3000E+00  7.9350E-03
  1.3500E+00  6.3598E-03
  1.4000E+00  5.0388E-03
  1.4500E+00  4.0286E-03
  1.5000E+00  3.2709E-03
  1.5500E+00  2.6196E-03
  1.6000E+00  2.1613E-03
  1.6500E+00  1.7525E-03
  1.7000E+00  1.4462E-03
  1.7500E+00  1.2086E-03
  1.8000E+00  1.0039E-03
  1.8500E+00  8.6136E-04
  1.9000E+00  7.1352E-04
  1.9500E+00  6.0635E-04
  2.0000E+00  5.2130E-04
  2.0500E+00  4.4132E-04
  2.1000E+00  3.8644E-04
  2.1500E+00  3.3074E-04
  2.2000E+00  2.9502E-04
  2.2500E+00  2.5651E-04
  2.3000E+00  2.3016E-04
  2.3500E+00  2.0810E-04
  2.4000E+00  1.8958E-04
  2.4500E+00  1.6932E-04
  2.5000E+00  1.5405E-04
  2.5500E+00  1.4210E-04
  2.6000E+00  1.2866E-04
  2.6500E+00  1.2100E-04
  2.7000E+00  1.1253E-04
  2.7500E+00  1.0455E-04
  2.8000E+00  9.8697E-05
  2.8500E+00  9.1079E-05
  2.9000E+00  8.6887E-05
  2.9500E+00  8.1965E-05
  3.0000E+00  7.8702E-05
  3.0500E+00  7.5145E-05
  3.1000E+00  7.1535E-05
  3.1500E+00  7.0612E-05


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.7526E+03
  5.0000E-02  4.4013E+00
  1.0000E-01  5.1977E+00
  1.5000E-01  4.0594E+00
  2.0000E-01  4.1125E+00
  2.5000E-01  3.3085E+00
  3.0000E-01  2.2832E+00
  3.5000E-01  1.4688E+00
  4.0000E-01  9.3434E-01
  4.5000E-01  6.4684E-01
  5.0000E-01  4.5225E-01
  5.5000E-01  3.3215E-01
  6.0000E-01  2.7167E-01
  6.5000E-01  2.0110E-01
  7.0000E-01  1.5997E-01
  7.5000E-01  1.2217E-01
  8.0000E-01  9.7495E-02
  8.5000E-01  7.5197E-02
  9.0000E-01  5.9186E-02
  9.5000E-01  4.4991E-02
  1.0000E+00  3.4391E-02
  1.0500E+00  2.7376E-02
  1.1000E+00  2.1150E-02
  1.1500E+00  1.6401E-02
  1.2000E+00  1.2885E-02
  1.2500E+00  9.9475E-03
  1.3000E+00  7.8895E-03
  1.3500E+00  6.1977E-03
  1.4000E+00  5.0231E-03
  1.4500E+00  4.0756E-03
  1.5000E+00  3.2543E-03
  1.5500E+00  2.6347E-03
  1.6000E+00  2.1895E-03
  1.6500E+00  1.8040E-03
  1.7000E+00  1.4560E-03
  1.7500E+00  1.2312E-03
  1.8000E+00  9.9905E-04
  1.8500E+00  8.4021E-04
  1.9000E+00  7.1745E-04
  1.9500E+00  6.0050E-04
  2.0000E+00  5.1917E-04
  2.0500E+00  4.4577E-04
  2.1000E+00  3.8686E-04
  2.1500E+00  3.3736E-04
  2.2000E+00  2.9723E-04
  2.2500E+00  2.5907E-04
  2.3000E+00  2.3394E-04
  2.3500E+00  2.0686E-04
  2.4000E+00  1.9011E-04
  2.4500E+00  1.7063E-04
  2.5000E+00  1.5435E-04
  2.5500E+00  1.4234E-04
  2.6000E+00  1.2935E-04
  2.6500E+00  1.2200E-04
  2.7000E+00  1.1153E-04
  2.7500E+00  1.0496E-04
  2.8000E+00  9.7934E-05
  2.8500E+00  9.2093E-05
  2.9000E+00  8.6180E-05
  2.9500E+00  8.3183E-05
  3.0000E+00  7.8585E-05
  3.0500E+00  7.4663E-05
  3.1000E+00  7.2917E-05
  3.1500E+00  6.9495E-05


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.3210E+02
  5.0000E-02  3.8916E+00
  1.0000E-01  5.7563E+00
  1.5000E-01  4.3104E+00
  2.0000E-01  3.3222E+00
  2.5000E-01  2.7800E+00
  3.0000E-01  2.0945E+00
  3.5000E-01  1.4168E+00
  4.0000E-01  9.0501E-01
  4.5000E-01  6.7308E-01
  5.0000E-01  4.6936E-01
  5.5000E-01  3.4681E-01
