# CREATED BY GENE DIAGNOSTICS TOOL on Sun Nov 18 23:21:34 2018
# diag: nrgsummary, run(s): act, time window: 0-9(1 steps), species: ions
# normalization: R_0
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.4642E-02 -3.6024E-20  1.1655E+00 -4.1901E-04
  6.8226E-02  5.0224E-18  2.2502E+00 -3.2656E-03
  1.0111E-01  6.5389E-18  3.2253E+00 -1.0112E-02
  1.3228E-01 -1.2190E-17  4.0349E+00 -1.9587E-02
  1.6243E-01 -9.2760E-18  4.7022E+00 -3.0653E-02
  1.9190E-01  3.6979E-18  5.2566E+00 -4.2224E-02
  2.2136E-01 -2.7459E-18  5.7347E+00 -5.3712E-02
  2.5083E-01  9.6488E-18  6.1571E+00 -6.4523E-02
  2.8030E-01  3.7750E-18  6.5395E+00 -7.5179E-02
  3.0976E-01  2.2088E-17  6.8914E+00 -8.5973E-02
  3.3923E-01  6.0571E-18  7.2235E+00 -9.6643E-02
  3.6869E-01  1.4724E-18  7.5451E+00 -1.0655E-01
  3.9816E-01  4.1499E-18  7.8634E+00 -1.1605E-01
  4.2762E-01 -1.1971E-17  8.1840E+00 -1.2550E-01
  4.5709E-01  1.4251E-17  8.5114E+00 -1.3508E-01
  4.8656E-01  3.3784E-18  8.8490E+00 -1.4373E-01
  5.1602E-01 -2.9954E-17  9.2003E+00 -1.5129E-01
  5.4549E-01  2.3302E-18  9.5701E+00 -1.5744E-01
  5.7495E-01 -1.1943E-17  9.9619E+00 -1.6243E-01
  6.0442E-01  1.3424E-17  1.0379E+01 -1.6680E-01
  6.3388E-01  1.6685E-17  1.0824E+01 -1.7117E-01
  6.6335E-01 -1.1927E-17  1.1298E+01 -1.7526E-01
  6.9281E-01  1.2965E-17  1.1807E+01 -1.7845E-01
  7.2228E-01 -1.7789E-17  1.2357E+01 -1.8128E-01
  7.5129E-01 -1.0115E-17  1.2943E+01 -1.8355E-01
  7.7926E-01 -1.8202E-17  1.3554E+01 -1.8518E-01
  8.0722E-01  1.8430E-17  1.4215E+01 -1.8683E-01
  8.3518E-01  2.3589E-17  1.4930E+01 -1.8928E-01
  8.6314E-01  3.8229E-18  1.5702E+01 -1.9285E-01
  8.9111E-01  7.3450E-18  1.6536E+01 -1.9702E-01
  9.1849E-01  1.0624E-17  1.7418E+01 -2.0104E-01
  9.4501E-01  2.0893E-17  1.8338E+01 -2.0429E-01
  9.7152E-01  1.4157E-17  1.9328E+01 -2.0635E-01
  9.9684E-01 -1.3696E-17  2.0344E+01 -2.0699E-01
  1.0220E+00 -4.6418E-18  2.1426E+01 -2.0675E-01
  1.0472E+00  5.3611E-17  2.2582E+01 -2.0608E-01
  1.0724E+00 -2.3208E-17  2.3819E+01 -2.0504E-01
  1.0976E+00 -1.6707E-17  2.5136E+01 -2.0315E-01
  1.1227E+00  5.8493E-17  2.6538E+01 -1.9968E-01
  1.1479E+00  4.1386E-17  2.8027E+01 -1.9370E-01
  1.1726E+00 -2.1890E-18  2.9576E+01 -1.8462E-01
  1.1965E+00  1.0482E-16  3.1162E+01 -1.7206E-01
  1.2204E+00  3.9648E-17  3.2837E+01 -1.5503E-01
  1.2443E+00 -8.2094E-18  3.4603E+01 -1.3280E-01
  1.2682E+00  4.2467E-17  3.6462E+01 -1.0486E-01
  1.2921E+00  2.0434E-17  3.8421E+01 -7.0864E-02
  1.3160E+00  4.2829E-17  4.0478E+01 -3.0435E-02
  1.3398E+00  5.3270E-17  4.2642E+01  1.6986E-02
  1.3637E+00  3.3347E-17  4.4915E+01  7.2155E-02
  1.3876E+00  5.0050E-18  4.7302E+01  1.3577E-01
  1.4114E+00 -1.2715E-17  4.9798E+01  2.0789E-01
  1.4341E+00  3.0021E-17  5.2296E+01  2.8510E-01
  1.4568E+00 -3.2723E-18  5.4915E+01  3.7085E-01
  1.4794E+00 -9.8589E-18  5.7664E+01  4.6541E-01
