# CREATED BY GENE DIAGNOSTICS TOOL on Sun Nov 18 20:34:44 2018
# diag: spectra, run(s): act, time window: 0-9(95 steps), species: ions
# normalization: R_0
#
# kxind = 0
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  2.2971E+01
  1.0000E-01  5.3317E+00
  1.5000E-01  7.7990E+00
  2.0000E-01  6.4394E+00
  2.5000E-01  5.8142E+00
  3.0000E-01  4.8332E+00
  3.5000E-01  5.5021E+00
  4.0000E-01  3.7078E+00
  4.5000E-01  1.8548E+00
  5.0000E-01  1.1364E+00
  5.5000E-01  8.0803E-01
  6.0000E-01  5.6667E-01
  6.5000E-01  4.8327E-01
  7.0000E-01  4.0001E-01
  7.5000E-01  2.9007E-01
  8.0000E-01  2.1768E-01
  8.5000E-01  1.7076E-01
  9.0000E-01  1.3850E-01
  9.5000E-01  1.0642E-01
  1.0000E+00  8.2375E-02
  1.0500E+00  6.6429E-02
  1.1000E+00  5.1943E-02
  1.1500E+00  4.0143E-02
  1.2000E+00  3.3928E-02
  1.2500E+00  2.6410E-02
  1.3000E+00  2.0660E-02
  1.3500E+00  1.5391E-02
  1.4000E+00  1.2776E-02
  1.4500E+00  1.0477E-02
  1.5000E+00  8.3125E-03
  1.5500E+00  6.8180E-03
  1.6000E+00  5.4084E-03
  1.6500E+00  4.5962E-03
  1.7000E+00  3.7557E-03
  1.7500E+00  3.2167E-03
  1.8000E+00  2.6868E-03
  1.8500E+00  2.2205E-03
  1.9000E+00  1.9377E-03
  1.9500E+00  1.6141E-03
  2.0000E+00  1.3516E-03
  2.0500E+00  1.1835E-03
  2.1000E+00  9.6557E-04
  2.1500E+00  8.8633E-04
  2.2000E+00  7.9001E-04
  2.2500E+00  6.8620E-04
  2.3000E+00  6.1624E-04
  2.3500E+00  5.4910E-04
  2.4000E+00  5.1339E-04
  2.4500E+00  4.5840E-04
  2.5000E+00  4.1415E-04
  2.5500E+00  3.8711E-04
  2.6000E+00  3.6260E-04
  2.6500E+00  3.2761E-04
  2.7000E+00  3.0820E-04
  2.7500E+00  2.9553E-04
  2.8000E+00  2.6748E-04
  2.8500E+00  2.4875E-04
  2.9000E+00  2.4094E-04
  2.9500E+00  2.3562E-04
  3.0000E+00  2.1937E-04
  3.0500E+00  2.1256E-04
  3.1000E+00  2.0327E-04
  3.1500E+00  2.3048E-04


# kxind = 1
#  ky         phi       
  0.0000E+00  2.4071E+04
  5.0000E-02  2.0545E+01
  1.0000E-01  7.1817E+00
  1.5000E-01  6.3358E+00
  2.0000E-01  4.5016E+00
  2.5000E-01  5.6643E+00
  3.0000E-01  5.1735E+00
  3.5000E-01  4.6765E+00
  4.0000E-01  2.7402E+00
  4.5000E-01  1.4439E+00
  5.0000E-01  1.0614E+00
  5.5000E-01  8.2435E-01
  6.0000E-01  5.9839E-01
  6.5000E-01  4.5928E-01
  7.0000E-01  3.6445E-01
  7.5000E-01  2.9106E-01
  8.0000E-01  2.2676E-01
  8.5000E-01  1.7176E-01
  9.0000E-01  1.3297E-01
  9.5000E-01  9.9210E-02
  1.0000E+00  7.5760E-02
  1.0500E+00  6.0715E-02
  1.1000E+00  5.2015E-02
  1.1500E+00  3.7084E-02
  1.2000E+00  3.3210E-02
  1.2500E+00  2.6827E-02
  1.3000E+00  2.0270E-02
  1.3500E+00  1.5545E-02
  1.4000E+00  1.2959E-02
  1.4500E+00  1.0289E-02
  1.5000E+00  8.4073E-03
  1.5500E+00  6.6526E-03
  1.6000E+00  5.4095E-03
  1.6500E+00  4.6241E-03
  1.7000E+00  3.8664E-03
  1.7500E+00  3.2116E-03
  1.8000E+00  2.5920E-03
  1.8500E+00  2.2607E-03
  1.9000E+00  1.8919E-03
  1.9500E+00  1.6187E-03
  2.0000E+00  1.3619E-03
  2.0500E+00  1.1763E-03
  2.1000E+00  9.9591E-04
  2.1500E+00  9.0023E-04
  2.2000E+00  7.9256E-04
  2.2500E+00  6.8237E-04
  2.3000E+00  6.0780E-04
  2.3500E+00  5.6831E-04
  2.4000E+00  5.0629E-04
  2.4500E+00  4.5645E-04
  2.5000E+00  4.1050E-04
  2.5500E+00  3.7204E-04
  2.6000E+00  3.4797E-04
  2.6500E+00  3.3521E-04
  2.7000E+00  3.0643E-04
  2.7500E+00  2.8892E-04
  2.8000E+00  2.6967E-04
  2.8500E+00  2.5085E-04
  2.9000E+00  2.4393E-04
  2.9500E+00  2.3493E-04
  3.0000E+00  2.1481E-04
  3.0500E+00  2.1059E-04
  3.1000E+00  2.1104E-04
  3.1500E+00  2.3284E-04


# kxind = 2
#  ky         phi       
  0.0000E+00  1.6774E+03
  5.0000E-02  3.7628E+01
  1.0000E-01  1.3132E+01
  1.5000E-01  9.0233E+00
  2.0000E-01  5.9442E+00
  2.5000E-01  5.0402E+00
  3.0000E-01  3.7165E+00
  3.5000E-01  3.1612E+00
  4.0000E-01  2.3007E+00
  4.5000E-01  1.4280E+00
  5.0000E-01  1.1202E+00
  5.5000E-01  7.8279E-01
  6.0000E-01  5.6458E-01
  6.5000E-01  4.7409E-01
  7.0000E-01  3.7678E-01
  7.5000E-01  2.8418E-01
  8.0000E-01  2.1007E-01
  8.5000E-01  1.7433E-01
  9.0000E-01  1.1880E-01
  9.5000E-01  9.6807E-02
