# CREATED BY GENE DIAGNOSTICS TOOL on Sun Nov 18 20:34:45 2018
# diag: zprofile, run(s): act, time window: 0-9(95 steps), species: ions
# normalization: R_0
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.0559E+02  2.0559E+02
 -3.0925E+00  0.0000E+00  2.0558E+02  2.0558E+02
 -3.0434E+00  0.0000E+00  2.0556E+02  2.0556E+02
 -2.9943E+00  0.0000E+00  2.0556E+02  2.0556E+02
 -2.9452E+00  0.0000E+00  2.0558E+02  2.0558E+02
 -2.8962E+00  0.0000E+00  2.0560E+02  2.0560E+02
 -2.8471E+00  0.0000E+00  2.0564E+02  2.0564E+02
 -2.7980E+00  0.0000E+00  2.0569E+02  2.0569E+02
 -2.7489E+00  0.0000E+00  2.0574E+02  2.0574E+02
 -2.6998E+00  0.0000E+00  2.0580E+02  2.0580E+02
 -2.6507E+00  0.0000E+00  2.0586E+02  2.0586E+02
 -2.6016E+00  0.0000E+00  2.0592E+02  2.0592E+02
 -2.5525E+00  0.0000E+00  2.0600E+02  2.0600E+02
 -2.5035E+00  0.0000E+00  2.0609E+02  2.0609E+02
 -2.4544E+00  0.0000E+00  2.0620E+02  2.0620E+02
 -2.4053E+00  0.0000E+00  2.0631E+02  2.0631E+02
 -2.3562E+00  0.0000E+00  2.0642E+02  2.0642E+02
 -2.3071E+00  0.0000E+00  2.0654E+02  2.0654E+02
 -2.2580E+00  0.0000E+00  2.0665E+02  2.0665E+02
 -2.2089E+00  0.0000E+00  2.0677E+02  2.0677E+02
 -2.1598E+00  0.0000E+00  2.0689E+02  2.0689E+02
 -2.1108E+00  0.0000E+00  2.0700E+02  2.0700E+02
 -2.0617E+00  0.0000E+00  2.0713E+02  2.0713E+02
 -2.0126E+00  0.0000E+00  2.0726E+02  2.0726E+02
 -1.9635E+00  0.0000E+00  2.0742E+02  2.0742E+02
 -1.9144E+00  0.0000E+00  2.0756E+02  2.0756E+02
 -1.8653E+00  0.0000E+00  2.0772E+02  2.0772E+02
 -1.8162E+00  0.0000E+00  2.0787E+02  2.0787E+02
 -1.7671E+00  0.0000E+00  2.0805E+02  2.0805E+02
 -1.7181E+00  0.0000E+00  2.0819E+02  2.0819E+02
 -1.6690E+00  0.0000E+00  2.0836E+02  2.0836E+02
 -1.6199E+00  0.0000E+00  2.0852E+02  2.0852E+02
 -1.5708E+00  0.0000E+00  2.0869E+02  2.0869E+02
 -1.5217E+00  0.0000E+00  2.0885E+02  2.0885E+02
 -1.4726E+00  0.0000E+00  2.0903E+02  2.0903E+02
 -1.4235E+00  0.0000E+00  2.0921E+02  2.0921E+02
 -1.3744E+00  0.0000E+00  2.0940E+02  2.0940E+02
 -1.3254E+00  0.0000E+00  2.0962E+02  2.0962E+02
 -1.2763E+00  0.0000E+00  2.0979E+02  2.0979E+02
 -1.2272E+00  0.0000E+00  2.1001E+02  2.1001E+02
 -1.1781E+00  0.0000E+00  2.1020E+02  2.1020E+02
 -1.1290E+00  0.0000E+00  2.1040E+02  2.1040E+02
 -1.0799E+00  0.0000E+00  2.1063E+02  2.1063E+02
 -1.0308E+00  0.0000E+00  2.1084E+02  2.1084E+02
 -9.8175E-01  0.0000E+00  2.1109E+02  2.1109E+02
 -9.3266E-01  0.0000E+00  2.1135E+02  2.1135E+02
 -8.8357E-01  0.0000E+00  2.1163E+02  2.1163E+02
 -8.3449E-01  0.0000E+00  2.1188E+02  2.1188E+02
 -7.8540E-01  0.0000E+00  2.1213E+02  2.1213E+02
 -7.3631E-01  0.0000E+00  2.1241E+02  2.1241E+02
 -6.8722E-01  0.0000E+00  2.1257E+02  2.1257E+02
 -6.3814E-01  0.0000E+00  2.1285E+02  2.1285E+02
 -5.8905E-01  0.0000E+00  2.1299E+02  2.1299E+02
 -5.3996E-01  0.0000E+00  2.1321E+02  2.1321E+02
 -4.9087E-01  0.0000E+00  2.1342E+02  2.1342E+02
 -4.4179E-01  0.0000E+00  2.1362E+02  2.1362E+02
 -3.9270E-01  0.0000E+00  2.1387E+02  2.1387E+02
 -3.4361E-01  0.0000E+00  2.1408E+02  2.1408E+02
 -2.9452E-01  0.0000E+00  2.1430E+02  2.1430E+02
 -2.4544E-01  0.0000E+00  2.1454E+02  2.1454E+02
 -1.9635E-01  0.0000E+00  2.1480E+02  2.1480E+02
 -1.4726E-01  0.0000E+00  2.1505E+02  2.1505E+02
 -9.8175E-02  0.0000E+00  2.1535E+02  2.1535E+02
 -4.9087E-02  0.0000E+00  2.1556E+02  2.1556E+02
  0.0000E+00  0.0000E+00  2.1575E+02  2.1575E+02
  4.9087E-02  0.0000E+00  2.1587E+02  2.1587E+02
  9.8175E-02  0.0000E+00  2.1603E+02  2.1603E+02
  1.4726E-01  0.0000E+00  2.1610E+02  2.1610E+02
  1.9635E-01  0.0000E+00  2.1613E+02  2.1613E+02
  2.4544E-01  0.0000E+00  2.1619E+02  2.1619E+02
  2.9452E-01  0.0000E+00  2.1623E+02  2.1623E+02
  3.4361E-01  0.0000E+00  2.1624E+02  2.1624E+02
  3.9270E-01  0.0000E+00  2.1622E+02  2.1622E+02
  4.4179E-01  0.0000E+00  2.1620E+02  2.1620E+02
  4.9087E-01  0.0000E+00  2.1604E+02  2.1604E+02
  5.3996E-01  0.0000E+00  2.1590E+02  2.1590E+02
  5.8905E-01  0.0000E+00  2.1572E+02  2.1572E+02
  6.3814E-01  0.0000E+00  2.1555E+02  2.1555E+02
  6.8722E-01  0.0000E+00  2.1533E+02  2.1533E+02
  7.3631E-01  0.0000E+00  2.1513E+02  2.1513E+02
  7.8540E-01  0.0000E+00  2.1486E+02  2.1486E+02
  8.3449E-01  0.0000E+00  2.1454E+02  2.1454E+02
  8.8357E-01  0.0000E+00  2.1424E+02  2.1424E+02
  9.3266E-01  0.0000E+00  2.1397E+02  2.1397E+02
  9.8175E-01  0.0000E+00  2.1356E+02  2.1356E+02
  1.0308E+00  0.0000E+00  2.1314E+02  2.1314E+02
  1.0799E+00  0.0000E+00  2.1284E+02  2.1284E+02
  1.1290E+00  0.0000E+00  2.1247E+02  2.1247E+02
  1.1781E+00  0.0000E+00  2.1218E+02  2.1218E+02
  1.2272E+00  0.0000E+00  2.1183E+02  2.1183E+02
  1.2763E+00  0.0000E+00  2.1155E+02  2.1155E+02
  1.3254E+00  0.0000E+00  2.1122E+02  2.1122E+02
  1.3744E+00  0.0000E+00  2.1094E+02  2.1094E+02
  1.4235E+00  0.0000E+00  2.1065E+02  2.1065E+02
  1.4726E+00  0.0000E+00  2.1038E+02  2.1038E+02
  1.5217E+00  0.0000E+00  2.1011E+02  2.1011E+02
  1.5708E+00  0.0000E+00  2.0986E+02  2.0986E+02
  1.6199E+00  0.0000E+00  2.0964E+02  2.0964E+02
  1.6690E+00  0.0000E+00  2.0940E+02  2.0940E+02
  1.7181E+00  0.0000E+00  2.0919E+02  2.0919E+02
  1.7671E+00  0.0000E+00  2.0897E+02  2.0897E+02
  1.8162E+00  0.0000E+00  2.0878E+02  2.0878E+02
  1.8653E+00  0.0000E+00  2.0856E+02  2.0856E+02
  1.9144E+00  0.0000E+00  2.0839E+02  2.0839E+02
  1.9635E+00  0.0000E+00  2.0822E+02  2.0822E+02
  2.0126E+00  0.0000E+00  2.0801E+02  2.0801E+02
  2.0617E+00  0.0000E+00  2.0782E+02  2.0782E+02
  2.1108E+00  0.0000E+00  2.0762E+02  2.0762E+02
  2.1598E+00  0.0000E+00  2.0744E+02  2.0744E+02
  2.2089E+00  0.0000E+00  2.0725E+02  2.0725E+02
  2.2580E+00  0.0000E+00  2.0713E+02  2.0713E+02
  2.3071E+00  0.0000E+00  2.0698E+02  2.0698E+02
  2.3562E+00  0.0000E+00  2.0686E+02  2.0686E+02
  2.4053E+00  0.0000E+00  2.0673E+02  2.0673E+02
  2.4544E+00  0.0000E+00  2.0662E+02  2.0662E+02
  2.5035E+00  0.0000E+00  2.0651E+02  2.0651E+02
  2.5525E+00  0.0000E+00  2.0641E+02  2.0641E+02
  2.6016E+00  0.0000E+00  2.0632E+02  2.0632E+02
  2.6507E+00  0.0000E+00  2.0622E+02  2.0622E+02
  2.6998E+00  0.0000E+00  2.0613E+02  2.0613E+02
  2.7489E+00  0.0000E+00  2.0604E+02  2.0604E+02
  2.7980E+00  0.0000E+00  2.0596E+02  2.0596E+02
  2.8471E+00  0.0000E+00  2.0589E+02  2.0589E+02
  2.8962E+00  0.0000E+00  2.0582E+02  2.0582E+02
  2.9452E+00  0.0000E+00  2.0577E+02  2.0577E+02
  2.9943E+00  0.0000E+00  2.0572E+02  2.0572E+02
  3.0434E+00  0.0000E+00  2.0567E+02  2.0567E+02
  3.0925E+00  0.0000E+00  2.0563E+02  2.0563E+02
