# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan 24 16:14:51 2019
# diag: zonal, run(s): act, time window: 0-30(309 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.2/ITGa_NL/omt10/
# normalization: R_0
#
# avg. values:
# shearing rate: 9.8603741
#  shear. ra
  2.2622E+00  1.7591E+00  8.4604E-01  6.0311E-01  8.2141E-01  7.1232E-01  5.0071E-01  7.5208E-01  1.0815E+00  1.2164E+00  1.2061E+00  1.1724E+00  1.2614E+00  1.4752E+00  1.9086E+00  2.4279E+00  2.5716E+00  2.6495E+00  2.6798E+00  2.7448E+00  2.9548E+00  3.2305E+00  3.3843E+00  3.4675E+00  3.6576E+00  3.9008E+00  4.1562E+00  4.1850E+00  4.4605E+00  4.8889E+00  5.1756E+00  5.6634E+00  6.3144E+00  6.8640E+00  7.4077E+00  7.8815E+00  8.1646E+00  8.5163E+00  8.6933E+00  8.8786E+00  9.1220E+00  9.3312E+00  9.4549E+00  9.3491E+00  9.3137E+00  9.2931E+00  9.3585E+00  9.3656E+00  9.3254E+00  9.5297E+00  9.9553E+00  1.0324E+01  1.0589E+01  1.0998E+01  1.1427E+01  1.1664E+01  1.1774E+01  1.1903E+01  1.2304E+01  1.2289E+01  1.2107E+01  1.1969E+01  1.2211E+01  1.2720E+01  1.3188E+01  1.3324E+01  1.3279E+01  1.3249E+01  1.3295E+01  1.3354E+01  1.3280E+01  1.3244E+01  1.3482E+01  1.3714E+01  1.3388E+01  1.2938E+01  1.2728E+01  1.2646E+01  1.2370E+01  1.1954E+01  1.1385E+01  1.1158E+01  1.1197E+01  1.1564E+01  1.1854E+01  1.1952E+01  1.2038E+01  1.2124E+01  1.1837E+01  1.1320E+01  1.1242E+01  1.1621E+01  1.1882E+01  1.1636E+01  1.1178E+01  1.0720E+01  1.0532E+01  1.0474E+01  1.0514E+01  1.0785E+01  1.1504E+01  1.1992E+01  1.2135E+01  1.1797E+01  1.1206E+01  1.0699E+01  1.0684E+01  1.1131E+01  1.1072E+01  1.1127E+01  1.1305E+01  1.1705E+01  1.2055E+01  1.2202E+01  1.1865E+01  1.1425E+01  1.1201E+01  1.1241E+01  1.0987E+01  1.0272E+01  1.0043E+01  1.0249E+01  1.0287E+01  1.0251E+01  1.0422E+01  1.0746E+01  1.0884E+01  1.0819E+01  1.0569E+01  1.0514E+01  1.0755E+01  1.0741E+01  1.0387E+01  9.9139E+00  9.3865E+00  9.1687E+00  9.6542E+00  1.0407E+01  1.0973E+01  1.1576E+01  1.1977E+01  1.1734E+01  1.1017E+01  1.0561E+01  1.0184E+01  1.0014E+01  9.9796E+00  1.0217E+01  1.0680E+01  1.1398E+01  1.2111E+01  1.2527E+01  1.2363E+01  1.1584E+01  1.0664E+01  1.0069E+01  1.0104E+01  1.0518E+01  1.1018E+01  1.1295E+01  1.1316E+01  1.1539E+01  1.1840E+01  1.1926E+01  1.2083E+01  1.2083E+01  1.1980E+01  1.1615E+01  1.1381E+01  1.1494E+01  1.1370E+01  1.1001E+01  1.0357E+01  1.0251E+01  1.0968E+01  1.1952E+01  1.2449E+01  1.2523E+01  1.2435E+01  1.1859E+01  1.1354E+01  1.1093E+01  1.1038E+01  1.1004E+01  1.0881E+01  1.0682E+01  1.0339E+01  1.0254E+01  1.0288E+01  1.0200E+01  1.0325E+01  1.0477E+01  1.0665E+01  1.0550E+01  9.9088E+00  9.6742E+00  1.0215E+01  1.1006E+01  1.1828E+01  1.1950E+01  1.1879E+01  1.1544E+01  1.0980E+01  1.0674E+01  1.0449E+01  1.0487E+01  1.0243E+01  9.8861E+00  1.0067E+01  1.0633E+01  1.1150E+01  1.0942E+01  1.0307E+01  9.8284E+00  9.8521E+00  1.0714E+01  1.2020E+01  1.2595E+01  1.2736E+01  1.3226E+01  1.3612E+01  1.3649E+01  1.3424E+01  1.2999E+01  1.2493E+01  1.1489E+01  1.0284E+01  9.6550E+00  9.9488E+00  1.0858E+01  1.1522E+01  1.1693E+01  1.2088E+01  1.2436E+01  1.2310E+01  1.1455E+01  1.0308E+01  9.4065E+00  9.0929E+00  9.3897E+00  9.8533E+00  1.0187E+01  1.0869E+01  1.1630E+01  1.2010E+01  1.2004E+01  1.1921E+01  1.1882E+01  1.1539E+01  1.1403E+01  1.1507E+01  1.1613E+01  1.1613E+01  1.1627E+01  1.1513E+01  1.1072E+01  1.0503E+01  1.0251E+01  1.0325E+01  1.0759E+01  1.1466E+01  1.2123E+01  1.2874E+01  1.3249E+01  1.3224E+01  1.3056E+01  1.2958E+01  1.2726E+01  1.2264E+01  1.1965E+01  1.1989E+01  1.2311E+01  1.2505E+01  1.2863E+01  1.2739E+01  1.2247E+01  1.1484E+01  1.0942E+01  1.0823E+01  1.0865E+01  1.1185E+01  1.1423E+01  1.1230E+01  1.1036E+01  1.1037E+01  1.1217E+01  1.1309E+01  1.1256E+01  1.1211E+01  1.0939E+01  1.0798E+01  1.0597E+01  1.0443E+01  1.0497E+01  1.0688E+01  1.1267E+01  1.1607E+01  1.1890E+01  1.2010E+01  1.1888E+01  1.1792E+01  1.1928E+01  1.1991E+01  1.2162E+01  1.2263E+01  1.2107E+01  1.1713E+01  1.1558E+01  1.1607E+01


# averaged over time
#  kx         shear. rat
  4.9009E-02  1.8248E-01
  9.8018E-02  2.4293E-01
  1.4703E-01  2.9492E-01
  1.9604E-01  5.3192E-01
  2.4504E-01  6.2404E-01
  2.9405E-01  8.0600E-01
  3.4306E-01  9.0328E-01
  3.9207E-01  1.2693E+00
  4.4108E-01  1.6474E+00
  4.9009E-01  2.0664E+00
  5.3910E-01  1.7493E+00
  5.8811E-01  9.9803E-01
  6.3712E-01  1.4409E+00
  6.8612E-01  1.0025E+00
  7.3513E-01  1.0076E+00
  7.8414E-01  1.1428E+00
  8.3315E-01  9.4005E-01
  8.8216E-01  1.1531E+00
  9.3117E-01  1.1832E+00
  9.8018E-01  1.1251E+00
  1.0292E+00  1.0887E+00
  1.0782E+00  1.2178E+00
  1.1272E+00  1.0051E+00
  1.1762E+00  1.0306E+00
  1.2252E+00  9.1073E-01
  1.2742E+00  1.0047E+00
  1.3232E+00  9.8810E-01
  1.3722E+00  9.8248E-01
  1.4213E+00  8.7258E-01
  1.4703E+00  9.5234E-01
  1.5193E+00  7.4158E-01
  1.5683E+00  6.9989E-01
  1.6173E+00  6.1389E-01
  1.6663E+00  5.6909E-01
  1.7153E+00  4.9918E-01
  1.7643E+00  4.5767E-01
  1.8133E+00  3.8694E-01
  1.8623E+00  3.8408E-01
  1.9113E+00  3.3798E-01
  1.9604E+00  3.4154E-01
  2.0094E+00  2.8886E-01
  2.0584E+00  2.4750E-01
  2.1074E+00  2.4031E-01
  2.1564E+00  2.2973E-01
  2.2054E+00  1.8629E-01
  2.2544E+00  1.9108E-01
  2.3034E+00  1.6938E-01
  2.3524E+00  1.6398E-01
  2.4014E+00  1.4767E-01
  2.4504E+00  1.3725E-01
  2.4995E+00  1.3396E-01
  2.5485E+00  1.2293E-01
  2.5975E+00  1.2316E-01
  2.6465E+00  1.0848E-01
  2.6955E+00  9.9155E-02
  2.7445E+00  9.5371E-02
  2.7935E+00  9.9400E-02
  2.8425E+00  8.9677E-02
  2.8915E+00  8.0108E-02
  2.9405E+00  8.3507E-02
  2.9895E+00  7.1699E-02
  3.0386E+00  7.2811E-02
  3.0876E+00  7.0483E-02
  3.1366E+00  6.7598E-02
  3.1856E+00  6.6950E-02
  3.2346E+00  6.5959E-02
  3.2836E+00  6.1890E-02
  3.3326E+00  6.2313E-02
  3.3816E+00  6.1093E-02
  3.4306E+00  5.6816E-02
  3.4796E+00  5.9305E-02
  3.5286E+00  5.7459E-02
  3.5776E+00  5.9349E-02
  3.6267E+00  5.3416E-02
  3.6757E+00  5.4018E-02
  3.7247E+00  5.4946E-02
  3.7737E+00  5.2019E-02
  3.8227E+00  5.4094E-02
  3.8717E+00  5.6232E-02
  3.9207E+00  5.4732E-02
  3.9697E+00  5.2974E-02
  4.0187E+00  5.2606E-02
  4.0677E+00  5.2408E-02
  4.1167E+00  5.2827E-02
  4.1658E+00  5.4627E-02
  4.2148E+00  5.6471E-02
  4.2638E+00  5.4708E-02
  4.3128E+00  5.5634E-02
  4.3618E+00  5.5813E-02
  4.4108E+00  5.2626E-02
  4.4598E+00  5.3691E-02
  4.5088E+00  5.5155E-02
  4.5578E+00  5.3679E-02
  4.6068E+00  5.6376E-02
  4.6558E+00  5.3618E-02
  4.7049E+00  5.6942E-02
  4.7539E+00  5.8011E-02
  4.8029E+00  5.4098E-02
  4.8519E+00  5.5377E-02
  4.9009E+00  5.5456E-02
  4.9499E+00  5.7048E-02
  4.9989E+00  5.6590E-02
  5.0479E+00  6.1945E-02
  5.0969E+00  6.0408E-02
  5.1459E+00  5.9223E-02
  5.1949E+00  6.1782E-02
  5.2440E+00  5.6362E-02
  5.2930E+00  6.2691E-02
  5.3420E+00  5.9301E-02
  5.3910E+00  6.0248E-02
  5.4400E+00  5.8792E-02
  5.4890E+00  6.4050E-02
  5.5380E+00  5.9009E-02
  5.5870E+00  5.7910E-02
  5.6360E+00  6.2942E-02
  5.6850E+00  6.1264E-02
  5.7340E+00  6.1582E-02
  5.7830E+00  6.1907E-02
  5.8321E+00  6.5689E-02
  5.8811E+00  5.8800E-02
  5.9301E+00  6.3816E-02
  5.9791E+00  6.2548E-02
  6.0281E+00  6.6240E-02
  6.0771E+00  6.5613E-02
  6.1261E+00  6.4969E-02
  6.1751E+00  6.4502E-02
  6.2241E+00  6.9093E-02
  6.2731E+00  6.3927E-02
  6.3221E+00  6.6590E-02
  6.3712E+00  6.5779E-02
  6.4202E+00  6.7419E-02
  6.4692E+00  7.0946E-02
  6.5182E+00  6.7444E-02
  6.5672E+00  6.6895E-02
  6.6162E+00  6.6788E-02
  6.6652E+00  6.7499E-02
  6.7142E+00  6.5227E-02
  6.7632E+00  7.2558E-02
  6.8122E+00  7.1697E-02
  6.8612E+00  6.8594E-02
  6.9103E+00  7.0510E-02
  6.9593E+00  7.4448E-02
  7.0083E+00  7.2343E-02
  7.0573E+00  7.2152E-02
  7.1063E+00  7.3005E-02
  7.1553E+00  7.7021E-02
  7.2043E+00  7.5178E-02
  7.2533E+00  7.4740E-02
  7.3023E+00  7.7072E-02
  7.3513E+00  7.5856E-02
  7.4003E+00  7.5404E-02
  7.4494E+00  7.5856E-02
  7.4984E+00  7.8305E-02
  7.5474E+00  7.9639E-02
  7.5964E+00  7.9234E-02
