# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:09:13 2019
# diag: fluxspectra, run(s): act, time window: 0-7.74(48 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.2/ITGa_NL/omt6/
# normalization: R_0
#
# Q*dVdx =   2.5805E+01 MW
# G*dVdx =   2.4391E-09 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -1.1273E-11  1.4108E+01
  4.9009E-02  5.3820E-10  2.9253E+01
  9.8018E-02  3.0969E-11  3.0994E+01
  1.4703E-01  2.9564E-09  2.9194E+01
  1.9604E-01  8.3584E-10  2.5967E+01
  2.4504E-01  1.7206E-09  1.9596E+01
  2.9405E-01  8.1594E-10  1.3755E+01
  3.4306E-01 -1.3820E-10  1.1521E+01
  3.9207E-01 -3.8213E-10  8.3066E+00
  4.4108E-01  5.8265E-10  6.5489E+00
  4.9009E-01 -6.8762E-11  5.2069E+00
  5.3910E-01  2.8626E-10  3.9540E+00
  5.8811E-01  3.3817E-12  3.4861E+00
  6.3712E-01 -3.5708E-10  2.6815E+00
  6.8612E-01  5.1556E-11  1.8566E+00
  7.3513E-01  3.3666E-10  1.5522E+00
  7.8414E-01  3.6923E-11  1.2585E+00
  8.3315E-01 -1.7755E-10  1.0311E+00
  8.8216E-01  1.0101E-10  8.8939E-01
  9.3117E-01  2.7454E-10  8.5906E-01
  9.8018E-01  3.4661E-11  7.6559E-01
  1.0292E+00  5.0132E-11  6.6604E-01
  1.0782E+00 -2.1903E-10  5.4994E-01
  1.1272E+00 -3.2646E-11  5.1141E-01
  1.1762E+00 -1.9657E-11  4.5427E-01
  1.2252E+00 -5.3100E-11  4.1923E-01
  1.2742E+00 -1.0314E-10  3.9775E-01
  1.3232E+00  2.7469E-11  3.4467E-01
  1.3722E+00 -1.9694E-11  3.1750E-01
  1.4213E+00  1.1224E-10  2.7592E-01
  1.4703E+00 -5.4577E-11  2.9325E-01
  1.5193E+00  4.4719E-11  2.4642E-01
  1.5683E+00  8.0505E-11  2.0951E-01
  1.6173E+00  1.9289E-11  1.9930E-01
  1.6663E+00 -2.0548E-11  1.9422E-01
  1.7153E+00 -3.5931E-12  1.7620E-01
  1.7643E+00 -1.1891E-11  1.4378E-01
  1.8133E+00 -5.3611E-11  1.4216E-01
  1.8623E+00 -4.8308E-12  1.3342E-01
  1.9113E+00 -5.2338E-12  1.2050E-01
  1.9604E+00  6.3842E-12  9.8856E-02
  2.0094E+00  5.0543E-11  9.2600E-02
  2.0584E+00  1.0592E-11  9.4880E-02
  2.1074E+00 -2.9394E-11  8.3539E-02
  2.1564E+00 -1.1183E-11  6.8902E-02
  2.2054E+00  1.9934E-11  6.6918E-02
  2.2544E+00 -1.2866E-12  6.0002E-02
  2.3034E+00  5.0380E-11  5.6298E-02
  2.3524E+00  1.0849E-11  5.0153E-02
  2.4014E+00  1.5996E-11  4.8802E-02
  2.4504E+00 -2.2316E-11  4.3763E-02
  2.4995E+00 -1.2691E-11  4.1015E-02
  2.5485E+00 -4.0590E-12  3.8181E-02
  2.5975E+00  6.4091E-12  3.6237E-02
  2.6465E+00 -1.9862E-11  3.2245E-02
  2.6955E+00 -8.0364E-12  3.0520E-02
  2.7445E+00 -2.9509E-12  2.9870E-02
  2.7935E+00  1.6297E-11  2.6949E-02
  2.8425E+00 -4.7381E-12  2.6447E-02
  2.8915E+00 -4.8618E-12  2.2650E-02
  2.9405E+00  8.1627E-12  2.1264E-02
  2.9895E+00 -5.4009E-12  2.1009E-02
  3.0386E+00 -3.7893E-12  1.9168E-02
  3.0876E+00 -2.6176E-12  1.8384E-02
  3.1366E+00  6.2854E-12  1.6752E-02
  3.1856E+00 -2.9636E-14  1.5765E-02
  3.2346E+00 -6.8633E-12  1.4450E-02
  3.2836E+00  1.0344E-11  1.4593E-02
  3.3326E+00  4.6515E-12  1.3232E-02
  3.3816E+00 -9.4569E-12  1.2928E-02
  3.4306E+00  3.0614E-12  1.1938E-02
  3.4796E+00  3.6329E-12  1.1280E-02
  3.5286E+00 -1.7649E-12  1.0636E-02
  3.5776E+00  3.4937E-12  9.4774E-03
  3.6267E+00 -1.1708E-12  9.1504E-03
  3.6757E+00  2.3801E-12  8.4984E-03
  3.7247E+00 -1.8141E-12  8.0321E-03
  3.7737E+00 -1.6233E-12  7.8296E-03
  3.8227E+00  3.9506E-12  7.3078E-03
  3.8717E+00 -5.0766E-13  7.0858E-03
  3.9207E+00  3.0089E-12  6.5672E-03
  3.9697E+00 -1.2235E-13  6.1937E-03
  4.0187E+00  2.0703E-13  5.9905E-03
  4.0677E+00  5.9648E-13  5.7583E-03
  4.1167E+00 -1.3612E-12  5.0625E-03
  4.1658E+00 -8.0661E-13  5.0394E-03
  4.2148E+00  9.8954E-13  4.7905E-03
  4.2638E+00  3.5930E-13  4.3710E-03
  4.3128E+00 -1.4997E-12  4.0875E-03
  4.3618E+00 -1.6788E-12  3.9516E-03
  4.4108E+00  4.3222E-13  3.6428E-03
  4.4598E+00 -4.0855E-12  3.5944E-03
  4.5088E+00 -8.2502E-13  3.3663E-03
  4.5578E+00  3.3773E-13  3.2671E-03
  4.6068E+00 -4.2005E-13  3.0001E-03
  4.6558E+00 -4.0596E-14  2.9472E-03
  4.7049E+00  2.9848E-13  2.6471E-03
  4.7539E+00  7.3923E-13  2.6368E-03
