# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:09:14 2019
# diag: spectra, run(s): act, time window: 0-7.74(48 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.2/ITGa_NL/omt6/
# normalization: R_0
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  2.9909E+00
  1.0000E-01  9.2554E-01
  1.5000E-01  1.6547E+00
  2.0000E-01  1.7399E+00
  2.5000E-01  2.6456E+00
  3.0000E-01  2.3532E+00
  3.5000E-01  1.2698E+00
  4.0000E-01  1.0785E+00
  4.5000E-01  6.5992E-01
  5.0000E-01  3.6592E-01
  5.5000E-01  2.4427E-01
  6.0000E-01  1.4447E-01
  6.5000E-01  1.1843E-01
  7.0000E-01  8.6050E-02
  7.5000E-01  7.5069E-02
  8.0000E-01  5.0968E-02
  8.5000E-01  4.1507E-02
  9.0000E-01  3.3708E-02
  9.5000E-01  2.1201E-02
  1.0000E+00  1.9101E-02
  1.0500E+00  1.3629E-02
  1.1000E+00  1.1149E-02
  1.1500E+00  7.9915E-03
  1.2000E+00  6.9018E-03
  1.2500E+00  5.1625E-03
  1.3000E+00  3.8760E-03
  1.3500E+00  3.2164E-03
  1.4000E+00  2.4830E-03
  1.4500E+00  1.8397E-03
  1.5000E+00  1.6595E-03
  1.5500E+00  1.2682E-03
  1.6000E+00  9.5751E-04
  1.6500E+00  8.6595E-04
  1.7000E+00  7.6396E-04
  1.7500E+00  5.7086E-04
  1.8000E+00  4.4810E-04
  1.8500E+00  3.4482E-04
  1.9000E+00  2.9589E-04
  1.9500E+00  2.5573E-04
  2.0000E+00  2.0408E-04
  2.0500E+00  1.8610E-04
  2.1000E+00  1.5636E-04
  2.1500E+00  1.4573E-04
  2.2000E+00  1.1586E-04
  2.2500E+00  9.8443E-05
  2.3000E+00  8.4914E-05
  2.3500E+00  7.5417E-05
  2.4000E+00  6.4158E-05
  2.4500E+00  5.9535E-05
  2.5000E+00  5.2638E-05
  2.5500E+00  4.4779E-05
  2.6000E+00  4.0349E-05
  2.6500E+00  3.8725E-05
  2.7000E+00  3.5162E-05
  2.7500E+00  3.2077E-05
  2.8000E+00  2.8346E-05
  2.8500E+00  2.7979E-05
  2.9000E+00  2.5617E-05
  2.9500E+00  2.3328E-05
  3.0000E+00  2.2180E-05
  3.0500E+00  1.9588E-05
  3.1000E+00  2.0311E-05
  3.1500E+00  2.5966E-05


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  2.5882E+04
  5.0000E-02  6.5240E+00
  1.0000E-01  2.1375E+00
  1.5000E-01  1.3226E+00
  2.0000E-01  2.7109E+00
  2.5000E-01  1.4759E+00
  3.0000E-01  1.1767E+00
  3.5000E-01  1.1157E+00
  4.0000E-01  7.9954E-01
  4.5000E-01  6.2384E-01
  5.0000E-01  3.3105E-01
  5.5000E-01  1.9728E-01
  6.0000E-01  1.4963E-01
  6.5000E-01  1.3062E-01
  7.0000E-01  8.4486E-02
  7.5000E-01  5.6435E-02
  8.0000E-01  4.9320E-02
  8.5000E-01  3.8549E-02
  9.0000E-01  3.0442E-02
  9.5000E-01  2.1117E-02
  1.0000E+00  1.6692E-02
  1.0500E+00  1.2194E-02
  1.1000E+00  1.0536E-02
  1.1500E+00  8.2428E-03
  1.2000E+00  6.9054E-03
  1.2500E+00  4.6259E-03
  1.3000E+00  4.0364E-03
  1.3500E+00  3.0805E-03
  1.4000E+00  2.3697E-03
  1.4500E+00  1.9124E-03
  1.5000E+00  1.4192E-03
  1.5500E+00  1.2680E-03
  1.6000E+00  1.0429E-03
  1.6500E+00  9.1022E-04
  1.7000E+00  7.1873E-04
  1.7500E+00  5.8904E-04
  1.8000E+00  4.1359E-04
  1.8500E+00  3.7783E-04
  1.9000E+00  2.9863E-04
  1.9500E+00  2.3538E-04
  2.0000E+00  2.2841E-04
  2.0500E+00  1.9118E-04
  2.1000E+00  1.5235E-04
  2.1500E+00  1.3321E-04
  2.2000E+00  1.1332E-04
  2.2500E+00  9.7594E-05
  2.3000E+00  8.6192E-05
  2.3500E+00  7.2971E-05
  2.4000E+00  5.9713E-05
  2.4500E+00  5.7015E-05
  2.5000E+00  5.2047E-05
  2.5500E+00  4.5830E-05
  2.6000E+00  4.1491E-05
  2.6500E+00  3.8095E-05
  2.7000E+00  3.5413E-05
  2.7500E+00  3.1383E-05
  2.8000E+00  3.0007E-05
  2.8500E+00  2.5836E-05
  2.9000E+00  2.5464E-05
  2.9500E+00  2.3060E-05
  3.0000E+00  2.1840E-05
  3.0500E+00  1.9689E-05
  3.1000E+00  2.1341E-05
  3.1500E+00  2.5043E-05


# kxind = 2, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  7.1167E+02
  5.0000E-02  6.6061E+00
  1.0000E-01  2.9462E+00
  1.5000E-01  1.9899E+00
  2.0000E-01  2.0581E+00
  2.5000E-01  1.6565E+00
  3.0000E-01  1.3032E+00
  3.5000E-01  1.1139E+00
  4.0000E-01  6.4726E-01
  4.5000E-01  5.1228E-01
  5.0000E-01  2.7568E-01
  5.5000E-01  1.7995E-01
  6.0000E-01  1.6872E-01
  6.5000E-01  1.1647E-01
  7.0000E-01  7.4911E-02
  7.5000E-01  5.7465E-02
  8.0000E-01  4.5343E-02
  8.5000E-01  4.1082E-02
  9.0000E-01  2.7183E-02
  9.5000E-01  2.0967E-02
  1.0000E+00  1.5863E-02
  1.0500E+00  1.2016E-02
  1.1000E+00  9.7915E-03
  1.1500E+00  8.6066E-03
  1.2000E+00  6.6650E-03
  1.2500E+00  5.2173E-03
  1.3000E+00  3.8634E-03
  1.3500E+00  2.8456E-03
  1.4000E+00  2.3634E-03
  1.4500E+00  1.8815E-03
  1.5000E+00  1.5095E-03
  1.5500E+00  1.4151E-03
  1.6000E+00  1.0707E-03
  1.6500E+00  8.8448E-04
  1.7000E+00  6.7184E-04
  1.7500E+00  5.6572E-04
  1.8000E+00  4.3705E-04
  1.8500E+00  3.7429E-04
  1.9000E+00  3.0168E-04
  1.9500E+00  2.5697E-04
  2.0000E+00  2.1806E-04
  2.0500E+00  1.8973E-04
  2.1000E+00  1.5741E-04
  2.1500E+00  1.2723E-04
  2.2000E+00  1.1479E-04
  2.2500E+00  9.5714E-05
  2.3000E+00  8.1508E-05
  2.3500E+00  7.1809E-05
  2.4000E+00  6.8674E-05
  2.4500E+00  5.6116E-05
  2.5000E+00  5.2246E-05
  2.5500E+00  4.3728E-05
  2.6000E+00  4.1410E-05
  2.6500E+00  3.8338E-05
  2.7000E+00  3.5655E-05
  2.7500E+00  3.0911E-05
  2.8000E+00  2.8973E-05
  2.8500E+00  2.8204E-05
  2.9000E+00  2.4406E-05
  2.9500E+00  2.3466E-05
  3.0000E+00  2.1307E-05
  3.0500E+00  2.0764E-05
  3.1000E+00  2.0385E-05
  3.1500E+00  2.5366E-05


# kxind = 3, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  1.2265E+02
  5.0000E-02  3.4468E+00
  1.0000E-01  3.4191E+00
  1.5000E-01  1.3554E+00
  2.0000E-01  1.2306E+00
  2.5000E-01  1.7589E+00
  3.0000E-01  1.5872E+00
  3.5000E-01  1.1438E+00
  4.0000E-01  7.6836E-01
  4.5000E-01  3.4432E-01
  5.0000E-01  2.7287E-01
  5.5000E-01  2.1571E-01
  6.0000E-01  1.2190E-01
  6.5000E-01  9.8530E-02
  7.0000E-01  7.4863E-02
  7.5000E-01  5.4127E-02
  8.0000E-01  4.4255E-02
  8.5000E-01  4.2068E-02
  9.0000E-01  2.7659E-02
  9.5000E-01  1.9857E-02
  1.0000E+00  1.5969E-02
  1.0500E+00  1.3183E-02
  1.1000E+00  9.0942E-03
  1.1500E+00  8.9397E-03
  1.2000E+00  6.5417E-03
  1.2500E+00  5.1920E-03
  1.3000E+00  3.8418E-03
  1.3500E+00  2.9515E-03
  1.4000E+00  2.3665E-03
  1.4500E+00  2.0121E-03
  1.5000E+00  1.6802E-03
  1.5500E+00  1.2317E-03
  1.6000E+00  1.1083E-03
  1.6500E+00  8.2143E-04
  1.7000E+00  6.8945E-04
  1.7500E+00  5.6669E-04
  1.8000E+00  4.7895E-04
  1.8500E+00  3.5582E-04
  1.9000E+00  2.9732E-04
  1.9500E+00  2.4912E-04
  2.0000E+00  2.1201E-04
  2.0500E+00  1.8834E-04
  2.1000E+00  1.5459E-04
  2.1500E+00  1.3305E-04
  2.2000E+00  1.0884E-04
  2.2500E+00  9.9962E-05
  2.3000E+00  8.0336E-05
  2.3500E+00  7.3242E-05
  2.4000E+00  6.6422E-05
  2.4500E+00  5.6356E-05
  2.5000E+00  5.2905E-05
  2.5500E+00  4.6567E-05
  2.6000E+00  3.9392E-05
  2.6500E+00  3.8986E-05
  2.7000E+00  3.4724E-05
  2.7500E+00  3.1440E-05
  2.8000E+00  2.8741E-05
  2.8500E+00  2.7084E-05
  2.9000E+00  2.5239E-05
  2.9500E+00  2.2895E-05
  3.0000E+00  2.0969E-05
  3.0500E+00  2.0582E-05
  3.1000E+00  1.9538E-05
  3.1500E+00  2.5414E-05


# kxind = 4, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  4.1408E+01
  5.0000E-02  5.1735E+00
  1.0000E-01  2.1004E+00
  1.5000E-01  1.6037E+00
  2.0000E-01  6.9018E-01
  2.5000E-01  1.9648E+00
  3.0000E-01  1.3296E+00
  3.5000E-01  1.0233E+00
  4.0000E-01  5.9994E-01
  4.5000E-01  3.3794E-01
  5.0000E-01  2.6082E-01
  5.5000E-01  1.9102E-01
  6.0000E-01  1.3700E-01
  6.5000E-01  1.0054E-01
  7.0000E-01  7.8456E-02
  7.5000E-01  5.9984E-02
  8.0000E-01  4.7082E-02
  8.5000E-01  3.1979E-02
  9.0000E-01  2.7755E-02
  9.5000E-01  2.0705E-02
  1.0000E+00  1.5208E-02
  1.0500E+00  1.2421E-02
  1.1000E+00  9.7178E-03
  1.1500E+00  7.0380E-03
  1.2000E+00  7.6384E-03
  1.2500E+00  4.8536E-03
  1.3000E+00  3.6413E-03
  1.3500E+00  2.8006E-03
  1.4000E+00  2.4670E-03
  1.4500E+00  1.7922E-03
  1.5000E+00  1.4688E-03
  1.5500E+00  1.2473E-03
  1.6000E+00  1.0257E-03
  1.6500E+00  9.0570E-04
  1.7000E+00  6.7919E-04
  1.7500E+00  5.3583E-04
  1.8000E+00  4.5331E-04
  1.8500E+00  3.4260E-04
  1.9000E+00  2.8310E-04
  1.9500E+00  2.4057E-04
  2.0000E+00  2.1960E-04
  2.0500E+00  1.8210E-04
  2.1000E+00  1.5698E-04
  2.1500E+00  1.2718E-04
  2.2000E+00  1.0856E-04
  2.2500E+00  9.4743E-05
  2.3000E+00  8.2427E-05
  2.3500E+00  7.0586E-05
  2.4000E+00  6.7657E-05
  2.4500E+00  5.4675E-05
  2.5000E+00  5.0678E-05
  2.5500E+00  4.5683E-05
  2.6000E+00  4.1527E-05
  2.6500E+00  3.5194E-05
  2.7000E+00  3.4950E-05
  2.7500E+00  3.1646E-05
