# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:09:15 2019
# diag: zonal, run(s): act, time window: 0-7.74(48 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.2/ITGa_NL/omt6/
# normalization: R_0
#
# avg. values:
# shearing rate: 2.3869836
#  shear. ra
  2.2622E+00  1.7448E+00  7.6960E-01  5.2654E-01  7.7127E-01  5.0489E-01  4.5750E-01  9.8301E-01  1.1502E+00  8.8487E-01  4.5085E-01  5.2309E-01  7.8430E-01  8.2929E-01  8.4610E-01  1.0652E+00  1.3466E+00  1.5698E+00  1.7401E+00  1.7808E+00  1.7927E+00  2.0087E+00  2.3054E+00  2.4892E+00  2.8423E+00  3.1380E+00  3.4360E+00  3.8440E+00  4.2865E+00  4.6661E+00  4.8171E+00  4.8141E+00  5.0372E+00  5.4577E+00  5.8644E+00  6.0507E+00  6.1874E+00  6.1945E+00  6.1565E+00  6.0631E+00  5.9184E+00  5.7566E+00  5.6608E+00  5.5824E+00  5.5425E+00  5.5920E+00  5.6895E+00  5.9183E+00


# averaged over time
#  kx         shear. rat
  4.9009E-02  3.0952E-01
  9.8018E-02  2.0674E-01
  1.4703E-01  2.0064E-01
  1.9604E-01  2.0035E-01
  2.4504E-01  1.9053E-01
  2.9405E-01  2.1696E-01
  3.4306E-01  3.3978E-01
  3.9207E-01  3.5646E-01
  4.4108E-01  3.6516E-01
  4.9009E-01  4.5065E-01
  5.3910E-01  3.8287E-01
  5.8811E-01  3.3266E-01
  6.3712E-01  3.1611E-01
  6.8612E-01  1.8018E-01
  7.3513E-01  2.5039E-01
  7.8414E-01  3.1880E-01
  8.3315E-01  3.2945E-01
  8.8216E-01  2.2549E-01
  9.3117E-01  2.2976E-01
  9.8018E-01  2.2629E-01
  1.0292E+00  2.0820E-01
  1.0782E+00  2.3525E-01
  1.1272E+00  2.3468E-01
  1.1762E+00  1.7581E-01
  1.2252E+00  1.7156E-01
  1.2742E+00  2.3120E-01
  1.3232E+00  1.5988E-01
  1.3722E+00  1.1592E-01
  1.4213E+00  1.4588E-01
  1.4703E+00  1.3099E-01
  1.5193E+00  9.8954E-02
  1.5683E+00  8.5974E-02
  1.6173E+00  1.3087E-01
  1.6663E+00  1.0540E-01
  1.7153E+00  7.9495E-02
  1.7643E+00  6.8252E-02
  1.8133E+00  9.9361E-02
  1.8623E+00  7.9550E-02
  1.9113E+00  8.2731E-02
  1.9604E+00  6.7699E-02
  2.0094E+00  7.1842E-02
  2.0584E+00  5.0954E-02
  2.1074E+00  6.6517E-02
  2.1564E+00  6.5705E-02
  2.2054E+00  4.1206E-02
  2.2544E+00  4.4304E-02
  2.3034E+00  4.5563E-02
  2.3524E+00  4.7662E-02
  2.4014E+00  4.4080E-02
  2.4504E+00  3.5135E-02
  2.4995E+00  3.2089E-02
  2.5485E+00  4.4340E-02
  2.5975E+00  3.5291E-02
  2.6465E+00  3.3858E-02
  2.6955E+00  3.2249E-02
  2.7445E+00  3.0651E-02
  2.7935E+00  2.4957E-02
  2.8425E+00  2.4759E-02
  2.8915E+00  2.2929E-02
  2.9405E+00  2.5692E-02
  2.9895E+00  2.2002E-02
  3.0386E+00  2.3882E-02
  3.0876E+00  2.4893E-02
  3.1366E+00  1.6909E-02
  3.1856E+00  2.0149E-02
  3.2346E+00  1.8906E-02
  3.2836E+00  1.6898E-02
  3.3326E+00  1.8949E-02
  3.3816E+00  1.7736E-02
  3.4306E+00  1.5073E-02
  3.4796E+00  1.8384E-02
  3.5286E+00  1.5484E-02
  3.5776E+00  1.8375E-02
  3.6267E+00  1.6136E-02
  3.6757E+00  1.8731E-02
  3.7247E+00  1.4901E-02
  3.7737E+00  1.3160E-02
  3.8227E+00  1.4197E-02
  3.8717E+00  1.4325E-02
  3.9207E+00  1.6592E-02
  3.9697E+00  1.4859E-02
  4.0187E+00  1.4955E-02
  4.0677E+00  1.5117E-02
  4.1167E+00  1.4756E-02
  4.1658E+00  1.0369E-02
  4.2148E+00  1.7194E-02
  4.2638E+00  1.4061E-02
  4.3128E+00  1.4592E-02
  4.3618E+00  1.4211E-02
  4.4108E+00  1.4979E-02
  4.4598E+00  1.1568E-02
  4.5088E+00  1.0722E-02
  4.5578E+00  1.2246E-02
  4.6068E+00  1.0889E-02
  4.6558E+00  1.3428E-02
  4.7049E+00  1.3514E-02
  4.7539E+00  1.1094E-02
  4.8029E+00  1.5817E-02
  4.8519E+00  1.4378E-02
  4.9009E+00  1.0811E-02
  4.9499E+00  1.0633E-02
  4.9989E+00  1.1850E-02
  5.0479E+00  9.7948E-03
  5.0969E+00  1.1259E-02
  5.1459E+00  1.0722E-02
  5.1949E+00  1.1761E-02
  5.2440E+00  1.1107E-02
  5.2930E+00  1.2734E-02
  5.3420E+00  1.1331E-02
  5.3910E+00  9.8428E-03
  5.4400E+00  1.2306E-02
  5.4890E+00  1.0183E-02
  5.5380E+00  1.1890E-02
  5.5870E+00  1.3548E-02
  5.6360E+00  1.1833E-02
  5.6850E+00  1.0686E-02
  5.7340E+00  1.0535E-02
  5.7830E+00  1.2931E-02
  5.8321E+00  1.0521E-02
  5.8811E+00  9.6592E-03
  5.9301E+00  1.2543E-02
  5.9791E+00  1.1777E-02
  6.0281E+00  1.0481E-02
  6.0771E+00  1.3507E-02
  6.1261E+00  1.2231E-02
  6.1751E+00  1.3210E-02
  6.2241E+00  1.2168E-02
  6.2731E+00  1.1771E-02
  6.3221E+00  1.1117E-02
  6.3712E+00  1.2254E-02
  6.4202E+00  9.8311E-03
  6.4692E+00  1.3238E-02
  6.5182E+00  1.2614E-02
  6.5672E+00  1.2930E-02
  6.6162E+00  1.0111E-02
  6.6652E+00  1.1793E-02
  6.7142E+00  1.1562E-02
  6.7632E+00  1.1677E-02
  6.8122E+00  1.2482E-02
  6.8612E+00  1.1603E-02
  6.9103E+00  1.3268E-02
  6.9593E+00  1.0153E-02
  7.0083E+00  1.2609E-02
  7.0573E+00  1.0015E-02
  7.1063E+00  1.2943E-02
  7.1553E+00  1.2430E-02
  7.2043E+00  1.1661E-02
  7.2533E+00  1.3369E-02
  7.3023E+00  1.1918E-02
  7.3513E+00  1.0351E-02
  7.4003E+00  1.0577E-02
  7.4494E+00  1.1450E-02
  7.4984E+00  1.3418E-02
  7.5474E+00  1.0649E-02
  7.5964E+00  1.2073E-02
  7.6454E+00  1.1400E-02
  7.6944E+00  1.0487E-02
  7.7434E+00  1.3084E-02
  7.7924E+00  1.1620E-02
  7.8414E+00  1.4642E-02
  7.8904E+00  9.8845E-03
  7.9394E+00  1.4314E-02
  7.9884E+00  1.2101E-02
  8.0375E+00  1.3073E-02
  8.0865E+00  1.0234E-02
  8.1355E+00  1.1930E-02
  8.1845E+00  1.1502E-02
  8.2335E+00  1.3939E-02
  8.2825E+00  1.3411E-02
  8.3315E+00  1.2089E-02
  8.3805E+00  1.2625E-02
  8.4295E+00  1.2743E-02
  8.4785E+00  1.3296E-02
  8.5275E+00  1.3971E-02
  8.5766E+00  1.0936E-02
  8.6256E+00  1.4357E-02
  8.6746E+00  1.2989E-02
  8.7236E+00  1.0443E-02
  8.7726E+00  1.6700E-02
  8.8216E+00  1.4689E-02
  8.8706E+00  1.5392E-02
  8.9196E+00  1.2863E-02
  8.9686E+00  1.1043E-02
  9.0176E+00  1.2618E-02
  9.0666E+00  1.2693E-02
  9.1157E+00  1.2093E-02
  9.1647E+00  1.4873E-02
  9.2137E+00  1.2363E-02
  9.2627E+00  1.4653E-02
  9.3117E+00  1.4009E-02
  9.3607E+00  1.4872E-02
