# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:09:15 2019
# diag: zprofile, run(s): act, time window: 0-7.74(48 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.2/ITGa_NL/omt6/
# normalization: R_0
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  1.9664E+02  1.9664E+02
 -3.0925E+00  0.0000E+00  1.9661E+02  1.9661E+02
 -3.0434E+00  0.0000E+00  1.9658E+02  1.9658E+02
 -2.9943E+00  0.0000E+00  1.9656E+02  1.9656E+02
 -2.9452E+00  0.0000E+00  1.9653E+02  1.9653E+02
 -2.8962E+00  0.0000E+00  1.9651E+02  1.9651E+02
 -2.8471E+00  0.0000E+00  1.9648E+02  1.9648E+02
 -2.7980E+00  0.0000E+00  1.9646E+02  1.9646E+02
 -2.7489E+00  0.0000E+00  1.9644E+02  1.9644E+02
 -2.6998E+00  0.0000E+00  1.9642E+02  1.9642E+02
 -2.6507E+00  0.0000E+00  1.9640E+02  1.9640E+02
 -2.6016E+00  0.0000E+00  1.9639E+02  1.9639E+02
 -2.5525E+00  0.0000E+00  1.9637E+02  1.9637E+02
 -2.5035E+00  0.0000E+00  1.9636E+02  1.9636E+02
 -2.4544E+00  0.0000E+00  1.9635E+02  1.9635E+02
 -2.4053E+00  0.0000E+00  1.9634E+02  1.9634E+02
 -2.3562E+00  0.0000E+00  1.9634E+02  1.9634E+02
 -2.3071E+00  0.0000E+00  1.9634E+02  1.9634E+02
 -2.2580E+00  0.0000E+00  1.9635E+02  1.9635E+02
 -2.2089E+00  0.0000E+00  1.9636E+02  1.9636E+02
 -2.1598E+00  0.0000E+00  1.9638E+02  1.9638E+02
 -2.1108E+00  0.0000E+00  1.9640E+02  1.9640E+02
 -2.0617E+00  0.0000E+00  1.9642E+02  1.9642E+02
 -2.0126E+00  0.0000E+00  1.9645E+02  1.9645E+02
 -1.9635E+00  0.0000E+00  1.9649E+02  1.9649E+02
 -1.9144E+00  0.0000E+00  1.9652E+02  1.9652E+02
 -1.8653E+00  0.0000E+00  1.9657E+02  1.9657E+02
 -1.8162E+00  0.0000E+00  1.9662E+02  1.9662E+02
 -1.7671E+00  0.0000E+00  1.9667E+02  1.9667E+02
 -1.7181E+00  0.0000E+00  1.9674E+02  1.9674E+02
 -1.6690E+00  0.0000E+00  1.9681E+02  1.9681E+02
 -1.6199E+00  0.0000E+00  1.9688E+02  1.9688E+02
 -1.5708E+00  0.0000E+00  1.9696E+02  1.9696E+02
 -1.5217E+00  0.0000E+00  1.9704E+02  1.9704E+02
 -1.4726E+00  0.0000E+00  1.9713E+02  1.9713E+02
 -1.4235E+00  0.0000E+00  1.9722E+02  1.9722E+02
 -1.3744E+00  0.0000E+00  1.9731E+02  1.9731E+02
 -1.3254E+00  0.0000E+00  1.9741E+02  1.9741E+02
 -1.2763E+00  0.0000E+00  1.9750E+02  1.9750E+02
 -1.2272E+00  0.0000E+00  1.9761E+02  1.9761E+02
 -1.1781E+00  0.0000E+00  1.9770E+02  1.9770E+02
 -1.1290E+00  0.0000E+00  1.9781E+02  1.9781E+02
 -1.0799E+00  0.0000E+00  1.9791E+02  1.9791E+02
 -1.0308E+00  0.0000E+00  1.9802E+02  1.9802E+02
 -9.8175E-01  0.0000E+00  1.9812E+02  1.9812E+02
 -9.3266E-01  0.0000E+00  1.9823E+02  1.9823E+02
 -8.8357E-01  0.0000E+00  1.9833E+02  1.9833E+02
 -8.3449E-01  0.0000E+00  1.9844E+02  1.9844E+02
 -7.8540E-01  0.0000E+00  1.9855E+02  1.9855E+02
 -7.3631E-01  0.0000E+00  1.9866E+02  1.9866E+02
 -6.8722E-01  0.0000E+00  1.9878E+02  1.9878E+02
 -6.3814E-01  0.0000E+00  1.9890E+02  1.9890E+02
 -5.8905E-01  0.0000E+00  1.9902E+02  1.9902E+02
 -5.3996E-01  0.0000E+00  1.9915E+02  1.9915E+02
 -4.9087E-01  0.0000E+00  1.9927E+02  1.9927E+02
 -4.4179E-01  0.0000E+00  1.9940E+02  1.9940E+02
 -3.9270E-01  0.0000E+00  1.9952E+02  1.9952E+02
 -3.4361E-01  0.0000E+00  1.9964E+02  1.9964E+02
 -2.9452E-01  0.0000E+00  1.9975E+02  1.9975E+02
 -2.4544E-01  0.0000E+00  1.9985E+02  1.9985E+02
 -1.9635E-01  0.0000E+00  1.9994E+02  1.9994E+02
 -1.4726E-01  0.0000E+00  2.0002E+02  2.0002E+02
 -9.8175E-02  0.0000E+00  2.0009E+02  2.0009E+02
 -4.9087E-02  0.0000E+00  2.0016E+02  2.0016E+02
  0.0000E+00  0.0000E+00  2.0022E+02  2.0022E+02
  4.9087E-02  0.0000E+00  2.0028E+02  2.0028E+02
  9.8175E-02  0.0000E+00  2.0033E+02  2.0033E+02
  1.4726E-01  0.0000E+00  2.0037E+02  2.0037E+02
  1.9635E-01  0.0000E+00  2.0041E+02  2.0041E+02
  2.4544E-01  0.0000E+00  2.0044E+02  2.0044E+02
  2.9452E-01  0.0000E+00  2.0046E+02  2.0046E+02
  3.4361E-01  0.0000E+00  2.0046E+02  2.0046E+02
  3.9270E-01  0.0000E+00  2.0046E+02  2.0046E+02
  4.4179E-01  0.0000E+00  2.0044E+02  2.0044E+02
  4.9087E-01  0.0000E+00  2.0043E+02  2.0043E+02
  5.3996E-01  0.0000E+00  2.0042E+02  2.0042E+02
  5.8905E-01  0.0000E+00  2.0039E+02  2.0039E+02
  6.3814E-01  0.0000E+00  2.0037E+02  2.0037E+02
  6.8722E-01  0.0000E+00  2.0032E+02  2.0032E+02
  7.3631E-01  0.0000E+00  2.0027E+02  2.0027E+02
  7.8540E-01  0.0000E+00  2.0021E+02  2.0021E+02
  8.3449E-01  0.0000E+00  2.0014E+02  2.0014E+02
  8.8357E-01  0.0000E+00  2.0006E+02  2.0006E+02
  9.3266E-01  0.0000E+00  1.9998E+02  1.9998E+02
  9.8175E-01  0.0000E+00  1.9989E+02  1.9989E+02
  1.0308E+00  0.0000E+00  1.9982E+02  1.9982E+02
  1.0799E+00  0.0000E+00  1.9973E+02  1.9973E+02
  1.1290E+00  0.0000E+00  1.9965E+02  1.9965E+02
  1.1781E+00  0.0000E+00  1.9958E+02  1.9958E+02
  1.2272E+00  0.0000E+00  1.9950E+02  1.9950E+02
  1.2763E+00  0.0000E+00  1.9943E+02  1.9943E+02
  1.3254E+00  0.0000E+00  1.9934E+02  1.9934E+02
  1.3744E+00  0.0000E+00  1.9924E+02  1.9924E+02
  1.4235E+00  0.0000E+00  1.9914E+02  1.9914E+02
  1.4726E+00  0.0000E+00  1.9903E+02  1.9903E+02
  1.5217E+00  0.0000E+00  1.9892E+02  1.9892E+02
  1.5708E+00  0.0000E+00  1.9882E+02  1.9882E+02
  1.6199E+00  0.0000E+00  1.9871E+02  1.9871E+02
  1.6690E+00  0.0000E+00  1.9860E+02  1.9860E+02
  1.7181E+00  0.0000E+00  1.9850E+02  1.9850E+02
  1.7671E+00  0.0000E+00  1.9839E+02  1.9839E+02
  1.8162E+00  0.0000E+00  1.9829E+02  1.9829E+02
  1.8653E+00  0.0000E+00  1.9819E+02  1.9819E+02
  1.9144E+00  0.0000E+00  1.9810E+02  1.9810E+02
  1.9635E+00  0.0000E+00  1.9800E+02  1.9800E+02
  2.0126E+00  0.0000E+00  1.9792E+02  1.9792E+02
  2.0617E+00  0.0000E+00  1.9784E+02  1.9784E+02
  2.1108E+00  0.0000E+00  1.9775E+02  1.9775E+02
  2.1598E+00  0.0000E+00  1.9766E+02  1.9766E+02
  2.2089E+00  0.0000E+00  1.9758E+02  1.9758E+02
  2.2580E+00  0.0000E+00  1.9750E+02  1.9750E+02
  2.3071E+00  0.0000E+00  1.9743E+02  1.9743E+02
