# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan 24 15:58:15 2019
# diag: fluxspectra, run(s): act, time window: 0-30(216 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.2/ITGa_NL/omt6/
# normalization: R_0
#
# Q*dVdx =   3.9124E+01 MW
# G*dVdx =   4.1721E-10 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00  1.8531E-10  2.6410E+01
  4.9009E-02 -9.7968E-10  5.2841E+01
  9.8018E-02  1.4894E-10  3.8005E+01
  1.4703E-01  7.1945E-10  3.4676E+01
  1.9604E-01 -4.8215E-10  3.1163E+01
  2.4504E-01  6.5136E-11  2.4229E+01
  2.9405E-01  5.2736E-10  1.9097E+01
  3.4306E-01 -4.2446E-10  1.6472E+01
  3.9207E-01 -2.3043E-10  1.2781E+01
  4.4108E-01  5.6471E-10  1.0603E+01
  4.9009E-01 -6.4814E-11  9.1748E+00
  5.3910E-01  1.6967E-10  7.1615E+00
  5.8811E-01  1.6448E-10  6.1480E+00
  6.3712E-01  8.5341E-11  5.0182E+00
  6.8612E-01  4.4249E-10  4.1608E+00
  7.3513E-01 -1.1552E-10  3.5444E+00
  7.8414E-01 -1.3234E-10  3.0854E+00
  8.3315E-01  6.4001E-11  2.6692E+00
  8.8216E-01  1.7689E-10  2.3874E+00
  9.3117E-01 -2.7065E-11  2.1684E+00
  9.8018E-01  8.8325E-11  1.9118E+00
  1.0292E+00 -1.4290E-11  1.6558E+00
  1.0782E+00  1.2792E-10  1.5088E+00
  1.1272E+00  1.3667E-10  1.3335E+00
  1.1762E+00  5.7374E-11  1.2407E+00
  1.2252E+00  3.4673E-11  1.1067E+00
  1.2742E+00 -1.1411E-10  9.8450E-01
  1.3232E+00  4.0475E-12  9.0419E-01
  1.3722E+00 -4.1202E-12  8.3226E-01
  1.4213E+00  1.1370E-10  7.5812E-01
  1.4703E+00 -1.0311E-10  6.9525E-01
  1.5193E+00 -4.5295E-11  6.3120E-01
  1.5683E+00  1.9792E-11  5.7859E-01
  1.6173E+00  4.5938E-11  5.2925E-01
  1.6663E+00  2.2136E-11  4.9505E-01
  1.7153E+00  2.2766E-11  4.5219E-01
  1.7643E+00 -8.4418E-11  4.1141E-01
  1.8133E+00 -5.8214E-11  3.7853E-01
  1.8623E+00 -8.7975E-12  3.5016E-01
  1.9113E+00  1.8657E-11  3.2186E-01
  1.9604E+00 -6.4460E-12  2.9725E-01
  2.0094E+00  3.0849E-11  2.7894E-01
  2.0584E+00  1.7166E-11  2.5617E-01
  2.1074E+00  2.9715E-11  2.3758E-01
  2.1564E+00 -1.1380E-11  2.2033E-01
  2.2054E+00 -9.5538E-12  2.0510E-01
  2.2544E+00 -3.5837E-11  1.8938E-01
  2.3034E+00  3.4349E-11  1.7618E-01
  2.3524E+00  8.3710E-12  1.6380E-01
