# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:22:02 2019
# diag: fluxspectra, run(s): act, time window: 0-8.5(121 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt10/
# normalization: R_0
#
# Q*dVdx =   9.4149E+01 MW
# G*dVdx =   1.5172E-09 MW/keV
# P*dVdx =   3.0207E+00 J
#  kx         G_es,p      Q_es,p      P_es,p    
  0.0000E+00 -2.6742E-09  6.5208E+01  2.7649E-01
  4.9009E-02  6.8040E-09  1.1370E+02  1.4652E+00
  9.8018E-02  3.7054E-09  1.0115E+02  1.2276E+00
  1.4703E-01 -1.4274E-09  8.4984E+01  3.8246E-01
  1.9604E-01  1.2734E-09  7.0528E+01  2.0473E-02
  2.4504E-01 -6.0901E-10  5.4252E+01  5.0429E-01
  2.9405E-01 -4.6658E-10  4.2112E+01 -9.1741E-03
  3.4306E-01 -6.0941E-10  3.5857E+01  3.3881E-01
  3.9207E-01 -1.4337E-09  2.6246E+01 -7.7121E-02
  4.4108E-01  1.1420E-09  2.2260E+01  1.8848E-02
  4.9009E-01 -1.4704E-09  1.6562E+01 -2.1716E-01
  5.3910E-01  1.5909E-09  1.3944E+01 -6.5689E-03
  5.8811E-01 -3.0494E-10  1.1786E+01 -4.2893E-02
  6.3712E-01 -2.6570E-10  1.0094E+01 -1.8729E-01
  6.8612E-01 -2.5057E-10  8.5687E+00 -9.8677E-02
  7.3513E-01 -1.4162E-09  7.2487E+00 -1.2731E-01
  7.8414E-01  1.1777E-09  6.3386E+00 -5.9668E-02
  8.3315E-01  7.7955E-10  5.6836E+00 -1.2391E-01
  8.8216E-01  2.2220E-10  5.0257E+00 -6.7683E-02
  9.3117E-01  1.3247E-10  4.4664E+00  1.9865E-02
  9.8018E-01  1.0227E-10  4.0379E+00  8.6272E-03
  1.0292E+00 -9.0695E-11  3.7156E+00  8.6076E-03
  1.0782E+00 -9.2438E-11  3.5336E+00 -1.1827E-02
  1.1272E+00  3.8674E-10  3.2571E+00 -9.0538E-03
  1.1762E+00 -1.0698E-10  3.0526E+00 -4.4635E-02
  1.2252E+00 -5.9621E-10  2.8675E+00 -3.3242E-02
  1.2742E+00 -3.4728E-11  2.7563E+00 -2.4863E-02
  1.3232E+00  2.3501E-10  2.5573E+00 -9.0244E-03
  1.3722E+00  1.3786E-10  2.4655E+00  6.6214E-03
  1.4213E+00  2.5514E-10  2.3123E+00 -1.5691E-02
  1.4703E+00  6.2252E-13  2.1978E+00 -4.9179E-03
  1.5193E+00 -6.5827E-11  2.1121E+00  2.0051E-03
  1.5683E+00 -6.5123E-11  2.0101E+00 -5.3630E-03
  1.6173E+00  3.2430E-11  1.9202E+00 -3.5912E-03
  1.6663E+00 -6.7621E-11  1.8098E+00 -2.1410E-03
  1.7153E+00 -2.4066E-11  1.7628E+00 -4.8541E-03
  1.7643E+00 -1.4660E-10  1.6980E+00 -4.0836E-03
  1.8133E+00 -8.6671E-11  1.6133E+00 -5.0860E-03
  1.8623E+00 -7.2823E-11  1.5471E+00 -1.1718E-03
  1.9113E+00  1.3604E-11  1.4948E+00 -7.1020E-03
  1.9604E+00  4.7784E-12  1.4194E+00 -4.0955E-03
  2.0094E+00 -5.7051E-11  1.3681E+00 -3.7045E-03
  2.0584E+00 -1.1584E-10  1.3304E+00 -6.4006E-03
  2.1074E+00  2.5331E-11  1.2757E+00  1.4974E-03
  2.1564E+00  8.4042E-12  1.2239E+00 -2.5722E-04
  2.2054E+00  1.1981E-10  1.1874E+00 -5.1696E-03
  2.2544E+00 -1.3976E-10  1.1386E+00 -3.7680E-03
  2.3034E+00  1.9798E-11  1.1071E+00 -2.0240E-03
