# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:19:03 2019
# diag: nrgsummary, run(s): act, time window: 0-8.5(1 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt10/
# normalization: R_0
#
#  t          G_tot       Q_tot       P_tot     
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.2000E-02  1.1026E-18  2.0589E+00 -1.7237E-03
  1.2400E-01  4.6867E-18  3.8486E+00 -1.1839E-02
  1.8600E-01  1.3678E-17  5.1885E+00 -2.8059E-02
  2.2077E-01  1.4875E-16  2.9904E+00  7.2734E-01
  2.2832E-01  1.2799E-15  2.8442E+00  1.8477E+00
  2.3587E-01 -8.6040E-16  2.6141E+00  3.4339E+00
  2.4342E-01 -3.9123E-16  4.1963E+00  3.8480E+00
  2.5097E-01  1.1203E-16  7.3994E+00  2.6666E+00
  2.5852E-01  4.3125E-17  8.5981E+00  1.9467E-01
  2.6607E-01  1.1370E-15  1.1118E+01 -8.5200E-01
  2.7362E-01  2.7336E-16  1.8413E+01  4.6888E+00
  2.8012E-01  2.6448E-16  2.5168E+01  1.8086E+01
  2.8517E-01  4.3374E-16  2.7693E+01  2.7470E+01
  2.8973E-01 -1.9274E-17  2.9381E+01  3.1693E+01
  2.9430E-01  1.1698E-16  3.2742E+01  2.6853E+01
  2.9886E-01  6.4869E-16  3.7128E+01  1.1346E+01
  3.0342E-01 -3.6122E-16  4.3326E+01 -4.7413E+00
  3.0788E-01  3.3422E-16  4.8808E+01 -3.0722E+00
  3.1150E-01  1.8171E-16  5.3998E+01  1.4000E+01
  3.1511E-01  7.5366E-16  5.9438E+01  2.8459E+01
  3.1872E-01  4.9013E-17  6.5432E+01  3.2490E+01
  3.2175E-01 -1.2040E-16  7.2096E+01  3.0541E+01
  3.2458E-01  5.5552E-17  7.5410E+01  2.6458E+01
  3.2686E-01  2.3379E-16  7.6262E+01  1.9954E+01
  3.2914E-01  8.6354E-17  7.7792E+01  1.6333E+01
  3.3142E-01  1.8490E-16  7.8581E+01  1.4814E+01
  3.3370E-01  8.0096E-17  8.0683E+01  1.3701E+01
  3.3598E-01 -2.9184E-16  8.1962E+01  1.3953E+01
  3.3826E-01 -1.1638E-16  7.8496E+01  1.2345E+01
  3.4054E-01 -3.1637E-16  7.7960E+01  1.3963E+01
  3.4282E-01  3.1477E-16  8.1402E+01  1.4560E+01
  3.4511E-01  1.1971E-16  8.2973E+01  1.4110E+01
  3.4739E-01  1.4423E-16  8.3266E+01  1.4844E+01
  3.4967E-01 -2.1114E-16  8.3163E+01  1.7112E+01
  3.5195E-01 -1.5456E-16  8.2416E+01  1.6192E+01
  3.5423E-01 -6.1282E-17  8.2542E+01  1.5423E+01
  3.5651E-01 -1.3367E-16  8.2318E+01  1.3877E+01
  3.5879E-01  1.4184E-16  8.1085E+01  8.8229E+00
  3.6107E-01 -3.6269E-17  8.0146E+01  6.5040E+00
  3.6335E-01 -4.3821E-17  7.9515E+01  7.1678E+00
  3.6563E-01 -1.2841E-16  8.0928E+01  7.0285E+00
  3.6791E-01 -2.4328E-17  8.3238E+01  6.7698E+00
  3.7019E-01  6.3176E-17  8.4374E+01  2.2776E+00
  3.7247E-01 -8.9477E-17  8.1920E+01 -7.1341E+00
  3.7475E-01  1.0007E-16  7.9824E+01 -1.2969E+01
  3.7703E-01 -8.7710E-17  7.9003E+01 -9.5586E+00
  3.7931E-01 -1.2167E-16  8.0267E+01 -2.7218E-01
  3.8159E-01 -2.4021E-16  8.1890E+01  9.0186E+00
  3.8387E-01  4.7778E-17  8.3646E+01  1.9083E+01
  3.8615E-01  1.3174E-16  8.4734E+01  2.2528E+01
  3.8843E-01 -1.1128E-16  8.4571E+01  1.5034E+01
  3.9071E-01 -4.4510E-17  8.4147E+01  5.3806E+00
  3.9299E-01  1.2029E-16  8.3725E+01  8.1218E-01
  3.9527E-01 -1.0051E-16  8.3962E+01  3.0254E+00
  3.9755E-01 -7.3149E-17  8.5603E+01  6.3488E+00
  3.9983E-01 -1.0176E-16  8.6214E+01  3.7768E+00
  4.0211E-01  4.5386E-17  8.5224E+01 -7.8605E-02
  4.0439E-01 -1.0158E-16  8.6626E+01 -2.4976E+00
  4.0668E-01 -1.7411E-17  8.9227E+01 -4.4010E+00
  4.0896E-01 -5.2909E-17  9.1187E+01 -5.5814E+00
  4.1124E-01 -1.2484E-16  9.0736E+01 -2.7066E+00
  4.1352E-01 -9.0690E-17  8.9587E+01  1.2405E+00
  4.1580E-01  9.7782E-17  8.8750E+01  3.0880E+00
  4.1808E-01 -1.3252E-16  8.8190E+01  2.1886E+00
  4.2036E-01 -5.4202E-17  8.9523E+01 -1.8939E+00
  4.2264E-01  8.1594E-17  8.9494E+01 -6.9698E+00
  4.2492E-01 -4.7437E-17  9.1264E+01 -9.1837E+00
  4.2720E-01  3.1718E-17  9.3158E+01 -6.3827E+00
  4.2948E-01  6.8682E-18  9.5224E+01 -3.4238E+00
  4.3176E-01 -8.3643E-17  9.7555E+01 -6.0642E+00
  4.3404E-01  1.0546E-16  9.7822E+01 -9.2888E+00
  4.3632E-01  1.1258E-16  9.6166E+01 -9.3106E+00
  4.3860E-01 -6.7539E-17  9.4315E+01 -6.7773E+00
  4.4088E-01 -9.1891E-17  9.3795E+01 -3.0000E+00
  4.4316E-01  4.1477E-17  9.5157E+01  4.9179E-01
  4.4544E-01 -4.2021E-17  9.6403E+01  2.7190E+00
  4.4772E-01 -1.1115E-16  9.7091E+01  2.8371E+00
  4.5000E-01 -2.6323E-17  9.8411E+01  1.2024E+00
  4.5228E-01 -4.3458E-17  1.0015E+02  4.8349E-02
  4.5456E-01 -2.2659E-17  1.0061E+02  1.0020E+00
  4.5684E-01 -7.3757E-17  1.0222E+02  1.3424E+00
