# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:22:04 2019
# diag: zonal, run(s): act, time window: 0-8.5(121 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt10/
# normalization: R_0
#
# avg. values:
# shearing rate: 8.3122696
#  shear. ra
  2.2622E+00  1.8743E+00  3.1165E+00  4.1375E+00  4.5779E+00  4.5616E+00  6.6703E+00  5.0209E+00  7.0423E+00  7.0782E+00  7.5819E+00  6.9052E+00  7.8010E+00  8.3991E+00  8.9423E+00  1.0006E+01  1.0382E+01  1.0133E+01  1.2112E+01  1.1900E+01  1.1405E+01  1.2036E+01  1.0934E+01  1.0182E+01  1.0009E+01  1.0915E+01  1.1780E+01  1.2711E+01  1.0558E+01  1.0552E+01  1.0508E+01  1.0157E+01  9.2250E+00  9.3568E+00  9.1759E+00  1.0356E+01  1.0713E+01  9.8650E+00  9.6686E+00  7.9833E+00  9.5796E+00  9.3103E+00  9.9474E+00  8.7390E+00  9.4524E+00  8.1734E+00  8.5656E+00  8.3354E+00  8.8850E+00  7.6217E+00  8.6880E+00  8.0781E+00  8.0801E+00  7.3360E+00  7.5308E+00  6.1436E+00  6.2025E+00  6.9430E+00  7.0342E+00  5.7733E+00  5.7580E+00  5.3251E+00  4.6631E+00  4.5286E+00  4.2634E+00  4.0196E+00  3.9211E+00  3.5468E+00  3.8535E+00  3.4179E+00  3.5748E+00  3.7077E+00  3.5832E+00  3.9093E+00  4.2828E+00  4.4643E+00  4.4977E+00  4.6115E+00  4.9044E+00  5.3874E+00  5.6377E+00  5.7878E+00  6.0391E+00  6.5466E+00  7.1496E+00  8.3043E+00  9.4099E+00  1.0267E+01  1.1107E+01  1.1511E+01  1.1830E+01  1.2189E+01  1.2417E+01  1.2402E+01  1.2236E+01  1.2115E+01  1.2311E+01  1.2890E+01  1.3499E+01  1.4106E+01  1.4541E+01  1.4724E+01  1.5127E+01  1.5542E+01  1.5300E+01  1.4299E+01  1.3113E+01  1.2218E+01  1.1615E+01  1.1472E+01  1.1672E+01  1.2054E+01  1.2388E+01  1.2749E+01  1.3215E+01  1.3432E+01  1.3215E+01  1.3218E+01  1.3216E+01  1.2781E+01  1.1940E+01


# averaged over time
#  kx         shear. rat
  4.9009E-02  4.5756E-01
  9.8018E-02  5.5340E-01
  1.4703E-01  3.7856E-01
  1.9604E-01  5.4721E-01
  2.4504E-01  5.2914E-01
  2.9405E-01  4.5073E-01
  3.4306E-01  1.0268E+00
  3.9207E-01  7.3542E-01
  4.4108E-01  1.1528E+00
  4.9009E-01  9.6401E-01
  5.3910E-01  7.0058E-01
  5.8811E-01  1.1217E+00
  6.3712E-01  6.6985E-01
  6.8612E-01  6.3325E-01
  7.3513E-01  5.9171E-01
  7.8414E-01  3.7825E-01
  8.3315E-01  7.3406E-01
  8.8216E-01  6.3548E-01
  9.3117E-01  6.9761E-01
  9.8018E-01  6.1042E-01
  1.0292E+00  5.2304E-01
  1.0782E+00  4.9490E-01
  1.1272E+00  6.0940E-01
  1.1762E+00  6.5184E-01
  1.2252E+00  5.8651E-01
  1.2742E+00  3.9263E-01
  1.3232E+00  5.2625E-01
  1.3722E+00  4.4030E-01
  1.4213E+00  5.6349E-01
  1.4703E+00  4.3427E-01
  1.5193E+00  3.0037E-01
  1.5683E+00  3.6854E-01
  1.6173E+00  3.6425E-01
  1.6663E+00  3.2033E-01
  1.7153E+00  3.0413E-01
  1.7643E+00  2.9886E-01
  1.8133E+00  2.8423E-01
  1.8623E+00  2.1380E-01
  1.9113E+00  1.9178E-01
  1.9604E+00  2.1234E-01
  2.0094E+00  1.6863E-01
  2.0584E+00  1.4163E-01
  2.1074E+00  1.8223E-01
  2.1564E+00  1.1824E-01
  2.2054E+00  1.3212E-01
  2.2544E+00  1.2831E-01
  2.3034E+00  1.3413E-01
  2.3524E+00  1.3618E-01
  2.4014E+00  1.1589E-01
  2.4504E+00  1.2287E-01
  2.4995E+00  1.1899E-01
  2.5485E+00  1.2303E-01
  2.5975E+00  1.1171E-01
  2.6465E+00  1.1462E-01
  2.6955E+00  9.9771E-02
  2.7445E+00  1.0555E-01
  2.7935E+00  8.6159E-02
  2.8425E+00  8.0501E-02
  2.8915E+00  6.9459E-02
  2.9405E+00  6.8335E-02
  2.9895E+00  7.1946E-02
  3.0386E+00  8.0210E-02
  3.0876E+00  8.6564E-02
  3.1366E+00  9.6919E-02
  3.1856E+00  1.1407E-01
  3.2346E+00  1.1834E-01
  3.2836E+00  1.2171E-01
  3.3326E+00  1.1419E-01
  3.3816E+00  1.0722E-01
  3.4306E+00  1.1679E-01
  3.4796E+00  1.1157E-01
  3.5286E+00  9.7850E-02
  3.5776E+00  9.6067E-02
  3.6267E+00  7.6139E-02
  3.6757E+00  8.0314E-02
  3.7247E+00  8.9804E-02
  3.7737E+00  8.8174E-02
  3.8227E+00  9.3567E-02
  3.8717E+00  1.1606E-01
  3.9207E+00  1.1320E-01
  3.9697E+00  1.2847E-01
  4.0187E+00  1.3684E-01
  4.0677E+00  1.4425E-01
  4.1167E+00  1.3660E-01
  4.1658E+00  1.3753E-01
  4.2148E+00  1.2378E-01
  4.2638E+00  1.2754E-01
  4.3128E+00  1.1365E-01
  4.3618E+00  1.1153E-01
  4.4108E+00  1.0414E-01
  4.4598E+00  1.0708E-01
  4.5088E+00  1.0131E-01
  4.5578E+00  1.1192E-01
  4.6068E+00  1.2072E-01
  4.6558E+00  1.4385E-01
  4.7049E+00  1.4443E-01
  4.7539E+00  1.5955E-01
  4.8029E+00  1.6395E-01
  4.8519E+00  1.6574E-01
  4.9009E+00  1.4504E-01
  4.9499E+00  1.4521E-01
  4.9989E+00  1.4686E-01
  5.0479E+00  1.4449E-01
  5.0969E+00  1.4030E-01
  5.1459E+00  1.3599E-01
  5.1949E+00  1.2554E-01
  5.2440E+00  1.1907E-01
  5.2930E+00  1.2488E-01
  5.3420E+00  1.5234E-01
  5.3910E+00  1.5507E-01
  5.4400E+00  1.6082E-01
  5.4890E+00  1.6940E-01
  5.5380E+00  1.8525E-01
  5.5870E+00  1.8259E-01
  5.6360E+00  2.0496E-01
  5.6850E+00  1.8718E-01
  5.7340E+00  1.7928E-01
  5.7830E+00  1.8314E-01
  5.8321E+00  1.7180E-01
  5.8811E+00  1.8058E-01
  5.9301E+00  1.8947E-01
  5.9791E+00  1.5766E-01
  6.0281E+00  1.5727E-01
  6.0771E+00  1.7471E-01
  6.1261E+00  1.9280E-01
  6.1751E+00  1.9376E-01
  6.2241E+00  1.9975E-01
  6.2731E+00  2.1161E-01
  6.3221E+00  2.1321E-01
  6.3712E+00  2.1889E-01
  6.4202E+00  2.0796E-01
  6.4692E+00  1.9438E-01
  6.5182E+00  2.1230E-01
  6.5672E+00  1.8918E-01
  6.6162E+00  1.8740E-01
  6.6652E+00  1.8748E-01
  6.7142E+00  1.8931E-01
  6.7632E+00  1.9648E-01
  6.8122E+00  2.0861E-01
  6.8612E+00  1.8985E-01
  6.9103E+00  2.1892E-01
  6.9593E+00  2.2117E-01
  7.0083E+00  2.4382E-01
  7.0573E+00  2.6782E-01
  7.1063E+00  2.7332E-01
  7.1553E+00  2.6471E-01
  7.2043E+00  2.5402E-01
  7.2533E+00  2.2865E-01
  7.3023E+00  2.3787E-01
  7.3513E+00  2.2338E-01
  7.4003E+00  2.6588E-01
  7.4494E+00  2.5409E-01
  7.4984E+00  2.5351E-01
  7.5474E+00  2.4405E-01
  7.5964E+00  2.5770E-01
  7.6454E+00  2.6822E-01
  7.6944E+00  2.5727E-01
  7.7434E+00  2.5827E-01
  7.7924E+00  2.8356E-01
  7.8414E+00  2.7467E-01
  7.8904E+00  2.6694E-01
  7.9394E+00  2.4832E-01
  7.9884E+00  2.6426E-01
  8.0375E+00  2.5576E-01
  8.0865E+00  2.5964E-01
  8.1355E+00  2.5986E-01
  8.1845E+00  2.5440E-01
  8.2335E+00  2.5063E-01
  8.2825E+00  2.5363E-01
  8.3315E+00  2.9286E-01
  8.3805E+00  3.0608E-01
  8.4295E+00  2.8801E-01
  8.4785E+00  2.8724E-01
  8.5275E+00  3.1590E-01
  8.5766E+00  3.4202E-01
  8.6256E+00  3.0601E-01
  8.6746E+00  3.1275E-01
  8.7236E+00  3.3306E-01
  8.7726E+00  3.2208E-01
  8.8216E+00  3.1487E-01
  8.8706E+00  3.1543E-01
  8.9196E+00  3.0260E-01
  8.9686E+00  2.8411E-01
  9.0176E+00  2.7841E-01
  9.0666E+00  3.4042E-01
  9.1157E+00  3.6949E-01
  9.1647E+00  3.5592E-01
  9.2137E+00  4.1970E-01
  9.2627E+00  4.1413E-01
  9.3117E+00  3.8749E-01
  9.3607E+00  4.2445E-01
