# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan 24 15:52:27 2019
# diag: spectra, run(s): act, time window: 0-30(300 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt10/
# normalization: R_0
#
# kxind = 0, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  2.7369E+01
  1.0000E-01  1.2772E+01
  1.5000E-01  9.1608E+00
  2.0000E-01  5.9787E+00
  2.5000E-01  4.8147E+00
  3.0000E-01  4.9153E+00
  3.5000E-01  3.0482E+00
  4.0000E-01  1.7563E+00
  4.5000E-01  1.2602E+00
  5.0000E-01  9.1281E-01
  5.5000E-01  6.9544E-01
  6.0000E-01  5.4487E-01
  6.5000E-01  4.2986E-01
  7.0000E-01  3.4593E-01
  7.5000E-01  2.6393E-01
  8.0000E-01  2.1314E-01
  8.5000E-01  1.6705E-01
  9.0000E-01  1.3427E-01
  9.5000E-01  1.0546E-01
  1.0000E+00  8.2555E-02
  1.0500E+00  6.5238E-02
  1.1000E+00  5.0815E-02
  1.1500E+00  3.9845E-02
  1.2000E+00  3.2152E-02
  1.2500E+00  2.5658E-02
  1.3000E+00  2.0983E-02
  1.3500E+00  1.7070E-02
  1.4000E+00  1.3820E-02
  1.4500E+00  1.1772E-02
  1.5000E+00  9.6937E-03
  1.5500E+00  8.2112E-03
  1.6000E+00  6.8036E-03
  1.6500E+00  5.7618E-03
  1.7000E+00  5.0871E-03
  1.7500E+00  4.2803E-03
  1.8000E+00  3.6205E-03
  1.8500E+00  3.1768E-03
  1.9000E+00  2.7061E-03
  1.9500E+00  2.3808E-03
  2.0000E+00  2.1436E-03
  2.0500E+00  1.9697E-03
  2.1000E+00  1.8366E-03
  2.1500E+00  1.7038E-03
  2.2000E+00  1.6148E-03
  2.2500E+00  1.5166E-03
  2.3000E+00  1.4158E-03
  2.3500E+00  1.3395E-03
  2.4000E+00  1.2505E-03
  2.4500E+00  1.1790E-03
  2.5000E+00  1.0711E-03
  2.5500E+00  1.0133E-03
  2.6000E+00  9.4772E-04
  2.6500E+00  9.1105E-04
  2.7000E+00  8.6423E-04
  2.7500E+00  8.2393E-04
  2.8000E+00  8.1430E-04
  2.8500E+00  8.0463E-04
  2.9000E+00  7.9581E-04
  2.9500E+00  7.9430E-04
  3.0000E+00  8.0726E-04
  3.0500E+00  8.1414E-04
  3.1000E+00  8.3776E-04
  3.1500E+00  9.0524E-04


# kxind = 1, z avg.
# sqrt(sum(<|phi/phi0|^2>)) = 0%
#  ky         phi       
  0.0000E+00  3.0096E+04
  5.0000E-02  7.3566E+01
  1.0000E-01  1.3327E+01
  1.5000E-01  8.0144E+00
  2.0000E-01  6.5700E+00
  2.5000E-01  5.0285E+00
  3.0000E-01  3.8944E+00
  3.5000E-01  2.6360E+00
  4.0000E-01  1.7454E+00
  4.5000E-01  1.2845E+00
  5.0000E-01  9.5945E-01
  5.5000E-01  6.7763E-01
  6.0000E-01  5.5581E-01
  6.5000E-01  4.2801E-01
  7.0000E-01  3.3344E-01
  7.5000E-01  2.6582E-01
  8.0000E-01  2.0947E-01
  8.5000E-01  1.6435E-01
  9.0000E-01  1.3232E-01
  9.5000E-01  1.0067E-01
  1.0000E+00  8.2968E-02
  1.0500E+00  6.4465E-02
  1.1000E+00  5.0538E-02
  1.1500E+00  4.0581E-02
  1.2000E+00  3.2147E-02
  1.2500E+00  2.5505E-02
  1.3000E+00  2.0492E-02
  1.3500E+00  1.6944E-02
  1.4000E+00  1.3730E-02
  1.4500E+00  1.1993E-02
  1.5000E+00  9.7850E-03
  1.5500E+00  8.1425E-03
  1.6000E+00  6.8710E-03
  1.6500E+00  5.8626E-03
  1.7000E+00  4.9912E-03
  1.7500E+00  4.2085E-03
  1.8000E+00  3.5915E-03
  1.8500E+00  3.0889E-03
  1.9000E+00  2.7167E-03
  1.9500E+00  2.3708E-03
  2.0000E+00  2.1665E-03
  2.0500E+00  1.9582E-03
  2.1000E+00  1.8144E-03
  2.1500E+00  1.7117E-03
  2.2000E+00  1.6024E-03
  2.2500E+00  1.5189E-03
  2.3000E+00  1.4205E-03
  2.3500E+00  1.3358E-03
  2.4000E+00  1.2561E-03
  2.4500E+00  1.1757E-03
  2.5000E+00  1.0813E-03
  2.5500E+00  1.0041E-03
  2.6000E+00  9.2272E-04
  2.6500E+00  8.8014E-04
  2.7000E+00  8.5336E-04
  2.7500E+00  8.1578E-04
  2.8000E+00  8.0425E-04
