# CREATED BY GENE DIAGNOSTICS TOOL on Sun Jan 20 13:15:23 2019
# diag: zonal, run(s): act, time window: 0-8.5(61 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt6/
# normalization: R_0
#
# avg. values:
# shearing rate: 3.3568933
#  shear. ra
  2.2622E+00  1.7026E+00  6.7572E-01  7.5830E-01  1.2232E+00  1.0084E+00  3.5219E-01  7.5453E-01  1.3285E+00  1.3725E+00  9.9973E-01  6.0747E-01  8.4157E-01  1.2342E+00  1.4366E+00  1.4424E+00  1.2930E+00  1.2108E+00  1.3363E+00  1.6832E+00  2.1273E+00  2.4965E+00  2.8682E+00  3.2731E+00  3.4818E+00  3.3808E+00  3.3810E+00  3.4649E+00  3.5801E+00  3.5623E+00  3.5899E+00  3.8535E+00  4.1977E+00  4.5393E+00  4.7690E+00  4.8953E+00  5.1330E+00  5.4625E+00  5.8398E+00  6.2602E+00  6.4875E+00  6.5220E+00  6.6260E+00  6.7489E+00  6.8710E+00  6.9609E+00  6.9442E+00  6.9402E+00  7.0436E+00  7.2969E+00  7.8471E+00  8.4991E+00  8.6812E+00  8.5632E+00  8.4755E+00  8.6169E+00  8.8017E+00  8.8167E+00  8.6274E+00  8.4858E+00  8.4009E+00


# averaged over time
#  kx         shear. rat
  4.9009E-02  4.6946E-01
  9.8018E-02  2.9655E-01
  1.4703E-01  2.7010E-01
  1.9604E-01  2.5664E-01
  2.4504E-01  3.6373E-01
  2.9405E-01  2.6666E-01
  3.4306E-01  4.4940E-01
  3.9207E-01  4.7240E-01
  4.4108E-01  6.1950E-01
  4.9009E-01  4.6513E-01
  5.3910E-01  5.5026E-01
  5.8811E-01  6.2371E-01
  6.3712E-01  4.5529E-01
  6.8612E-01  4.3099E-01
  7.3513E-01  3.6219E-01
  7.8414E-01  3.7582E-01
  8.3315E-01  4.0432E-01
  8.8216E-01  2.6613E-01
  9.3117E-01  2.4679E-01
  9.8018E-01  2.9852E-01
  1.0292E+00  4.3097E-01
  1.0782E+00  3.2221E-01
  1.1272E+00  3.0369E-01
  1.1762E+00  3.0496E-01
  1.2252E+00  1.6583E-01
  1.2742E+00  2.5024E-01
  1.3232E+00  2.0498E-01
  1.3722E+00  2.3518E-01
  1.4213E+00  1.5829E-01
  1.4703E+00  1.6586E-01
  1.5193E+00  1.5056E-01
  1.5683E+00  1.3664E-01
  1.6173E+00  1.1827E-01
  1.6663E+00  1.1861E-01
  1.7153E+00  8.6169E-02
  1.7643E+00  9.5199E-02
  1.8133E+00  9.5925E-02
  1.8623E+00  8.4808E-02
  1.9113E+00  7.2761E-02
  1.9604E+00  8.9345E-02
  2.0094E+00  9.9111E-02
  2.0584E+00  6.9074E-02
  2.1074E+00  6.3391E-02
  2.1564E+00  6.6305E-02
  2.2054E+00  5.5879E-02
  2.2544E+00  6.4977E-02
  2.3034E+00  5.5054E-02
  2.3524E+00  4.9043E-02
  2.4014E+00  5.5604E-02
  2.4504E+00  4.4888E-02
  2.4995E+00  5.0422E-02
  2.5485E+00  4.0261E-02
  2.5975E+00  4.1689E-02
  2.6465E+00  3.7549E-02
  2.6955E+00  3.3677E-02
  2.7445E+00  2.8197E-02
  2.7935E+00  3.0332E-02
  2.8425E+00  2.8350E-02
  2.8915E+00  2.5330E-02
  2.9405E+00  2.3795E-02
  2.9895E+00  2.3724E-02
  3.0386E+00  2.3981E-02
  3.0876E+00  2.1104E-02
  3.1366E+00  2.4598E-02
  3.1856E+00  2.2669E-02
  3.2346E+00  2.1793E-02
  3.2836E+00  1.9520E-02
  3.3326E+00  1.9942E-02
  3.3816E+00  1.8241E-02
  3.4306E+00  1.7354E-02
  3.4796E+00  1.9292E-02
  3.5286E+00  1.9437E-02
  3.5776E+00  1.6893E-02
  3.6267E+00  2.1513E-02
  3.6757E+00  1.6535E-02
  3.7247E+00  2.0192E-02
  3.7737E+00  1.6171E-02
  3.8227E+00  1.7124E-02
  3.8717E+00  1.6097E-02
  3.9207E+00  1.8404E-02
  3.9697E+00  1.9666E-02
  4.0187E+00  1.8132E-02
  4.0677E+00  1.7873E-02
  4.1167E+00  1.8461E-02
  4.1658E+00  1.6141E-02
  4.2148E+00  1.5457E-02
  4.2638E+00  1.8129E-02
  4.3128E+00  1.7797E-02
  4.3618E+00  1.6678E-02
  4.4108E+00  2.0254E-02
  4.4598E+00  1.6542E-02
  4.5088E+00  1.5174E-02
  4.5578E+00  1.7413E-02
  4.6068E+00  1.7085E-02
  4.6558E+00  1.6941E-02
  4.7049E+00  1.6504E-02
  4.7539E+00  1.5648E-02
  4.8029E+00  1.6748E-02
  4.8519E+00  1.4699E-02
  4.9009E+00  1.4591E-02
  4.9499E+00  1.6357E-02
  4.9989E+00  1.6820E-02
  5.0479E+00  1.8750E-02
  5.0969E+00  1.7591E-02
  5.1459E+00  1.6230E-02
  5.1949E+00  1.5834E-02
  5.2440E+00  1.5806E-02
  5.2930E+00  1.7746E-02
  5.3420E+00  1.6995E-02
  5.3910E+00  1.4076E-02
  5.4400E+00  1.7092E-02
  5.4890E+00  1.7599E-02
  5.5380E+00  1.7133E-02
  5.5870E+00  1.3879E-02
  5.6360E+00  1.6509E-02
  5.6850E+00  1.7100E-02
  5.7340E+00  1.6915E-02
  5.7830E+00  1.9919E-02
  5.8321E+00  1.7383E-02
  5.8811E+00  1.9059E-02
  5.9301E+00  1.9231E-02
  5.9791E+00  1.6733E-02
  6.0281E+00  1.8352E-02
  6.0771E+00  1.7260E-02
  6.1261E+00  1.6604E-02
  6.1751E+00  1.4167E-02
  6.2241E+00  1.6366E-02
  6.2731E+00  1.9550E-02
  6.3221E+00  1.7001E-02
  6.3712E+00  1.8984E-02
  6.4202E+00  1.8978E-02
  6.4692E+00  1.7156E-02
  6.5182E+00  1.7540E-02
  6.5672E+00  1.9880E-02
  6.6162E+00  2.1962E-02
  6.6652E+00  1.6799E-02
  6.7142E+00  1.8057E-02
  6.7632E+00  1.7777E-02
  6.8122E+00  1.6686E-02
  6.8612E+00  1.7982E-02
  6.9103E+00  1.9563E-02
  6.9593E+00  2.0015E-02
  7.0083E+00  1.7958E-02
  7.0573E+00  2.2115E-02
  7.1063E+00  1.8483E-02
  7.1553E+00  1.5896E-02
  7.2043E+00  1.9550E-02
  7.2533E+00  2.1343E-02
  7.3023E+00  1.8536E-02
  7.3513E+00  2.0812E-02
  7.4003E+00  1.8673E-02
