# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan 24 15:35:04 2019
# diag: fluxspectra, run(s): act, time window: 0-30(222 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt6/
# normalization: R_0
#
# Q*dVdx =   4.2453E+01 MW
# G*dVdx =  -4.2399E-10 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -8.2579E-10  3.5302E+01
  4.9009E-02  1.2743E-09  6.2632E+01
  9.8018E-02 -1.0012E-10  4.5021E+01
  1.4703E-01 -1.3026E-10  3.9198E+01
  1.9604E-01 -7.3322E-10  3.3170E+01
  2.4504E-01 -1.0989E-10  2.5029E+01
  2.9405E-01 -3.0333E-10  2.0680E+01
  3.4306E-01 -2.9938E-10  1.6315E+01
  3.9207E-01  5.0779E-10  1.3025E+01
  4.4108E-01  4.4002E-10  1.0385E+01
  4.9009E-01 -4.0856E-10  8.5074E+00
  5.3910E-01  2.4567E-10  7.0120E+00
  5.8811E-01  3.2716E-10  5.7565E+00
  6.3712E-01 -3.7830E-10  4.5901E+00
  6.8612E-01 -2.9877E-10  3.9086E+00
  7.3513E-01  1.9621E-10  3.3503E+00
  7.8414E-01 -1.0890E-10  2.8098E+00
  8.3315E-01 -9.2675E-11  2.3701E+00
  8.8216E-01 -2.0475E-10  2.0365E+00
  9.3117E-01  1.1615E-10  1.8091E+00
  9.8018E-01 -1.9974E-10  1.5896E+00
  1.0292E+00 -2.2223E-11  1.4217E+00
  1.0782E+00  7.1096E-11  1.2667E+00
  1.1272E+00 -2.1071E-10  1.1628E+00
  1.1762E+00 -2.0580E-10  1.0230E+00
  1.2252E+00 -5.3352E-11  9.5712E-01
  1.2742E+00  4.4725E-11  8.6688E-01
  1.3232E+00 -3.0357E-11  7.7567E-01
  1.3722E+00  7.8904E-12  7.1318E-01
  1.4213E+00  1.3387E-10  6.6258E-01
  1.4703E+00  1.8207E-11  5.9895E-01
  1.5193E+00  1.6127E-11  5.6258E-01
  1.5683E+00  7.7571E-11  5.1980E-01
  1.6173E+00  7.3098E-11  4.7643E-01
  1.6663E+00 -6.6121E-11  4.3675E-01
  1.7153E+00  9.2760E-11  4.0084E-01
  1.7643E+00  1.8067E-11  3.7197E-01
  1.8133E+00 -2.4473E-13  3.4069E-01
  1.8623E+00 -6.3695E-11  3.1493E-01
  1.9113E+00  7.8637E-12  2.9358E-01
  1.9604E+00 -1.9034E-11  2.7351E-01
  2.0094E+00  1.0493E-11  2.4972E-01
  2.0584E+00  1.8601E-11  2.3421E-01
  2.1074E+00 -3.0868E-11  2.1719E-01
  2.1564E+00  6.1980E-12  2.0068E-01
  2.2054E+00  1.7666E-11  1.8405E-01
  2.2544E+00  1.2469E-11  1.7361E-01
  2.3034E+00  5.7175E-12  1.6067E-01
  2.3524E+00  1.2002E-11  1.5065E-01
  2.4014E+00 -3.8349E-11  1.4093E-01
  2.4504E+00 -5.8031E-12  1.3027E-01
  2.4995E+00 -4.9756E-12  1.2186E-01
  2.5485E+00 -1.7690E-11  1.1471E-01
  2.5975E+00 -8.1848E-12  1.0585E-01
  2.6465E+00 -4.7373E-12  9.9963E-02
  2.6955E+00 -8.8013E-12  9.3347E-02
  2.7445E+00 -1.3161E-11  8.8431E-02
  2.7935E+00 -1.5364E-11  8.3638E-02
  2.8425E+00 -7.1584E-12  7.7866E-02
  2.8915E+00  3.1415E-12  7.3398E-02
