# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan 24 15:35:07 2019
# diag: zonal, run(s): act, time window: 0-30(222 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt6/
# normalization: R_0
#
# avg. values:
# shearing rate: 6.357778
#  shear. ra
  2.2622E+00  1.7026E+00  6.7572E-01  7.5830E-01  1.2232E+00  1.0084E+00  3.5219E-01  7.5453E-01  1.3285E+00  1.3725E+00  9.9973E-01  6.0747E-01  8.4157E-01  1.2342E+00  1.4366E+00  1.4424E+00  1.2930E+00  1.2108E+00  1.3363E+00  1.6832E+00  2.1273E+00  2.4965E+00  2.8682E+00  3.2731E+00  3.4818E+00  3.3808E+00  3.3810E+00  3.4649E+00  3.5801E+00  3.5623E+00  3.5899E+00  3.8535E+00  4.1977E+00  4.5393E+00  4.7690E+00  4.8953E+00  5.1330E+00  5.4625E+00  5.8398E+00  6.2602E+00  6.4875E+00  6.5220E+00  6.6260E+00  6.7489E+00  6.8710E+00  6.9609E+00  6.9442E+00  6.9402E+00  7.0436E+00  7.2969E+00  7.8471E+00  8.4991E+00  8.6812E+00  8.5632E+00  8.4755E+00  8.6169E+00  8.8017E+00  8.8167E+00  8.6274E+00  8.4858E+00  8.4009E+00  8.2159E+00  7.7720E+00  7.0403E+00  6.1685E+00  5.6241E+00  5.5377E+00  5.8287E+00  6.0599E+00  6.2576E+00  6.5784E+00  7.0153E+00  7.4924E+00  7.9583E+00  8.2138E+00  7.9335E+00  7.3392E+00  6.8133E+00  6.4136E+00  6.2710E+00  6.5104E+00  6.7110E+00  7.0200E+00  7.1649E+00  7.1747E+00  7.1475E+00  6.8358E+00  6.7379E+00  6.7458E+00  6.7396E+00  6.9336E+00  7.3737E+00  7.8045E+00  7.8579E+00  7.8233E+00  7.8096E+00  7.7789E+00  7.4349E+00  6.8530E+00  6.5544E+00  6.6876E+00  7.2396E+00  7.8533E+00  8.1446E+00  8.4264E+00  8.5557E+00  8.4624E+00  8.1485E+00  7.7212E+00  7.3246E+00  7.0872E+00  7.0161E+00  7.1065E+00  7.1940E+00  7.4108E+00  7.4763E+00  7.5057E+00  7.5288E+00  7.7132E+00  7.7805E+00  7.5560E+00  7.4652E+00  7.5436E+00  7.5035E+00  7.3006E+00  6.9853E+00  6.7659E+00  6.8680E+00  6.9425E+00  7.1139E+00  7.5157E+00  7.9045E+00  8.1453E+00  7.9633E+00  7.3665E+00  6.6278E+00  6.0135E+00  5.8271E+00  6.0767E+00  6.6671E+00  7.3709E+00  7.8804E+00  8.0115E+00  7.8210E+00  7.3818E+00  6.9630E+00  6.7366E+00  6.8384E+00  7.1005E+00  7.2683E+00  7.5051E+00  7.7773E+00  8.0740E+00  8.3627E+00  8.4093E+00  8.1890E+00  7.9833E+00  7.8202E+00  7.7242E+00  7.8594E+00  8.2372E+00  8.6253E+00  8.5905E+00  8.4607E+00  8.1669E+00  7.6848E+00  7.1038E+00  6.5327E+00  6.3833E+00  6.5921E+00  6.8500E+00  7.4165E+00  8.0818E+00  8.6669E+00  8.7390E+00  8.4664E+00  8.0016E+00  7.3055E+00  6.8097E+00  6.6744E+00  7.0352E+00  7.8159E+00  8.3052E+00  8.6126E+00  8.6212E+00  8.2433E+00  7.7106E+00  7.2315E+00  7.3516E+00  8.1111E+00  8.8711E+00  9.3612E+00  9.6580E+00  9.8129E+00  9.5749E+00  9.2086E+00  8.5457E+00  7.6989E+00  7.0262E+00  6.8038E+00  7.2578E+00  8.1156E+00  8.9753E+00  9.6802E+00  9.9361E+00  9.7653E+00  9.3502E+00  8.8177E+00  8.2551E+00  7.7116E+00  7.3424E+00  7.1697E+00  7.3951E+00  7.8332E+00  8.3413E+00  8.6526E+00  8.5584E+00  8.1753E+00  7.7488E+00  7.3436E+00  7.3036E+00  7.5822E+00


# averaged over time
#  kx         shear. rat
  4.9009E-02  4.0405E-01
  9.8018E-02  2.0286E-01
  1.4703E-01  1.9462E-01
  1.9604E-01  2.3397E-01
  2.4504E-01  4.2893E-01
  2.9405E-01  4.3805E-01
  3.4306E-01  6.2163E-01
  3.9207E-01  7.4415E-01
  4.4108E-01  1.0052E+00
  4.9009E-01  1.2825E+00
  5.3910E-01  1.3930E+00
  5.8811E-01  9.8001E-01
  6.3712E-01  7.5156E-01
  6.8612E-01  7.9466E-01
  7.3513E-01  7.9302E-01
  7.8414E-01  6.5253E-01
  8.3315E-01  8.3535E-01
  8.8216E-01  6.7613E-01
  9.3117E-01  6.2522E-01
  9.8018E-01  5.8830E-01
  1.0292E+00  6.5666E-01
  1.0782E+00  7.4797E-01
  1.1272E+00  6.2600E-01
  1.1762E+00  6.4492E-01
  1.2252E+00  6.1011E-01
  1.2742E+00  5.5953E-01
  1.3232E+00  5.0190E-01
  1.3722E+00  5.4465E-01
  1.4213E+00  4.2751E-01
  1.4703E+00  4.5629E-01
  1.5193E+00  4.4956E-01
  1.5683E+00  3.0855E-01
  1.6173E+00  3.5457E-01
  1.6663E+00  3.0004E-01
  1.7153E+00  2.8040E-01
  1.7643E+00  2.8134E-01
  1.8133E+00  2.3784E-01
  1.8623E+00  2.2925E-01
  1.9113E+00  1.8331E-01
  1.9604E+00  2.0289E-01
  2.0094E+00  1.7893E-01
  2.0584E+00  1.7416E-01
  2.1074E+00  1.4188E-01
  2.1564E+00  1.4068E-01
  2.2054E+00  1.2604E-01
  2.2544E+00  1.1582E-01
  2.3034E+00  1.1585E-01
  2.3524E+00  9.7389E-02
  2.4014E+00  9.9197E-02
  2.4504E+00  9.1879E-02
  2.4995E+00  8.9863E-02
  2.5485E+00  8.5123E-02
  2.5975E+00  7.5914E-02
  2.6465E+00  7.1915E-02
  2.6955E+00  7.4508E-02
  2.7445E+00  6.1842E-02
  2.7935E+00  6.0372E-02
  2.8425E+00  5.9174E-02
  2.8915E+00  5.4196E-02
  2.9405E+00  5.3676E-02
  2.9895E+00  4.7212E-02
  3.0386E+00  4.7795E-02
  3.0876E+00  4.4255E-02
  3.1366E+00  4.4966E-02
  3.1856E+00  3.9466E-02
  3.2346E+00  3.9714E-02
  3.2836E+00  4.0313E-02
  3.3326E+00  3.7772E-02
  3.3816E+00  3.6589E-02
  3.4306E+00  3.4500E-02
  3.4796E+00  3.7295E-02
  3.5286E+00  3.5603E-02
  3.5776E+00  3.5247E-02
  3.6267E+00  3.7280E-02
  3.6757E+00  3.6111E-02
  3.7247E+00  3.4163E-02
  3.7737E+00  3.2499E-02
  3.8227E+00  3.3515E-02
  3.8717E+00  3.2214E-02
  3.9207E+00  3.3153E-02
  3.9697E+00  3.3286E-02
  4.0187E+00  3.2665E-02
  4.0677E+00  3.3793E-02
  4.1167E+00  3.2424E-02
  4.1658E+00  2.6950E-02
  4.2148E+00  3.1370E-02
  4.2638E+00  3.1219E-02
  4.3128E+00  3.2219E-02
  4.3618E+00  2.9997E-02
  4.4108E+00  3.2386E-02
  4.4598E+00  3.3954E-02
  4.5088E+00  3.1952E-02
  4.5578E+00  3.2280E-02
  4.6068E+00  2.9444E-02
  4.6558E+00  3.0071E-02
  4.7049E+00  3.1681E-02
  4.7539E+00  3.0895E-02
  4.8029E+00  2.9519E-02
  4.8519E+00  2.9912E-02
  4.9009E+00  3.0952E-02
  4.9499E+00  2.9043E-02
  4.9989E+00  2.9311E-02
  5.0479E+00  3.1151E-02
  5.0969E+00  2.9746E-02
  5.1459E+00  3.0874E-02
  5.1949E+00  2.9686E-02
  5.2440E+00  3.1276E-02
  5.2930E+00  2.9617E-02
  5.3420E+00  3.2583E-02
  5.3910E+00  2.9800E-02
  5.4400E+00  2.8223E-02
  5.4890E+00  3.1669E-02
  5.5380E+00  3.2257E-02
  5.5870E+00  3.0367E-02
