# CREATED BY GENE DIAGNOSTICS TOOL on Thu Jan 24 15:35:07 2019
# diag: zprofile, run(s): act, time window: 0-30(222 steps), species: ions
# original data path: /ptmp/cmor/S-a/q0-1.7/ITGa_NL/omt6/
# normalization: R_0
#
# variable A = phi
#  z/qR       <|A|>       <|A|²>^½    <|A²|-|A|²
 -3.1416E+00  0.0000E+00  2.4836E+02  2.4836E+02
 -3.0925E+00  0.0000E+00  2.4828E+02  2.4828E+02
 -3.0434E+00  0.0000E+00  2.4821E+02  2.4821E+02
 -2.9943E+00  0.0000E+00  2.4814E+02  2.4814E+02
 -2.9452E+00  0.0000E+00  2.4809E+02  2.4809E+02
 -2.8962E+00  0.0000E+00  2.4805E+02  2.4805E+02
 -2.8471E+00  0.0000E+00  2.4801E+02  2.4801E+02
 -2.7980E+00  0.0000E+00  2.4800E+02  2.4800E+02
 -2.7489E+00  0.0000E+00  2.4799E+02  2.4799E+02
 -2.6998E+00  0.0000E+00  2.4800E+02  2.4800E+02
 -2.6507E+00  0.0000E+00  2.4801E+02  2.4801E+02
 -2.6016E+00  0.0000E+00  2.4803E+02  2.4803E+02
 -2.5525E+00  0.0000E+00  2.4807E+02  2.4807E+02
 -2.5035E+00  0.0000E+00  2.4811E+02  2.4811E+02
 -2.4544E+00  0.0000E+00  2.4816E+02  2.4816E+02
 -2.4053E+00  0.0000E+00  2.4823E+02  2.4823E+02
 -2.3562E+00  0.0000E+00  2.4830E+02  2.4830E+02
 -2.3071E+00  0.0000E+00  2.4837E+02  2.4837E+02
 -2.2580E+00  0.0000E+00  2.4845E+02  2.4845E+02
 -2.2089E+00  0.0000E+00  2.4853E+02  2.4853E+02
 -2.1598E+00  0.0000E+00  2.4863E+02  2.4863E+02
 -2.1108E+00  0.0000E+00  2.4873E+02  2.4873E+02
 -2.0617E+00  0.0000E+00  2.4884E+02  2.4884E+02
 -2.0126E+00  0.0000E+00  2.4894E+02  2.4894E+02
 -1.9635E+00  0.0000E+00  2.4905E+02  2.4905E+02
 -1.9144E+00  0.0000E+00  2.4916E+02  2.4916E+02
 -1.8653E+00  0.0000E+00  2.4928E+02  2.4928E+02
 -1.8162E+00  0.0000E+00  2.4939E+02  2.4939E+02
 -1.7671E+00  0.0000E+00  2.4950E+02  2.4950E+02
 -1.7181E+00  0.0000E+00  2.4961E+02  2.4961E+02
 -1.6690E+00  0.0000E+00  2.4972E+02  2.4972E+02
 -1.6199E+00  0.0000E+00  2.4983E+02  2.4983E+02
 -1.5708E+00  0.0000E+00  2.4994E+02  2.4994E+02
 -1.5217E+00  0.0000E+00  2.5004E+02  2.5004E+02
 -1.4726E+00  0.0000E+00  2.5014E+02  2.5014E+02
 -1.4235E+00  0.0000E+00  2.5024E+02  2.5024E+02
 -1.3744E+00  0.0000E+00  2.5033E+02  2.5033E+02
 -1.3254E+00  0.0000E+00  2.5042E+02  2.5042E+02
 -1.2763E+00  0.0000E+00  2.5051E+02  2.5051E+02
 -1.2272E+00  0.0000E+00  2.5058E+02  2.5058E+02
 -1.1781E+00  0.0000E+00  2.5066E+02  2.5066E+02
 -1.1290E+00  0.0000E+00  2.5074E+02  2.5074E+02
 -1.0799E+00  0.0000E+00  2.5083E+02  2.5083E+02
 -1.0308E+00  0.0000E+00  2.5091E+02  2.5091E+02
 -9.8175E-01  0.0000E+00  2.5099E+02  2.5099E+02
 -9.3266E-01  0.0000E+00  2.5107E+02  2.5107E+02
 -8.8357E-01  0.0000E+00  2.5116E+02  2.5116E+02
 -8.3449E-01  0.0000E+00  2.5125E+02  2.5125E+02
 -7.8540E-01  0.0000E+00  2.5134E+02  2.5134E+02
 -7.3631E-01  0.0000E+00  2.5143E+02  2.5143E+02
 -6.8722E-01  0.0000E+00  2.5151E+02  2.5151E+02
 -6.3814E-01  0.0000E+00  2.5158E+02  2.5158E+02
 -5.8905E-01  0.0000E+00  2.5165E+02  2.5165E+02
