# CREATED BY GENE DIAGNOSTICS TOOL on Tue Oct 30 14:23:48 2018
# diag: fluxspectra, run(s): act, time window: 260-660(73 steps), species: ions
# normalization: L_ref=5.5306m
#
# Q*dVdx =   2.4673E+01 MW
# G*dVdx =   5.4403E-12 MW/keV
#  kx         G_es,p      Q_es,p    
  0.0000E+00 -2.2219E-13  7.9783E-03
  9.1835E-03 -1.9230E-13  1.4464E-02
  1.8367E-02  6.6863E-13  1.4566E-02
  2.7550E-02  2.9072E-13  1.4691E-02
  3.6734E-02 -3.8747E-14  1.3761E-02
  4.5917E-02 -2.4690E-13  1.4705E-02
  5.5101E-02 -2.7051E-13  1.3569E-02
  6.4284E-02  4.1955E-13  1.3369E-02
  7.3468E-02  3.4240E-13  1.3721E-02
  8.2651E-02 -1.0902E-13  1.1951E-02
  9.1835E-02 -7.7634E-13  1.2075E-02
  1.0102E-01 -2.1379E-13  1.1943E-02
  1.1020E-01  5.3847E-13  1.1430E-02
  1.1939E-01 -8.6645E-14  1.1049E-02
  1.2857E-01 -9.0294E-15  1.1472E-02
  1.3775E-01 -2.4971E-13  1.0677E-02
  1.4694E-01 -2.8195E-13  1.0011E-02
  1.5612E-01  3.6788E-13  1.0878E-02
  1.6530E-01 -3.9745E-13  1.0728E-02
  1.7449E-01 -2.3373E-13  1.0141E-02
  1.8367E-01  1.3538E-13  8.9387E-03
  1.9285E-01 -9.1602E-14  9.4904E-03
  2.0204E-01  6.2105E-14  8.2620E-03
  2.1122E-01 -7.1766E-14  8.3041E-03
  2.2040E-01  1.5250E-13  7.9056E-03
  2.2959E-01 -6.5698E-14  7.6691E-03
  2.3877E-01 -7.1108E-14  8.0878E-03
  2.4795E-01  2.3899E-13  7.1934E-03
  2.5714E-01  1.7098E-15  7.1922E-03
  2.6632E-01  1.2243E-13  6.2369E-03
  2.7550E-01 -1.2654E-13  6.5486E-03
  2.8469E-01 -6.5088E-14  5.8071E-03
  2.9387E-01 -2.3823E-13  5.7789E-03
  3.0305E-01 -1.4347E-14  5.8050E-03
  3.1224E-01  8.5722E-14  5.0310E-03
  3.2142E-01  3.3416E-14  4.9834E-03
  3.3061E-01  6.8577E-14  5.0355E-03
  3.3979E-01 -3.3649E-13  4.5711E-03
  3.4897E-01  2.2169E-13  4.3618E-03
  3.5816E-01  2.9551E-13  4.2921E-03
  3.6734E-01 -1.4636E-13  4.1116E-03
  3.7652E-01  1.3506E-13  3.4067E-03
  3.8571E-01 -7.0233E-14  3.3586E-03
  3.9489E-01  3.7346E-14  3.4521E-03
  4.0407E-01  1.2370E-13  3.5206E-03
  4.1326E-01  2.0419E-13  3.6303E-03
  4.2244E-01 -2.7522E-13  3.2815E-03
  4.3162E-01  1.1420E-13  3.1166E-03
  4.4081E-01 -1.0094E-14  3.0020E-03
  4.4999E-01 -2.0029E-14  2.9601E-03
  4.5917E-01  1.3751E-13  2.8720E-03
  4.6836E-01 -2.3106E-14  2.3986E-03
  4.7754E-01  1.0920E-13  2.6388E-03
  4.8672E-01  9.4303E-14  2.3184E-03
  4.9591E-01  2.9098E-15  2.1877E-03
  5.0509E-01 -5.2565E-14  2.0152E-03
  5.1427E-01  5.9553E-14  1.9475E-03
  5.2346E-01  1.1229E-13  2.0842E-03
  5.3264E-01  5.8069E-14  2.0659E-03
  5.4182E-01  1.0096E-14  1.8330E-03
  5.5101E-01 -2.3035E-13  1.6734E-03
  5.6019E-01  1.7626E-13  1.6292E-03
  5.6938E-01 -7.4204E-14  1.4590E-03
  5.7856E-01 -5.9020E-14  1.5987E-03
  5.8774E-01 -6.4968E-14  1.4416E-03
  5.9693E-01  8.4901E-14  1.4622E-03
  6.0611E-01  7.3892E-14  1.3968E-03
  6.1529E-01 -1.1670E-14  1.2052E-03
  6.2448E-01  1.7903E-14  1.3643E-03
  6.3366E-01 -2.5492E-14  1.2250E-03
  6.4284E-01  1.3652E-13  1.1349E-03
  6.5203E-01 -1.4441E-13  1.0559E-03
  6.6121E-01  7.1114E-14  1.1110E-03
  6.7039E-01 -1.4644E-14  1.0138E-03
  6.7958E-01 -6.4311E-14  9.4625E-04
  6.8876E-01 -9.2705E-15  9.4383E-04
  6.9794E-01 -4.7977E-14  8.8612E-04
  7.0713E-01  1.3650E-13  8.5380E-04
  7.1631E-01  1.8847E-14  8.3312E-04
  7.2549E-01  3.4510E-14  8.1795E-04
  7.3468E-01  2.2104E-14  7.5320E-04
  7.4386E-01 -1.6371E-13  7.3891E-04
  7.5304E-01  3.0675E-14  7.0186E-04
  7.6223E-01  2.7571E-14  6.9181E-04
  7.7141E-01  1.8394E-14  6.2952E-04
  7.8060E-01  3.8224E-14  6.1879E-04
  7.8978E-01  2.9432E-14  5.9366E-04
  7.9896E-01 -9.9214E-14  5.9516E-04
  8.0815E-01 -6.9101E-14  5.7775E-04
  8.1733E-01  2.1888E-14  5.5089E-04
  8.2651E-01  6.6898E-14  5.0384E-04
  8.3570E-01  2.8275E-14  5.0530E-04
  8.4488E-01  5.3195E-14  4.8991E-04
  8.5406E-01  2.2628E-14  4.6861E-04
  8.6325E-01  1.2966E-13  4.5353E-04
  8.7243E-01 -7.5781E-14  4.4430E-04
  8.8161E-01  1.6581E-14  4.2026E-04
  8.9080E-01 -5.6575E-14  4.2676E-04
  8.9998E-01  1.0604E-14  4.0028E-04
  9.0916E-01 -3.2262E-14  3.7256E-04
  9.1835E-01  1.3576E-14  3.8721E-04
  9.2753E-01 -2.4199E-14  3.6472E-04
  9.3671E-01 -5.5124E-14  3.6083E-04
  9.4590E-01  2.5706E-14  3.3699E-04
  9.5508E-01 -6.4288E-15  3.3010E-04
  9.6426E-01 -2.5724E-14  3.3110E-04
  9.7345E-01  8.2848E-14  3.1225E-04
  9.8263E-01  2.9330E-14  2.9479E-04
  9.9182E-01 -8.7901E-15  2.8834E-04
  1.0010E+00 -2.5551E-14  2.7399E-04
  1.0102E+00  1.5938E-14  2.8382E-04
  1.0194E+00 -5.6881E-14  2.6445E-04
  1.0285E+00 -3.1620E-14  2.5553E-04
  1.0377E+00  4.3011E-14  2.4393E-04
  1.0469E+00  9.6980E-15  2.3804E-04
  1.0561E+00  2.1875E-14  2.3502E-04
  1.0653E+00 -1.4565E-14  2.2434E-04
  1.0745E+00 -1.8631E-14  2.1440E-04
  1.0836E+00 -3.7086E-14  2.2019E-04
  1.0928E+00  3.8979E-14  2.0528E-04
  1.1020E+00  3.5446E-14  2.0192E-04
  1.1112E+00  1.3000E-15  1.9493E-04
  1.1204E+00  2.5331E-15  1.9076E-04
  1.1296E+00 -7.5931E-15  1.8188E-04
  1.1388E+00  4.5232E-15  1.8573E-04
  1.1479E+00  3.8442E-15  1.7815E-04
  1.1571E+00  3.5178E-15  1.7037E-04
  1.1663E+00  1.1473E-14  1.6731E-04
  1.1755E+00 -2.6323E-14  1.6596E-04
  1.1847E+00  1.8106E-15  1.5684E-04
  1.1939E+00  1.3544E-14  1.5488E-04
  1.2030E+00 -3.2910E-14  1.5006E-04
  1.2122E+00  3.6483E-14  1.5218E-04
  1.2214E+00  2.5601E-14  1.4402E-04
  1.2306E+00 -7.3664E-15  1.4304E-04
  1.2398E+00 -3.4988E-14  1.3879E-04
  1.2490E+00 -2.3886E-15  1.3136E-04
  1.2581E+00  2.7750E-14  1.2981E-04
  1.2673E+00  9.3839E-15  1.2973E-04
  1.2765E+00 -9.0980E-16  1.2251E-04
  1.2857E+00 -2.6987E-14  1.2512E-04
  1.2949E+00  1.0119E-15  1.1845E-04
  1.3041E+00  7.4232E-15  1.1733E-04
  1.3132E+00 -1.0517E-14  1.1536E-04
  1.3224E+00 -4.4915E-14  1.1114E-04
  1.3316E+00 -3.3692E-14  1.0998E-04
  1.3408E+00 -1.2339E-14  1.0798E-04
  1.3500E+00  9.5036E-15  1.0374E-04
  1.3592E+00  1.8642E-14  1.0314E-04
  1.3683E+00 -1.6854E-14  1.0155E-04
  1.3775E+00 -1.3703E-14  9.8253E-05
  1.3867E+00  1.5483E-15  9.4001E-05
  1.3959E+00 -3.9105E-14  9.4676E-05
  1.4051E+00  5.4678E-15  9.4260E-05
  1.4143E+00  2.9523E-14  9.2237E-05
  1.4234E+00  1.4044E-14  9.0295E-05
  1.4326E+00 -1.5803E-14  8.7610E-05
  1.4418E+00  2.9301E-15  8.5262E-05
  1.4510E+00  1.6461E-14  8.6052E-05
  1.4602E+00 -3.2334E-14  8.1588E-05
  1.4694E+00  2.4257E-14  8.1120E-05
  1.4785E+00  2.9142E-14  8.0650E-05
  1.4877E+00 -6.5082E-15  7.7613E-05
  1.4969E+00  9.8600E-15  7.7278E-05
  1.5061E+00  9.6260E-15  7.6271E-05
  1.5153E+00 -2.5751E-16  7.6899E-05
  1.5245E+00  5.0539E-14  7.3812E-05
  1.5336E+00  5.7115E-15  7.1915E-05
  1.5428E+00 -1.9689E-14  7.2269E-05
  1.5520E+00 -7.2063E-15  6.8022E-05
  1.5612E+00  2.6893E-14  6.6292E-05
  1.5704E+00 -2.6320E-14  6.4635E-05
  1.5796E+00 -1.8674E-14  6.4847E-05
  1.5887E+00  8.1855E-16  6.5526E-05
  1.5979E+00  8.3204E-15  6.3664E-05
  1.6071E+00 -2.2308E-15  6.2505E-05
  1.6163E+00 -1.0192E-14  5.8748E-05
  1.6255E+00  2.1289E-14  5.9351E-05
  1.6347E+00 -1.0675E-14  5.9692E-05
  1.6438E+00  5.1680E-15  5.8846E-05
  1.6530E+00 -1.8921E-14  5.8790E-05
  1.6622E+00 -1.4714E-14  5.5588E-05
  1.6714E+00 -1.6344E-15  5.6018E-05
  1.6806E+00  1.5681E-14  5.3463E-05
  1.6898E+00  6.1365E-15  5.4632E-05
  1.6989E+00  4.4734E-15  5.2932E-05
  1.7081E+00 -2.1601E-15  5.2719E-05
  1.7173E+00 -5.1134E-15  5.0707E-05
  1.7265E+00 -5.7126E-16  5.2768E-05
  1.7357E+00 -5.9782E-15  5.1706E-05
  1.7449E+00  5.6372E-15  4.9817E-05
  1.7540E+00 -7.0248E-15  4.9593E-05
  1.7632E+00  0.0000E+00  0.0000E+00


#  ky         G_es,p      Q_es,p    
  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E-02  7.9927E-14  4.0315E-03
  1.0000E-01  1.0240E-13  1.0741E-02
  1.5000E-01 -8.3791E-14  2.9128E-02
  2.0000E-01  1.3410E-13  4.9269E-02
  2.5000E-01  2.4049E-13  6.4859E-02
  3.0000E-01 -2.0410E-13  6.9770E-02
  3.5000E-01 -5.9523E-13  4.6501E-02
  4.0000E-01 -2.2447E-13  3.7517E-02
  4.5000E-01  6.0935E-14  2.8710E-02
  5.0000E-01  3.2208E-14  2.5084E-02
  5.5000E-01  2.1503E-13  1.8251E-02
  6.0000E-01 -5.6759E-13  1.4972E-02
  6.5000E-01  3.3408E-14  1.1943E-02
  7.0000E-01  2.5108E-13  1.0265E-02
  7.5000E-01 -1.2330E-13  8.1972E-03
  8.0000E-01  3.1635E-13  7.3535E-03
  8.5000E-01  3.5157E-13  5.7543E-03
  9.0000E-01  7.3119E-14  4.5510E-03
  9.5000E-01  2.6764E-13  3.8575E-03
  1.0000E+00 -1.5845E-13  3.2632E-03
  1.0500E+00  3.5223E-14  2.8010E-03
  1.1000E+00 -1.8096E-14  2.3398E-03
  1.1500E+00 -6.8711E-14  2.0032E-03
  1.2000E+00 -7.9273E-14  1.7478E-03
  1.2500E+00 -2.3642E-14  1.4994E-03
  1.3000E+00 -4.2619E-14  1.3224E-03
  1.3500E+00  7.1668E-14  1.1411E-03
  1.4000E+00  1.3235E-13  1.0252E-03
  1.4500E+00 -7.8667E-14  8.9698E-04
  1.5000E+00  5.5663E-14  7.8802E-04
  1.5500E+00  3.0459E-14  7.1281E-04
  1.6000E+00 -6.7611E-14  6.4170E-04
