# CREATED BY GENE DIAGNOSTICS TOOL on Tue Oct 30 14:23:52 2018
# diag: frequency, run(s): act, time window: 260-660(73 steps)
# normalization: L_ref=5.5306m
#
# Nyquist frequency: 0.535808
#  ky         gamma       omega     
  5.0000E-02 -1.6544E-04  1.1531E-02
  1.0000E-01  1.9204E-04  2.2929E-02
  1.5000E-01  3.2448E-04  3.4778E-02
  2.0000E-01  2.4852E-04  4.5107E-02
  2.5000E-01  1.1056E-04  5.4110E-02
  3.0000E-01 -1.2557E-04  6.0649E-02
  3.5000E-01 -1.0679E-05  6.6709E-02
  4.0000E-01  1.1540E-04  7.2046E-02
  4.5000E-01 -3.6895E-05  7.9039E-02
  5.0000E-01 -1.5243E-04  8.3896E-02
  5.5000E-01  3.5978E-04  8.8844E-02
  6.0000E-01  2.1490E-04  9.0045E-02
  6.5000E-01  1.3284E-04  9.0149E-02
  7.0000E-01 -2.0697E-06  9.0435E-02
  7.5000E-01 -2.6739E-05  9.0209E-02
  8.0000E-01 -2.4452E-05  8.8647E-02
  8.5000E-01  2.6529E-05  8.4465E-02
  9.0000E-01  5.5788E-05  8.3485E-02
  9.5000E-01  4.4539E-04  7.8244E-02
  1.0000E+00  1.9170E-04  7.2956E-02
  1.0500E+00 -7.2490E-05  6.8161E-02
  1.1000E+00  2.6836E-05  6.1678E-02
  1.1500E+00  3.3227E-04  5.8333E-02
  1.2000E+00  1.8855E-04  5.1733E-02
  1.2500E+00 -8.5130E-05  4.6707E-02
  1.3000E+00 -2.2452E-05  4.2503E-02
  1.3500E+00 -4.5998E-04  3.5503E-02
  1.4000E+00  9.3456E-05  3.3674E-02
  1.4500E+00 -5.3634E-05  2.8579E-02
  1.5000E+00  7.9085E-05  2.5182E-02
  1.5500E+00  7.1040E-05  1.9828E-02
  1.6000E+00  3.2316E-05  1.8311E-02
  1.6500E+00  1.1877E-04  1.7077E-02
  1.7000E+00 -2.2882E-04  1.3685E-02
  1.7500E+00  2.1002E-04  1.2047E-02
  1.8000E+00  3.8822E-04  8.5927E-03
  1.8500E+00  1.1367E-04  7.5283E-03
  1.9000E+00  2.0465E-04  6.2520E-03
  1.9500E+00  6.7798E-05  3.9781E-03
  2.0000E+00  1.7572E-04  3.7009E-03
  2.0500E+00  1.8723E-04  3.8451E-03
  2.1000E+00  2.1634E-04  3.1846E-03
  2.1500E+00  5.1426E-05  2.3462E-03
  2.2000E+00  6.1834E-05  1.6736E-03
  2.2500E+00  1.9737E-04  1.3209E-03
  2.3000E+00  2.1480E-04  6.8980E-04
  2.3500E+00  1.1155E-04  5.7628E-04
  2.4000E+00  7.5178E-05  7.5700E-04
  2.4500E+00 -1.1915E-06  3.7222E-04
  2.5000E+00  7.5823E-05  2.0860E-04
  2.5500E+00  3.9790E-04 -2.0440E-04
  2.6000E+00  2.4091E-06  1.0549E-04
  2.6500E+00  1.1698E-04 -1.4825E-04
  2.7000E+00  6.5484E-05 -3.0727E-04
  2.7500E+00  2.3839E-04 -2.2956E-04
  2.8000E+00  1.5402E-04 -3.8003E-04
  2.8500E+00  4.7852E-05 -1.8934E-04
  2.9000E+00  1.7931E-05 -2.6348E-05
  2.9500E+00 -1.0400E-04 -4.2547E-04
  3.0000E+00  1.9404E-04 -4.8961E-04
  3.0500E+00 -7.9464E-05  5.0444E-04
  3.1000E+00  1.7971E-04 -7.0240E-04
  3.1500E+00  1.2317E-04 -5.4907E-04
