# CREATED BY GENE DIAGNOSTICS TOOL on Fri Nov  2 11:34:58 2018
# diag: spectra, run(s): act, time window: 0-61.692025(638 steps), species: ions
# normalization: R_0
#
# kxind = 0
#  ky         phi       
  0.0000E+00  0.0000E+00
  5.0000E-02  3.5379E+01
  1.0000E-01  1.3822E+01
  1.5000E-01  9.2609E+00
  2.0000E-01  6.5305E+00
  2.5000E-01  5.1599E+00
  3.0000E-01  3.9199E+00
  3.5000E-01  3.0470E+00
  4.0000E-01  2.0801E+00
  4.5000E-01  1.3073E+00
  5.0000E-01  1.0173E+00
  5.5000E-01  7.5519E-01
  6.0000E-01  5.8145E-01
  6.5000E-01  4.5499E-01
  7.0000E-01  3.6797E-01
  7.5000E-01  2.8446E-01
  8.0000E-01  2.2820E-01
  8.5000E-01  1.7448E-01
  9.0000E-01  1.4075E-01
  9.5000E-01  1.1007E-01
  1.0000E+00  8.5561E-02
  1.0500E+00  6.6791E-02
  1.1000E+00  5.2211E-02
  1.1500E+00  4.1320E-02
  1.2000E+00  3.2617E-02
  1.2500E+00  2.6329E-02
  1.3000E+00  2.0938E-02
  1.3500E+00  1.6585E-02
  1.4000E+00  1.3240E-02
  1.4500E+00  1.0925E-02
  1.5000E+00  8.8030E-03
  1.5500E+00  7.2530E-03
  1.6000E+00  5.8903E-03
  1.6500E+00  4.9221E-03
  1.7000E+00  4.0376E-03
  1.7500E+00  3.4064E-03
  1.8000E+00  2.8366E-03
  1.8500E+00  2.3954E-03
  1.9000E+00  2.0435E-03
  1.9500E+00  1.7304E-03
  2.0000E+00  1.4828E-03
  2.0500E+00  1.3014E-03
  2.1000E+00  1.1268E-03
  2.1500E+00  9.9439E-04
  2.2000E+00  8.7385E-04
  2.2500E+00  7.7147E-04
  2.3000E+00  7.0304E-04
  2.3500E+00  6.2906E-04
  2.4000E+00  5.8290E-04
  2.4500E+00  5.2448E-04
  2.5000E+00  4.8106E-04
  2.5500E+00  4.4731E-04
  2.6000E+00  4.1291E-04
  2.6500E+00  3.8783E-04
  2.7000E+00  3.6301E-04
  2.7500E+00  3.4015E-04
  2.8000E+00  3.1948E-04
  2.8500E+00  3.0488E-04
  2.9000E+00  2.8665E-04
  2.9500E+00  2.7712E-04
  3.0000E+00  2.6431E-04
  3.0500E+00  2.5143E-04
  3.1000E+00  2.4235E-04
  3.1500E+00  2.3881E-04


# kyind = 0
#  kx         phi       
  0.0000E+00  0.0000E+00
